"Activation Key Required","要求激活密钥"
"This screen contains the settings that affect the display of your content.","本页面提供有关站点内容显示方式的选项。"
"You can choose what&#8217;s displayed on the front page of your site. It can be posts in reverse chronological order (classic blog), or a fixed/static page. To set a static home page, you first need to create two <a href=\"%s\">Pages</a>. One will become the front page, and the other will be where your posts are displayed.","您可以决定在站点首页上显示什么。可以以时间顺序列出文章；也可以显示一个静态页面。要使用静态页面作为首页，您需要<a href=\"%s\">创建两个页面</a>。一个用做首页，另一个用来显示文章。"
"You can also control the display of your content in RSS feeds, including the maximum numbers of posts to display and whether to show full text or a summary.","您也可以控制 RSS feed 的显示方式 —— 最大输出文章数、全文输出或仅输出摘要。"
"Site Visibility","站点可见性"
"Search Engine Visibility","对搜索引擎的可见性"
"You can choose whether or not your site will be crawled by robots, ping services, and spiders. If you want those services to ignore your site, click the checkbox next to &#8220;Discourage search engines from indexing this site&#8221; and click the Save Changes button at the bottom of the screen. Note that your privacy is not complete; your site is still visible on the web.","您可以决定是否让索引工具、搜索引擎爬虫、ping 服务访问您的站点。如果您不希望它们访问您的站点，请选择“建议搜索引擎不索引本站点”，并点击下方的“保存更改”。请注意，您的站点将依然在互联网上公开。"
"When this setting is in effect, a reminder is shown in the Right Now box of the Dashboard that says, &#8220;Search Engines Discouraged,&#8221; to remind you that your site is not being crawled.","当该项设置生效时，仪表盘中的“概况”模块将提醒您“自动建议搜索引擎不抓取”。您的站点在屏蔽搜索引擎期间无法被搜索引擎收录。"
"<a href=\"http://codex.wordpress.org/Settings_Reading_Screen\" target=\"_blank\">Documentation on Reading Settings</a>","<a href=\"http://codex.wordpress.org/zh-cn:%sE8%sAE%sBE%sE7%sBD%sAE_%sE9%s98%s85%sE8%sAF%sBB%sE9%sA1%sB5%sE9%s9D%sA2\" target=\"_blank\">关于阅读设置的中文文档</a>"
"Encoding for pages and feeds","页面和 feed 编码"
"A <a href=\"%s\">static page</a> (select below)","一个<a href=\"%s\">静态页面</a>（在下方选择）"
"Front page: %s","主页：%s"
"Posts page: %s","文章页：%s"
"<strong>Warning:</strong> these pages should not be the same!","<strong>警告：</strong>二者不能为同一页面！"
"Blog pages show at most","博客页面至多显示"
"posts","篇文章"
"Syndication feeds show the most recent","Feed 中显示最近"
"items","个项目"
"For each article in a feed, show","对于 feed 中的每篇文章，显示"
"Full text","全文"
"Summary","摘要"
"Allow search engines to index this site","允许搜索引擎索引本站点"
"Discourage search engines from indexing this site","建议搜索引擎不索引本站点"
"Note: Neither of these options blocks access to your site &mdash; it is up to search engines to honor your request.","注意：这些设置并不能彻底防止搜索引擎访问您的站点 —— 具体行为还取决于它们是否遵循您的要求。"
"It is up to search engines to honor this request.","搜索引擎将本着自觉自愿的原则对待 WordPress 提出的请求。并不是所有搜索引擎都会遵守这类请求。"
"Writing Settings","撰写设置"
"You can submit content in several different ways; this screen holds the settings for all of them. The top section controls the editor within the dashboard, while the rest control external publishing methods. For more information on any of these methods, use the documentation links.","您可以在本页面设定撰写文章的方式。顶端的几个选项是有关在 WordPress 仪表盘的编辑选项；剩余的项目与通过其他发布方式有关。欲了解关于其它发布方式的信息，请参考文档链接。"
"Press This is a bookmarklet that makes it easy to blog about something you come across on the web. You can use it to just grab a link, or to post an excerpt. Press This will even allow you to choose from images included on the page and use them in your post. Just drag the Press This link on this screen to your bookmarks bar in your browser, and you&#8217;ll be on your way to easier content creation. Clicking on it while on another website opens a popup window with all these options.","“快速发布”是一个允许您快速发表在网络上的所见所闻的浏览器书签。您可使用它获取网页链接，或引用网页中的某段话。“快速发布”甚至可以助您从当前浏览的页面中挑选用于自己文章的图片。只需将“快速发布”链接拖拽或加入到您的浏览器书签栏，然后您就可以更方便地创建自己的内容了。请在浏览其它页面的时候点击此书签。"
"Post Via Email","通过电子邮件发布"
"Post via email settings allow you to send your WordPress install an email with the content of your post. You must set up a secret e-mail account with POP3 access to use this, and any mail received at this address will be posted, so it&#8217;s a good idea to keep this address very secret.","您可以通过给您的 WordPress 站点发送电子邮件的方式发表文章。要通过电子邮件发布，您须设置一个有 POP3 访问权限的电子邮件账户，并且帐户电子邮件地址应该只有您自己才知道。任何投递到这个电子邮件地址的邮件之内容将会被直接发布，所以您必须保证这个地址绝对的私密。"
"Update Services","更新服务"
"If desired, WordPress will automatically alert various services of your new posts.","如有需要，WordPress 可自动在您发布新文章时通知若干网络服务。"
"<a href=\"http://codex.wordpress.org/Settings_Writing_Screen\" target=\"_blank\">Documentation on Writing Settings</a>","<a href=\"http://codex.wordpress.org/Settings_Writing_Screen\" target=\"_blank\">关于撰写设置的文档</a>（英文）"
"Formatting","格式"
"Convert emoticons like <code>:-)</code> and <code>:-P</code> to graphics on display","转换如 <code>:-)</code>、<code>:-P</code> 等文本表情符号为图像"
"WordPress should correct invalidly nested XHTML automatically","让 WordPress 自动校正嵌套错误的 XHTML 代码"
"Default Post Category","默认文章分类目录"
"Default Post Format","默认文章形式"
"Default Link Category","默认链接分类目录"
"Press This is a bookmarklet: a little app that runs in your browser and lets you grab bits of the web.","快速发布功能是个书签工具按钮：一个运行于浏览器上，能帮您获取网络上一些零碎内容的小程序。"
"Use Press This to clip text, images and videos from any web page. Then edit and add more straight from Press This before you save or publish it in a post on your site.","用快速发布功能摘取任意网页上的文字、图像和视频。在您保存或发布文章之前都可以通过快速发布功能继续编辑、添加更多内容。"
"Drag-and-drop the following link to your bookmarks bar or right click it and add it to your favorites for a posting shortcut.","将下面的链接拖拽到您的书签工具栏，或右键点击链接把它添加到您的收藏夹中，即可创建一个快速发布文章的快捷方式。"
"If your bookmarks toolbar is hidden: copy the code below, open your Bookmarks manager, create new bookmark, type Press This into the name field and paste the code into the URL field.","若您隐藏了书签工具栏：请复制如下的代码、打开您的书签管理器、创建新书签，然后在“名称”一栏输入“快速发布”，同时将复制的代码粘贴至“URL”一栏。"
"Post via e-mail","通过电子邮件发布"
"To post to WordPress by e-mail you must set up a secret e-mail account with POP3 access. Any mail received at this address will be posted, so it&#8217;s a good idea to keep this address very secret. Here are three random strings you could use: <kbd>%s</kbd>, <kbd>%s</kbd>, <kbd>%s</kbd>.","要通过电子邮件发表文章，您必须设置一个有 POP3 访问权限的私密电子邮件账户。任何投递到这个电子邮件地址的信件将会被发表，所以您必须保证这个地址绝对的私密。这里是三个您可以使用的随机字符串：<kbd>%s</kbd>， <kbd>%s</kbd>，<kbd>%s</kbd>。"
"Mail Server","邮件服务器"
"Port","端口"
"Login Name","登录名"
"Default Mail Category","默认邮件发表分类目录"
"When you publish a new post, WordPress automatically notifies the following site update services. For more about this, see <a href=\"http://codex.wordpress.org/Update_Services\">Update Services</a> on the Codex. Separate multiple service <abbr title=\"Universal Resource Locator\">URL</abbr>s with line breaks.","当您发表一篇新文章时，WordPress 将会向下面的站点发出通告。更多关于“<a href=\"http://codex.wordpress.org/zh-cn:%sE6%s9B%sB4%sE6%s96%sB0%sE6%s9C%s8D%sE5%s8A%sA1\">更新服务</a>”的信息，请查看 Codex 文档。一行一个通告服务的 <abbr title=\"Universal Resource Locator\">URL</abbr>。"
"WordPress is not notifying any <a href=\"http://codex.wordpress.org/Update_Services\">Update Services</a> because of your site&#8217;s <a href=\"%s\">visibility settings</a>.","根据您站点的<a href=\"%s\">搜索引擎可见性设置</a>，WordPress 将不发出任何<a href=\"http://codex.wordpress.org/zh-cn:%s%E6%s%9B%s%B4%s%E6%s%96%s%B0%s%E6%s%9C%s%8D%s%E5%s%8A%s%A1\">更新通告</a>。"
"<strong>ERROR</strong>: options page not found.","<strong>错误</strong>：未找到选项页面。"
"You do not have sufficient permissions to modify unregistered settings for this site.","您无权修改本站点未注册的设置。"
"The <code>%s</code> setting is unregistered. Unregistered settings are deprecated. See http://codex.wordpress.org/Settings_API","<code>%s</code> 设置未注册。不注册就使用设置的做法已经不被推荐。详情请参见 <a href=\"http://codex.wordpress.org/zh-cn:%s%E8%s%AE%s%BE%s%E7%s%BD%s%AE_API\">http://codex.wordpress.org/zh-cn:设置_API</a>"
"All Settings","全部设置"
"You do not have sufficient permissions to edit plugins for this site.","您无权在本站点编辑插件。"
"Edit Plugins","编辑插件"
"There are no plugins installed on this site.","本站点没有安装插件。"
"No such file exists! Double check the name and try again.","文件不存在。请重新检查文件名，然后再试。"
"Files of this type are not editable.","无法编辑该类型的文件。"
"You can use the editor to make changes to any of your plugins&#8217; individual PHP files. Be aware that if you make changes, plugins updates will overwrite your customizations.","您可以使用本编辑器编辑任何插件的 PHP 文件。请注意，若您更新了插件，所有的修改将被新版本覆盖。"
"Choose a plugin to edit from the menu in the upper right and click the Select button. Click once on any file name to load it in the editor, and make your changes. Don&#8217;t forget to save your changes (Update File) when you&#8217;re finished.","请从右上角选择要编辑的插件，然后点选您希望编辑的文件。请在完成后请不要忘记保存（点击“上传文件”）。"
"The Documentation menu below the editor lists the PHP functions recognized in the plugin file. Clicking Lookup takes you to a web page about that particular function.","“文档”菜单列出了我们从该文件中找到的所有函数。点击“查询”按钮可查看有关该函数的页面。"
"In the editing area the Tab key enters a tab character. To move below this area by pressing Tab, press the Esc key followed by the Tab key.","在编辑区域按 Tab 键将输入一个制表符。要移动至页面下一元素，请先按 Esc，然后再按 Tab。"
"If you want to make changes but don&#8217;t want them to be overwritten when the plugin is updated, you may be ready to think about writing your own plugin. For information on how to edit plugins, write your own from scratch, or just better understand their anatomy, check out the links below.","若您不希望您所做的修改因插件升级而被覆盖，请考虑自己编写插件。右侧的链接提供了自行制作插件的一些方法和指导。"
"Any edits to files from this screen will be reflected on all sites in the network.","在本页面对文件做出的一切更改，都将影响整个网络。"
"<a href=\"http://codex.wordpress.org/Plugins_Editor_Screen\" target=\"_blank\">Documentation on Editing Plugins</a>","<a href=\"http://codex.wordpress.org/zh-cn:%sE6%s8F%s92%sE4%sBB%sB6_%sE7%sBC%s96%sE8%sBE%s91%sE9%sA1%sB5%sE9%s9D%sA2\" target=\"_blank\">关于编辑插件的中文文档</a>"
"<a href=\"http://codex.wordpress.org/Writing_a_Plugin\" target=\"_blank\">Documentation on Writing Plugins</a>","<a href=\"http://codex.wordpress.org/zh-cn:%sE5%sBC%s80%sE5%s8F%s91%sE4%sB8%s80%sE4%sB8%sAA%sE6%s8F%s92%sE4%sBB%sB6\" target=\"_blank\">关于制作插件的中文文档</a>"
"Function Name&hellip;","函数名&hellip;"
"File edited successfully.","文件修改成功。"
"This plugin has been deactivated because your changes resulted in a <strong>fatal error</strong>.","该插件已被停用，因为您的修改导致了一个<strong>致命错误</strong>（fatal error）。"
"Editing <strong>%s</strong> (active)","编辑 <strong>%s</strong> (已启用)"
"Browsing <strong>%s</strong> (active)","浏览 <strong>%s</strong> (已启用)"
"Editing <strong>%s</strong> (inactive)","编辑 <strong>%s</strong> (停用)"
"Browsing <strong>%s</strong> (inactive)","浏览 <strong>%s</strong> (停用)"
"Select plugin to edit:","选择要编辑的插件："
"Plugin Files","插件文件"
"Documentation:","文档："
"Lookup","查询"
"<strong>Warning:</strong> Making changes to active plugins is not recommended. If your changes cause a fatal error, the plugin will be automatically deactivated.","<strong>注意</strong>：不推荐对当前启用的插件做修改。如果您的修改导致致命错误（fatal error），插件会被自动停用。"
"Update File and Attempt to Reactivate","更新文件并尝试重新启用"
"Update File","更新文件"
"You need to make this file writable before you can save your changes. See <a href=\"http://codex.wordpress.org/Changing_File_Permissions\">the Codex</a> for more information.","只能将修改保存到可写的文件。参见 <a href=\"http://codex.wordpress.org/zh-cn:%sE6%s9B%sB4%sE6%s94%sB9%sE6%s96%s87%sE4%sBB%sB6%sE6%s9D%s83%sE9%s99%s90\">Codex 文档</a>以了解更多。"
"You do not have sufficient permissions to install plugins on this site.","您无权在本站点安装插件。"
"Install Plugins","安装插件"
"Plugins hook into WordPress to extend its functionality with custom features. Plugins are developed independently from the core WordPress application by thousands of developers all over the world. All plugins in the official <a href=\"%s\" target=\"_blank\">WordPress.org Plugin Directory</a> are compatible with the license WordPress uses. You can find new plugins to install by searching or browsing the Directory right here in your own Plugins section.","插件利用 WordPress 的钩子机制来扩展 WordPress 的功能，同时与 WordPress 核心相对独立。它们是由全球各地数以千计的开发者开发的。所有在官方 <a href=\"%s\" target=\"_blank\">WordPress.org 插件目录</a>中的插件都与 WordPress 所用的许可证相兼容。您现在就可以在您站点仪表盘的“插件”区域搜索和浏览目录中的插件。"
"Adding Plugins","插件的添加"
"If you know what you&#8217;re looking for, Search is your best bet. The Search screen has options to search the WordPress.org Plugin Directory for a particular Term, Author, or Tag. You can also search the directory by selecting popular tags. Tags in larger type mean more plugins have been labeled with that tag.","若您知道您需要何种插件，请使用“搜索”功能。搜索页面根据您提供的相关短语、作者或插件标签在 WordPress 插件目录搜索。您也可以通过“热门标签”来浏览插件目录。标签字体越大，说明使用该标签的插件越多。"
"If you just want to get an idea of what&#8217;s available, you can browse Featured, Popular, and Newest plugins by using the links in the upper left of the screen. These sections rotate regularly.","若您只想知道有什么插件可以选择，您可从页面左上角的“特色”、“热门”和“最新”中浏览。这些内容是定期更新的。"
"You can also browse a user&#8217;s favorite plugins, by using the Favorites link in the upper left of the screen and entering their WordPress.org username.","您也可以浏览他人收藏的插件。点击页面左上的“收藏”链接，然后输入一个用户名。"
"If you want to install a plugin that you&#8217;ve downloaded elsewhere, click the Upload link in the upper left. You will be prompted to upload the .zip package, and once uploaded, you can activate the new plugin.","如果您想安装从别处下载的插件，请点击左上角的“上传”。WordPress 接受 .zip 格式的压缩包，在上传成功后，您可启用该插件。"
"<a href=\"http://codex.wordpress.org/Plugins_Add_New_Screen\" target=\"_blank\">Documentation on Installing Plugins</a>","<a href=\"http://codex.wordpress.org/zh-cn:%sE6%s8F%s92%sE4%sBB%sB6_%sE5%sAE%s89%sE8%sA3%s85%sE6%s8F%s92%sE4%sBB%sB6%sE9%sA1%sB5%sE9%s9D%sA2\" target=\"_blank\">关于安装插件的中文文档</a>"
"You do not have sufficient permissions to manage plugins for this site.","您无权在本站点管理插件。"
"You do not have sufficient permissions to activate plugins for this site.","您无权在本站点启用插件。"
"Update Plugins","升级插件"
"You do not have sufficient permissions to deactivate plugins for this site.","您无权在本站点停用插件。"
"You do not have sufficient permissions to delete plugins for this site.","您无权在本站点删除插件。"
"<strong>%s</strong> by <em>%s</em> (will also <strong>delete its data</strong>)","由 <em>%s</em> 制作的 <strong>%s</strong>（<strong>其数据也将被一并删除</strong>）"
"<strong>%s</strong> by <em>%s</em>","<strong>%s</strong>，作者为 <em>%s</em>"
"Are you sure you wish to delete these files and data?","您确定删除这些文件和数据？"
"Are you sure you wish to delete these files?","您确定要删除这些文件吗？"
"Yes, Delete these files and data","是的，删除这些文件和数据"
"Yes, Delete these files","确定，删除这些文件"
"No, Return me to the plugin list","不，把我带到插件列表"
"Click to view entire list of files which will be deleted","查看待删除文件的完整列表"
"Plugins extend and expand the functionality of WordPress. Once a plugin is installed, you may activate it or deactivate it here.","插件拓展、拓充 WordPress 的功能。插件安装后，您可以在这里启用或者停用它。"
"You can find additional plugins for your site by using the <a href=\"%s\">Plugin Browser/Installer</a> functionality or by browsing the <a href=\"%s\" target=\"_blank\">WordPress Plugin Directory</a> directly and installing new plugins manually. To manually install a plugin you generally just need to upload the plugin file into your <code>/wp-content/plugins</code> directory. Once a plugin has been installed, you can activate it here.","您可以使用<a href=\"%s\">插件浏览/安装器</a>查找并安装新插件，或者浏览 <a href=\"%s\" target=\"_blank\">WordPress 插件目录</a>来手动安装插件。如需手动安装插件，请把插件文件上传至 <code>/wp-content/plugins</code> 目录，然后在此启用。"
"Troubleshooting","故障排除"
"Most of the time, plugins play nicely with the core of WordPress and with other plugins. Sometimes, though, a plugin&#8217;s code will get in the way of another plugin, causing compatibility issues. If your site starts doing strange things, this may be the problem. Try deactivating all your plugins and re-activating them in various combinations until you isolate which one(s) caused the issue.","通常每个插件都能和其他插件以及 WordPress 核心程序正常工作。但是，有的时候某些插件会和其他插件相冲突，进而产生兼容性问题。如果您的站点工作异常，可能是这个原因导致的。您可尝试禁用所有插件，再逐个启用，以排除问题。"
"If something goes wrong with a plugin and you can&#8217;t use WordPress, delete or rename that file in the <code>%s</code> directory and it will be automatically deactivated.","如果某个插件和您的系统不兼容，而导致您的 WordPress 无法使用，请删除 <code>%s</code> 文件夹中的错误插件，WordPress 会自动停用它。"
"<a href=\"http://codex.wordpress.org/Managing_Plugins#Plugin_Management\" target=\"_blank\">Documentation on Managing Plugins</a>","<a href=\"http://codex.wordpress.org/zh-cn:%sE7%sAE%sA1%sE7%s90%s86%sE6%s8F%s92%sE4%sBB%sB6#.E6.8F.92.E4.BB.B6.E7.AE.A1.E7.90.86\" target=\"_blank\">关于插件管理的中文文档</a>"
"The plugin <code>%s</code> has been <strong>deactivated</strong> due to an error: %s","插件 <code>%s</code> 已被<strong>禁用</strong>，因为发生了错误：%s"
"You cannot delete a plugin while it is active on the main site.","您不能删除主站点正在使用的插件。"
"The plugin generated %d characters of <strong>unexpected output</strong> during activation. If you notice &#8220;headers already sent&#8221; messages, problems with syndication feeds or other issues, try deactivating or removing this plugin.","这个插件在启用的过程中产生了 %d 个字符的<strong>异常输出</strong>。如果您遇到了“headers already sent”错误、联合 feed（如 RSS）出错等问题，请尝试禁用或移除本插件。"
"Plugin could not be activated because it triggered a <strong>fatal error</strong>.","无法启用插件，因为它引起了一个<strong>致命错误</strong>（fatal error）。"
"Plugin could not be deleted due to an error: %s","无法删除插件，因为发生了错误：%s"
"The selected plugins have been <strong>deleted</strong>.","所选插件<strong>已删除</strong>。"
"Plugin <strong>activated</strong>.","插件<strong>已启用</strong>。"
"Selected plugins <strong>activated</strong>.","选中插件<strong>已启用</strong>。"
"Plugin <strong>deactivated</strong>.","插件<strong>已停用</strong>。"
"Selected plugins <strong>deactivated</strong>.","选中插件<strong>已停用</strong>。"
"No out of date plugins were selected.","您尚未选择过期插件。"
"Search Installed Plugins","搜索已安装插件"
"You can&#8217;t edit this item because it is in the Trash. Please restore it and try again.","您无法编辑该条目，因为它现在在回收站中。请先将其恢复，然后再重试。"
"You are not allowed to move this item out of the Trash.","您无权从回收站中移除此项目。"
"Error in deleting.","删除时发生错误。"
"Embed Code","嵌入代码"
"Insert Video","插入视频"
"Click to insert.","点击以插入。"
"Unable to retrieve images or no images on page.","无法获取图像，或者页面上没有图像。"
"Add Photos","添加照片"
"click images to select","点击选择图像"
"Add from URL","用 URL 添加"
"Post Format:","文章形式："
"You cannot modify this Taxonomy.","您不可以修改这个分类法。"
"Your post has been saved.","您的文章已保存。"
"View post","查看文章"
"Close Window","关闭窗口"
"Loading...","载入中..."
"via","通过"
"Add:","添加："
"Insert an Image","插入一张图像"
"Embed a Video","嵌入一个视频"
"Compare Revisions of &#8220;%s&#8221;","比较《%s》的修订版本"
"Revision for &#8220;%s&#8221; created on %s","《%s》的修订版本，创建于 %s"
"Older: %s","旧：%s"
"Newer: %s","新：%s"
"These revisions are identical.","两个修订版本完全相同。"
"Sorry, I need a wp-config-sample.php file to work from. Please re-upload this file from your WordPress installation.","抱歉，我需要 wp-config-sample.php 才能工作。请重新向您的 WordPress 根目录上传该文件。"
"The file 'wp-config.php' already exists. If you need to reset any of the configuration items in this file, please delete it first. You may try <a href='%s'>installing now</a>.","wp-config.php 文件已存在。如果您需要重置配置选项，请先删除该文件。您可以尝试<a href='%s'>立即使用当前配置进行安装</a>。"
"The file 'wp-config.php' already exists one level above your WordPress installation. If you need to reset any of the configuration items in this file, please delete it first. You may try <a href='install.php'>installing now</a>.","wp-config.php 文件已存在于 WordPress 根目录的上级目录。如果您需要重置配置选项，请先删除该文件。您可以尝试<a href='%s'>立即使用当前配置进行安装</a>。"
"WordPress &rsaquo; Setup Configuration File","WordPress &rsaquo; 调整配置文件"
"Welcome to WordPress. Before getting started, we need some information on the database. You will need to know the following items before proceeding.","欢迎使用 WordPress。在开始前，我们需要您数据库的一些信息。请准备好如下信息。"
"Database name","数据库名"
"Database username","数据库用户名"
"Database password","数据库密码"
"Database host","数据库主机"
"Table prefix (if you want to run more than one WordPress in a single database)","数据表前缀（table prefix，特别是当您要在一个数据库中安装多个 WordPress 时）"
"If for any reason this automatic file creation doesn&#8217;t work, don&#8217;t worry. All this does is fill in the database information to a configuration file. You may also simply open <code>wp-config-sample.php</code> in a text editor, fill in your information, and save it as <code>wp-config.php</code>.","如果出于任何原因，文件自动创建失败，请不要担心。这个向导的目的只是代您编辑配置文件，填入数据库信息。您可以直接使用文本编辑器打开 <code>wp-config-sample.php</code>，填入您的信息，再另存为 <code>wp-config.php</code>。"
"In all likelihood, these items were supplied to you by your Web Host. If you do not have this information, then you will need to contact them before you can continue. If you&#8217;re all ready&hellip;","这些信息应由您的主机服务提供商提供。如果您不清楚，请联系他们。准备好了的话&hellip;"
"Let&#8217;s go!","现在就开始！"
"Below you should enter your database connection details. If you&#8217;re not sure about these, contact your host.","请在下方填写您的数据库连接信息。如果您不确定，请联系您的服务提供商。"
"Database Name","数据库名"
"The name of the database you want to run WP in.","将 WordPress 安装到哪个数据库？"
"User Name","用户名"
"username","用户名"
"Your MySQL username","您的 MySQL 用户名"
"password","密码"
"&hellip;and your MySQL password.","&hellip;及其密码"
"Database Host","数据库主机"
"You should be able to get this info from your web host, if <code>localhost</code> does not work.","如果填写 <code>localhost</code> 之后 WordPress 不能正常工作的话，请向主机服务提供商索要数据库信息。"
"Table Prefix","表前缀"
"If you want to run multiple WordPress installations in a single database, change this.","如果您希望在同一个数据库安装多个 WordPress，请修改前缀。"
"Sorry, but I can&#8217;t write the <code>wp-config.php</code> file.","抱歉，但是向导在您的文件系统中没有足够的权限写入 <code>wp-config.php</code> 文件。"
"You can create the <code>wp-config.php</code> manually and paste the following text into it.","请手动创建 <code>wp-config.php</code> 文件，并拷入如下文本，之后保存。"
"After you&#8217;ve done that, click &#8220;Run the install.&#8221;","完成之后，请点击“进行安装”。"
"Run the install","进行安装"
"All right sparky! You&#8217;ve made it through this part of the installation. WordPress can now communicate with your database. If you are ready, time now to&hellip;","不错。您完成了安装过程中重要的一步，WordPress 现在已经可以连接数据库了。如果您准备好了的话，现在就&hellip;"
"You do not have sufficient permissions to edit templates for this site.","您无权在本站点编辑模板。"
"Edit Themes","编辑主题"
"You can use the Theme Editor to edit the individual CSS and PHP files which make up your theme.","您可以使用“主题编辑器”来编辑主题中包含的 CSS 和 PHP 文件。"
"Begin by choosing a theme to edit from the dropdown menu and clicking Select. A list then appears of all the template files. Clicking once on any file name causes the file to appear in the large Editor box.","要开始，请在右上角选择一个主题，并点击“选择”。然后在出现的列表中点击要编辑的文件，文件就会被加载在编辑区域中。"
"For PHP files, you can use the Documentation dropdown to select from functions recognized in that file. Lookup takes you to a web page with reference material about that particular function.","对于 PHP 文件，您可以使用“文档”下拉列表选择我们从文件中识别出的函数。点击“查询”按钮可查看有关该函数的页面。"
"After typing in your edits, click Update File.","当编辑完成时，请点击“上传文件”。"
"<strong>Advice:</strong> think very carefully about your site crashing if you are live-editing the theme currently in use.","<strong>建议：</strong>若您编辑您正在使用的主题，编辑不当则可能造成站点的故障。"
"Upgrading to a newer version of the same theme will override changes made here. To avoid this, consider creating a <a href=\"http://codex.wordpress.org/Child_Themes\" target=\"_blank\">child theme</a> instead.","升级新版本的主题将会导致您所做的修改被覆盖。要避免类似悲剧的发生，请考虑自建一个<a href=\"http://codex.wordpress.org/zh-cn:%sE5%sAD%s90%sE4%sB8%sBB%sE9%sA2%s98\" target=\"_blank\">子主题</a>。"
"<a href=\"http://codex.wordpress.org/Theme_Development\" target=\"_blank\">Documentation on Theme Development</a>","<a href=\"http://codex.wordpress.org/zh-cn:%sE4%sB8%sBB%sE9%sA2%s98%sE5%sBC%s80%sE5%s8F%s91\" target=\"_blank\">关于主题开发的中文文档</a>"
"<a href=\"http://codex.wordpress.org/Using_Themes\" target=\"_blank\">Documentation on Using Themes</a>","<a href=\"http://codex.wordpress.org/zh-cn:%sE4%sB8%sBB%sE9%sA2%s98\" target=\"_blank\">关于使用主题的中文文档</a>"
"<a href=\"http://codex.wordpress.org/Editing_Files\" target=\"_blank\">Documentation on Editing Files</a>","<a href=\"http://codex.wordpress.org/zh-cn:%sE7%sBC%s96%sE8%sBE%s91%sE6%s96%s87%sE4%sBB%sB6\" target=\"_blank\">关于编辑文件的中文文档</a>"
"<a href=\"http://codex.wordpress.org/Template_Tags\" target=\"_blank\">Documentation on Template Tags</a>","<a href=\"http://codex.wordpress.org/zh-cn:%sE6%sA8%sA1%sE6%s9D%sBF%sE6%sA0%s87%sE7%sAD%sBE\" target=\"_blank\">关于模板标签的中文文档</a>"
"The requested theme does not exist.","请求的主题不存在。"
"Function Name...","函数名..."
"Select theme to edit:","选择要编辑的主题："
"This theme is broken.","该主题受损。"
"Templates","模板"
"This child theme inherits templates from a parent theme, %s.","此主题使用从父主题“%s”继承下来的模板。"
"Oops, no such file exists! Double check the name and try again, merci.","噢，没有这个文件。请重新检查文件名，然后再试。谢谢。"
"This is a file in your current parent theme.","这是您当前父主题中的一个文件。"
"You do not have sufficient permissions to install themes on this site.","您无权在本站点上安装主题。"
"Install Themes","安装主题"
"You can find additional themes for your site by using the Theme Browser/Installer on this screen, which will display themes from the <a href=\"%s\" target=\"_blank\">WordPress.org Theme Directory</a>. These themes are designed and developed by third parties, are available free of charge, and are compatible with the license WordPress uses.","通过主题浏览/安装器，您可以为您的站点安装其它主题。主题浏览/安装器显示的是来自 <a href=\"%s\" target=\"_blank\">WordPress.org 主题目录</a>的主题。这些主题都是由第三方设计开发并免费提供的，且与 WordPress 所用的许可证相兼容。"
"You can Search for themes by keyword, author, or tag, or can get more specific and search by criteria listed in the feature filter. Alternately, you can browse the themes that are Featured, Newest, or Recently Updated. When you find a theme you like, you can preview it or install it.","您不仅可以用关键词、作者或标签来搜索主题，也可以使用“特性筛选器”中列出的特性来搜索主题。或者从“特色”、“热门”和“最近更新”中浏览。当您找到了喜欢的主题，您可以先预览效果，也可以直接安装它。"
"You can Upload a theme manually if you have already downloaded its ZIP archive onto your computer (make sure it is from a trusted and original source). You can also do it the old-fashioned way and copy a downloaded theme&#8217;s folder via FTP into your <code>/wp-content/themes</code> directory.","您可以手动上传从别处下载的 zip 文件（请确认来源可靠）；也可以使用传统方式，将主题文件拷贝至 <code>/wp-content/themes</code> 目录中。"
"Once you have generated a list of themes, you can preview and install any of them. Click on the thumbnail of the theme you&#8217;re interested in previewing. It will open up in a full-screen Preview page to give you a better idea of how that theme will look.","在产生了主题列表之后，您可以预览、安装其中任意一个。点击主题的缩略图可在新页面全屏预览。"
"To install the theme so you can preview it with your site&#8217;s content and customize its theme options, click the \"Install\" button at the top of the left-hand pane. The theme files will be downloaded to your website automatically. When this is complete, the theme is now available for activation, which you can do by clicking the \"Activate\" link, or by navigating to your Manage Themes screen and clicking the \"Live Preview\" link under any installed theme&#8217;s thumbnail image.","点击左上角“安装”按钮安装主题之后，方可使用“实时预览”功能进行主题自定义。安装后主题文件将被自动下载至您的站点。完成后，您可以使用“启用”链接直接启用主题，或转到“已安装的主题”页面，点击“实时预览”按钮来自定义并预览。"
"Previewing and Installing","预览并安装"
"<a href=\"http://codex.wordpress.org/Using_Themes#Adding_New_Themes\" target=\"_blank\">Documentation on Adding New Themes</a>","<a href=\"http://codex.wordpress.org/zh-cn:%sE4%sB8%sBB%sE9%sA2%s98#.E6.B7.BB.E5.8A.A0.E6.96.B0.E4.B8.BB.E9.A2.98\" target=\"_blank\">关于添加新主题的中文文档</a>"
"Manage Themes","管理主题"
"Aside from the default theme included with your WordPress installation, themes are designed and developed by third parties.","和 WordPress 程序安装时附带的主题不同，这些主题是第三方设计开发的。"
