"Activation Key Required","Требуется ключ активации"
"There is a pending change of the admin e-mail to <code>%s</code>. <a href=\"%s\">Cancel</a>","Ожидается подтверждение смены адреса e-mail администратора на <code>%s</code>. <a href=\"%s\">Отмена</a>"
"Timezone","Часовой пояс"
"<abbr title=\"Coordinated Universal Time\">UTC</abbr> time is <code>%s</code>","<abbr title=\"Всемирное координированное время\">UTC</abbr>: <code>%s</code>"
"Local time is <code>%s</code>","Местное время: <code>%s</code>"
"Choose a city in the same timezone as you.","Выберите город в том же часовом поясе, что и ваш."
"This timezone is currently in daylight saving time.","В этом часовом поясе в настоящий момент действует летнее время."
"This timezone is currently in standard time.","В этом часовом поясе в настоящий момент действует зимнее время."
"Daylight saving time begins on: <code>%s</code>.","Переход на летнее время: <code>%s</code>."
"Standard time begins on: <code>%s</code>.","Переход на зимнее время: <code>%s</code>."
"This timezone does not observe daylight saving time.","В этом часовом поясе не используется летнее время."
"Custom:","Произвольно:"
"<a href=\"http://codex.wordpress.org/Formatting_Date_and_Time\">Documentation on date and time formatting</a>.","<a href=\"http://codex.wordpress.org/Форматирование_даты_и_времени\">Документация по форматированию даты и времени</a>."
"Week Starts On","Первый день недели"
"Site Language","Язык сайта"
"Media Settings","Настройки медиафайлов"
"You can set maximum sizes for images inserted into your written content; you can also insert an image as Full Size.","Можно задать максимальные размеры изображений, вставляемых в содержимое; можно также вставлять полноразмерное изображение."
"Uploading Files allows you to choose the folder and path for storing your uploaded files.","В секции &laquo;Загрузка файлов&raquo; можно указать каталог и путь для хранения загружаемых вами файлов."
"<a href=\"http://codex.wordpress.org/Settings_Media_Screen\" target=\"_blank\">Documentation on Media Settings</a>","<a href=\"http://codex.wordpress.org/Settings_Media_Screen\" target=\"_blank\">Документация по настройкам медиафайлов</a>"
"Image sizes","Размеры изображений"
"The sizes listed below determine the maximum dimensions in pixels to use when inserting an image into the body of a post.","Указанные ниже числа определяют максимальные размеры изображения в пикселах при вставке его в текст записи."
"Thumbnail size","Размер миниатюры"
"Crop thumbnail to exact dimensions (normally thumbnails are proportional)","Обрезать миниатюру точно по размерам (обычно сохраняются пропорции миниатюр)"
"Medium size","Средний размер"
"Max Width","Макс. ширина"
"Max Height","Макс. высота"
"Large size","Крупный размер"
"Embeds","Объекты"
"Uploading Files","Загрузка файлов"
"Store uploads in this folder","Сохранять файлы в этой папке"
"Default is <code>wp-content/uploads</code>","По умолчанию: <code>wp-content/uploads</code>"
"Full URL path to files","Полный URL-путь к файлам"
"Configuring this is optional. By default, it should be blank.","Этот параметр необязателен и по умолчанию пуст."
"Organize my uploads into month- and year-based folders","Помещать загруженные мной файлы в папки по месяцу и году"
"Permalink Settings","Настройки постоянных ссылок"
"Permalinks are the permanent URLs to your individual pages and blog posts, as well as your category and tag archives. A permalink is the web address used to link to your content. The URL to each post should be permanent, and never change &#8212; hence the name permalink.","Постоянные ссылки указывают на ваши страницы и записи, а также архивы рубрик и меток. Постоянная ссылка &#8212; это веб-адрес, используемый в качестве ссылки на ваше содержимое. Адрес каждой записи должен быть постоянным и никогда не меняться, поэтому такие ссылки и называются постоянными."
"This screen allows you to choose your default permalink structure. You can choose from common settings or create custom URL structures.","На этом экране можно выбрать структуру постоянных ссылок. Вы можете выбрать один из предложенных вариантов или создать произвольную структуру URL."
"Common Settings","Общие настройки"
"Many people choose to use &#8220;pretty permalinks,&#8221; URLs that contain useful information such as the post title rather than generic post ID numbers. You can choose from any of the permalink formats under Common Settings, or can craft your own if you select Custom Structure.","Многие пользователи выбирают &laquo;красивые&raquo; постоянные ссылки, которые содержат полезную информацию &#8212; например, заголовки записей вместо их идентификаторов. Можно выбрать один из предложенных вариантов или создать собственный, выбрав пункт &laquo;Произвольно&raquo;."
"If you pick an option other than Default, your general URL path with structure tags, terms surrounded by <code>%s</code>, will also appear in the custom structure field and your path can be further modified there.","Если вы выберете любой вариант, кроме &laquo;По умолчанию&raquo;, в поле &laquo;Произвольная структура&raquo; также появится путь с элементами структуры, окружёнными символом <code>%s</code>, где можно будет сделать дополнительные изменения."
"When you assign multiple categories or tags to a post, only one can show up in the permalink: the lowest numbered category. This applies if your custom structure includes <code>%scategory%s</code> or <code>%stag%s</code>.","Когда вы присваиваете записи несколько рубрик или меток, в ссылке может оказаться только одна из них: рубрика с наименьшим ID. Это относится к структурам, включающим элементы <code>%scategory%s</code> и <code>%stag%s</code>."
"Custom Structures","Произвольные структуры"
"The Optional fields let you customize the &#8220;category&#8221; and &#8220;tag&#8221; base names that will appear in archive URLs. For example, the page listing all posts in the &#8220;Uncategorized&#8221; category could be <code>/topics/uncategorized</code> instead of <code>/category/uncategorized</code>.","В блоке &laquo;Дополнительно&raquo; можно настроить префиксы, которые будут видны в адресах архивов. Например, адрес страницы со всеми записями из рубрики &laquo;Без рубрики&raquo; может иметь вид <code>/topics/uncategorized</code> вместо <code>/category/uncategorized</code>."
"<a href=\"http://codex.wordpress.org/Settings_Permalinks_Screen\" target=\"_blank\">Documentation on Permalinks Settings</a>","<a href=\"http://codex.wordpress.org/Settings_Permalinks_Screen\" target=\"_blank\">Документация по настройкам постоянных ссылок</a>"
"<a href=\"http://codex.wordpress.org/Using_Permalinks\" target=\"_blank\">Documentation on Using Permalinks</a>","<a href=\"http://codex.wordpress.org/Using_Permalinks\" target=\"_blank\">Документация по использованию постоянных ссылок</a>"
"You should update your web.config now.","Теперь вы должны обновить файл web.config."
"Permalink structure updated. Remove write access on web.config file now!","Структура постоянных ссылок обновлена. Теперь уберите разрешение на запись с файла web.config!"
"Permalink structure updated.","Структура постоянных ссылок изменена."
"You should update your .htaccess now.","Теперь вы должны обновить файл .htaccess."
"By default WordPress uses web <abbr title=\"Universal Resource Locator\">URL</abbr>s which have question marks and lots of numbers in them, however WordPress offers you the ability to create a custom URL structure for your permalinks and archives. This can improve the aesthetics, usability, and forward-compatibility of your links. A <a href=\"http://codex.wordpress.org/Using_Permalinks\">number of tags are available</a>, and here are some examples to get you started.","По умолчанию WordPress использует ссылки со знаком вопроса и числами, но у вас есть возможность создать собственные шаблоны для постоянных ссылок и архивов. Это может придать вашим ссылкам эстетичность, удобство использования и обеспечить совместимость в будущем. Можно просмотреть <a href=\"http://codex.wordpress.org/Using_Permalinks\">полный список тегов</a>, а для начала &#8212; несколько примеров."
"Day and name","День и название"
"Month and name","Месяц и название"
"Numeric","Цифры"
"Post name","Название записи"
"Custom Structure","Произвольно"
"Optional","Дополнительно"
"If you like, you may enter custom structures for your category and tag <abbr title=\"Universal Resource Locator\">URL</abbr>s here. For example, using <code>topics</code> as your category base would make your category links like <code>http://example.org/%stopics/uncategorized/</code>. If you leave these blank the defaults will be used.","Если хотите, можно добавить произвольные префиксы для <abbr title=\"Universal Resource Locator\">URL</abbr>-адресов рубрик и меток. Например, <code>topics</code> сделает ссылки на рубрики такими: <code>http://example.org/%stopics/uncategorized/</code>. Если оставить поля пустыми, будут использованы значения по умолчанию."
"Category base","Префикс для рубрик"
"Tag base","Префикс для меток"
"If your <code>web.config</code> file were <a href=\"http://codex.wordpress.org/Changing_File_Permissions\">writable</a>, we could do this automatically, but it isn&#8217;t so this is the url rewrite rule you should have in your <code>web.config</code> file. Click in the field and press <kbd>CTRL + a</kbd> to select all. Then insert this rule inside of the <code>/&lt;configuration&gt;/&lt;system.webServer&gt;/&lt;rewrite&gt;/&lt;rules&gt;</code> element in <code>web.config</code> file.","Если бы ваш файл <code>web.config</code> был <a href=\"http://codex.wordpress.org/Changing_File_Permissions\">доступен для записи</a>, мы могли бы выполнить следующий шаг автоматически, но это не так. Вот правило преобразования ссылок, которое должно быть в файле <code>web.config</code>. Кликните на поле и нажмите <kbd>CTRL + a</kbd>, чтобы выделить весь текст. Затем вставьте это правило внутрь элемента <code>/&lt;configuration&gt;/&lt;system.webServer&gt;/&lt;rewrite&gt;/&lt;rules&gt;</code> в файле <code>web.config</code>."
"If you temporarily make your <code>web.config</code> file writable for us to generate rewrite rules automatically, do not forget to revert the permissions after rule has been saved.","Если вы временно сделали файл <code>web.config</code> доступным для записи, чтобы мы могли автоматически создать правила преобразования ссылок, не забудьте вернуть исходные права доступа после того, как правила будут сохранены."
"If the root directory of your site were <a href=\"http://codex.wordpress.org/Changing_File_Permissions\">writable</a>, we could do this automatically, but it isn&#8217;t so this is the url rewrite rule you should have in your <code>web.config</code> file. Create a new file, called <code>web.config</code> in the root directory of your site. Click in the field and press <kbd>CTRL + a</kbd> to select all. Then insert this code into the <code>web.config</code> file.","Если бы корневая директория вашего сайта была <a href=\"http://codex.wordpress.org/Changing_File_Permissions\">доступна для записи</a>, мы могли бы выполнить следующий шаг автоматически, но это не так. Вот правило преобразования ссылок, которое должно быть в файле <code>web.config</code>. Создайте новый файл с именем <code>web.config</code> в корневой директории вашего сайта. Кликните на поле и нажмите <kbd>CTRL + a</kbd>, чтобы выделить весь текст. Затем вставьте этот код в файл <code>web.config</code>."
"If you temporarily make your site&#8217;s root directory writable for us to generate the <code>web.config</code> file automatically, do not forget to revert the permissions after the file has been created.","Если вы временно сделали корневую директорию сайта доступной для записи, чтобы мы могли автоматически создать файл <code>web.config</code>, не забудьте вернуть исходные права доступа после того, как правила будут сохранены."
"If your <code>.htaccess</code> file were <a href=\"http://codex.wordpress.org/Changing_File_Permissions\">writable</a>, we could do this automatically, but it isn&#8217;t so these are the mod_rewrite rules you should have in your <code>.htaccess</code> file. Click in the field and press <kbd>CTRL + a</kbd> to select all.","Если бы ваш файл <code>.htaccess</code> был <a href=\"http://codex.wordpress.org/Changing_File_Permissions\">доступен для записи</a>, мы могли бы выполнить следующий шаг автоматически, но это не так. Вот правила mod_rewrite, которые должны быть в файле <code>.htaccess</code>. Кликните на поле и нажмите <kbd>CTRL + a</kbd>, чтобы выделить весь текст."
"Reading Settings","Настройки чтения"
"The <a href=\"http://codex.wordpress.org/Glossary#Character_set\">character encoding</a> of your site (UTF-8 is recommended)","<a href=\"http://codex.wordpress.org/Glossary#Character_set\">Кодировка</a> вашего сайта (рекомендуется UTF-8)"
"This screen contains the settings that affect the display of your content.","Этот экран содержит параметры, влияющие на отображение вашего содержимого."
"You can choose what&#8217;s displayed on the front page of your site. It can be posts in reverse chronological order (classic blog), or a fixed/static page. To set a static home page, you first need to create two <a href=\"%s\">Pages</a>. One will become the front page, and the other will be where your posts are displayed.","Можно выбрать, что отображать на главной странице вашего сайта. Это могут быть записи в обратном хронологическом порядке (классический блог), либо постоянная/статическая страница. Чтобы сделать главную страницу статической, нужно создать две <a href=\"%s\">страницы</a>. Одна станет главной, а на второй будут отображаться ваши записи."
"You can also control the display of your content in RSS feeds, including the maximum numbers of posts to display and whether to show full text or a summary.","Вы также можете настроить отображение содержимого в RSS-лентах: максимальное количество записей в ленте и объём отображаемого текста."
"Site Visibility","Видимость сайта"
"Search Engine Visibility","Видимость для поисковых систем"
"You can choose whether or not your site will be crawled by robots, ping services, and spiders. If you want those services to ignore your site, click the checkbox next to &#8220;Discourage search engines from indexing this site&#8221; and click the Save Changes button at the bottom of the screen. Note that your privacy is not complete; your site is still visible on the web.","Вы можете выбрать, должен ли ваш сайт индексироваться роботами, сервисами уведомлений и веб-пауками. Если вы хотите, чтобы эти службы игнорировали ваш сайт, поставьте галочку &laquo;Попросить поисковые системы не индексировать сайт&raquo; и нажмите кнопку &laquo;Сохранить изменения&raquo; в нижней части экрана. Обратите внимание, что для полной приватности этого недостаточно; ваш сайт всё равно виден другим посетителям."
"When this setting is in effect, a reminder is shown in the Right Now box of the Dashboard that says, &#8220;Search Engines Discouraged,&#8221; to remind you that your site is not being crawled.","Когда используется этот параметр, на главной странице консоли в блоке &laquo;Прямо сейчас&raquo; отображается памятка &laquo;Поисковые системы заблокированы&raquo;, чтобы напомнить вам, что сайт не индексируется."
"<a href=\"http://codex.wordpress.org/Settings_Reading_Screen\" target=\"_blank\">Documentation on Reading Settings</a>","<a href=\"http://codex.wordpress.org/Settings_Reading_Screen\" target=\"_blank\">Документация по настройкам чтения</a>"
"Encoding for pages and feeds","Кодировка страниц и лент"
"A <a href=\"%s\">static page</a> (select below)","<a href=\"%s\">Статическую страницу</a> (выберите ниже)"
"Front page: %s","Главная страница: %s"
"Posts page: %s","Страница записей: %s"
"<strong>Warning:</strong> these pages should not be the same!","<strong>Внимание:</strong> Эти страницы не должны быть одинаковыми!"
"Blog pages show at most","На страницах блога отображать не более"
"posts","записей"
"Syndication feeds show the most recent","В RSS-лентах отображать последние"
"items","элементов"
"For each article in a feed, show","Для каждой статьи в ленте отображать"
"Full text","Полный текст"
"Summary","Анонс"
"Allow search engines to index this site","Разрешить поисковым системам индексировать сайт"
"Discourage search engines from indexing this site","Попросить поисковые системы не индексировать сайт"
"Note: Neither of these options blocks access to your site &mdash; it is up to search engines to honor your request.","Примечание: Эти настройки не блокируют доступ к вашему сайту. Будут ли они учитываться &mdash; зависит от поисковых систем."
"It is up to search engines to honor this request.","Будет ли учитываться этот запрос &mdash; зависит от поисковых систем."
"Writing Settings","Настройки публикации"
"You can submit content in several different ways; this screen holds the settings for all of them. The top section controls the editor within the dashboard, while the rest control external publishing methods. For more information on any of these methods, use the documentation links.","Содержимое можно отправлять различными способами; все они перечислены на этом экране. Верхняя часть относится к редактору в панели управления, а в остальных блоках настраиваются внешние методы публикации. Дополнительную информацию о каждом из этих методов можно получить в документации по ссылкам справа."
"Press This is a bookmarklet that makes it easy to blog about something you come across on the web. You can use it to just grab a link, or to post an excerpt. Press This will even allow you to choose from images included on the page and use them in your post. Just drag the Press This link on this screen to your bookmarks bar in your browser, and you&#8217;ll be on your way to easier content creation. Clicking on it while on another website opens a popup window with all these options.","&laquo;Опубликовать&raquo; &#8212; это функциональная закладка, позволяющая с лёгкостью написать о чём-то, что встретилось вам в Сети. Можно использовать её, чтобы просто сохранить ссылку или процитировать абзац. Закладка даже позволяет выбрать изображение из используемых на странице и включить его в свою запись. Просто перетащите ссылку &laquo;Опубликовать&raquo; с этого экрана в ваши закладки и откройте для себя лёгкий способ создания содержимого. Если вы откроете эту закладку, находясь на другом сайте, появится всплывающее окно со всеми этими возможностями."
"Post Via Email","Публикация через e-mail"
"Post via email settings allow you to send your WordPress install an email with the content of your post. You must set up a secret e-mail account with POP3 access to use this, and any mail received at this address will be posted, so it&#8217;s a good idea to keep this address very secret.","Публикация через e-mail позволяет вам отправлять на свой сайт письма с текстами записей. Для этого вы должны сделать скрытый e-mail с POP3-доступом. Любое сообщение, пришедшее на этот адрес, будет опубликовано, поэтому лучше держать этот адрес в тайне."
"Update Services","Сервисы обновления"
"If desired, WordPress will automatically alert various services of your new posts.","Если нужно, WordPress будет автоматически уведомлять различные сервисы о ваших новых записях."
"<a href=\"http://codex.wordpress.org/Settings_Writing_Screen\" target=\"_blank\">Documentation on Writing Settings</a>","<a href=\"http://codex.wordpress.org/Settings_Writing_Screen\" target=\"_blank\">Документация по настройкам написания</a>"
"Formatting","Форматирование"
"Convert emoticons like <code>:-)</code> and <code>:-P</code> to graphics on display","Преобразовывать смайлики наподобие <code>:-)</code> и <code>:-P</code> в картинки"
"WordPress should correct invalidly nested XHTML automatically","WordPress должен исправлять некорректный XHTML-код автоматически."
"Default Post Category","Основная рубрика"
"Default Post Format","Основной формат записей"
"Default Link Category","Основная рубрика для ссылок"
"Press This is a bookmarklet: a little app that runs in your browser and lets you grab bits of the web.","&laquo;Опубликовать&raquo; &#8212; функциональная закладка: небольшое приложение, которое запускается в браузере и позволяет сохранять кусочки Сети."
"Use Press This to clip text, images and videos from any web page. Then edit and add more straight from Press This before you save or publish it in a post on your site.","Используйте закладку, чтобы вставить текст, изображения или видеофайлы с любой веб-страницы. Затем можно отредактировать текст или что-нибудь добавить прямо в том же окне, перед тем как сохранить запись или опубликовать её на сайте."
"Drag-and-drop the following link to your bookmarks bar or right click it and add it to your favorites for a posting shortcut.","Перетащите следующую ссылку на панель закладок или добавьте в избранное, чтобы получить быстрый доступ к публикации."
"If your bookmarks toolbar is hidden: copy the code below, open your Bookmarks manager, create new bookmark, type Press This into the name field and paste the code into the URL field.","Если ваша панель закладок скрыта: скопируйте приведённый код, откройте менеджер закладок, создайте новую закладку, назовите её &laquo;Опубликовать&raquo; и вставьте скопированный код в поле URL."
"Post via e-mail","Публикация через e-mail"
"To post to WordPress by e-mail you must set up a secret e-mail account with POP3 access. Any mail received at this address will be posted, so it&#8217;s a good idea to keep this address very secret. Here are three random strings you could use: <kbd>%s</kbd>, <kbd>%s</kbd>, <kbd>%s</kbd>.","Чтобы оставлять записи в WordPress при помощи e-mail, вы должны сделать скрытый e-mail с POP3-доступом. Любое сообщение, пришедшее на этот адрес, будет опубликовано, поэтому лучше держать этот адрес в тайне. Вот, например, три произвольных имени, которые вы можете использовать: <kbd>%s</kbd>, <kbd>%s</kbd>, <kbd>%s</kbd>."
"Mail Server","Почтовый сервер"
"Port","Порт"
"Login Name","Логин"
"Default Mail Category","Рубрика по умолчанию для публикации по почте"
"When you publish a new post, WordPress automatically notifies the following site update services. For more about this, see <a href=\"http://codex.wordpress.org/Update_Services\">Update Services</a> on the Codex. Separate multiple service <abbr title=\"Universal Resource Locator\">URL</abbr>s with line breaks.","Когда вы публикуете новую статью, WordPress автоматически уведомляет следующие сайты служб слежения за обновлениями. Более подробно об этом написано в статье <a href=\"http://codex.wordpress.org/Update_Services\">&laquo;Службы слежения за обновлениями&raquo;</a> в Кодексе. Если адресов служб несколько, пишите каждый в новой строке."
"WordPress is not notifying any <a href=\"http://codex.wordpress.org/Update_Services\">Update Services</a> because of your site&#8217;s <a href=\"%s\">visibility settings</a>.","WordPress не оповещает <a href=\"http://codex.wordpress.org/Update_Services\">сервисы обновлений</a> в соответствии с вашими настройками <a href=\"%s\">видимости</a>"
"<strong>ERROR</strong>: options page not found.","<strong>ОШИБКА</strong>: не найдена страница настроек."
"You do not have sufficient permissions to modify unregistered settings for this site.","У вас недостаточно полномочий, чтобы изменять незарегистрированные параметры этого сайта."
"The <code>%s</code> setting is unregistered. Unregistered settings are deprecated. See http://codex.wordpress.org/Settings_API","Параметр <code>%s</code> не зарегистрирован. Незарегистрированные параметры считаются устаревшими. См. http://codex.wordpress.org/Settings_API"
"All Settings","Все настройки"
"You do not have sufficient permissions to edit plugins for this site.","У вас недостаточно полномочий, чтобы редактировать плагины на этом сайте."
"Edit Plugins","Изменение плагинов"
"There are no plugins installed on this site.","На этом сайте не установлены плагины."
"No such file exists! Double check the name and try again.","Нет такого файла! Перепроверьте имя и попробуйте ещё раз."
"Files of this type are not editable.","Файлы этого типа нельзя редактировать."
"You can use the editor to make changes to any of your plugins&#8217; individual PHP files. Be aware that if you make changes, plugins updates will overwrite your customizations.","Можно использовать редактор для внесения изменений в PHP-файлы плагинов. Учтите, что при обновлении плагинов сделанные вами изменения будут перезаписаны."
"Choose a plugin to edit from the menu in the upper right and click the Select button. Click once on any file name to load it in the editor, and make your changes. Don&#8217;t forget to save your changes (Update File) when you&#8217;re finished.","Выберите плагин для редактирования в меню в правом верхнем углу и нажмите кнопку &laquo;Выбрать&raquo;. Нажмите на имя любого файла, чтобы загрузить его в редактор, затем начинайте редактировать. Когда закончите, не забудьте сохранить изменения (&laquo;Обновить файл&raquo;)."
"The Documentation menu below the editor lists the PHP functions recognized in the plugin file. Clicking Lookup takes you to a web page about that particular function.","В меню &laquo;Документация&raquo; под редактором перечислены все функции, обнаруженные в файле плагина. При нажатии на &laquo;Поиск&raquo; откроется веб-страница об этой функции."
"In the editing area the Tab key enters a tab character. To move below this area by pressing Tab, press the Esc key followed by the Tab key.","В области редактирования клавиша Tab вводит символ табуляции. Чтобы с помощью клавиши Tab перейти ниже, сначала нажмите Esc."
"If you want to make changes but don&#8217;t want them to be overwritten when the plugin is updated, you may be ready to think about writing your own plugin. For information on how to edit plugins, write your own from scratch, or just better understand their anatomy, check out the links below.","Если вы хотите внести изменения, но не хотите, чтобы они были перезаписаны при обновлении плагина &#8212; возможно, вы готовы написать свой собственный плагин. Информацию о том, как редактировать плагины и писать собственные, а также просто о том, как они устроены, можно найти по ссылкам ниже."
"Any edits to files from this screen will be reflected on all sites in the network.","Изменения файлов на этом экране будут отражены на всех сайтах сети."
"<a href=\"http://codex.wordpress.org/Plugins_Editor_Screen\" target=\"_blank\">Documentation on Editing Plugins</a>","<a href=\"http://codex.wordpress.org/Plugins_Editor_Screen\" target=\"_blank\">Документация по редактированию плагинов</a>"
"<a href=\"http://codex.wordpress.org/Writing_a_Plugin\" target=\"_blank\">Documentation on Writing Plugins</a>","<a href=\"http://codex.wordpress.org/Writing_a_Plugin\" target=\"_blank\">Документация по написанию плагинов</a>"
"Function Name&hellip;","Название функции&hellip;"
"File edited successfully.","Файл успешно изменён."
"This plugin has been deactivated because your changes resulted in a <strong>fatal error</strong>.","Плагин был деактивирован, потому что ваши изменения привели к <strong>фатальной ошибке</strong>."
"Editing <strong>%s</strong> (active)","Редактирование <strong>%s</strong> (активен)"
"Browsing <strong>%s</strong> (active)","Обзор <strong>%s</strong> (активен)"
"Editing <strong>%s</strong> (inactive)","Редактирование <strong>%s</strong> (неактивен)"
"Browsing <strong>%s</strong> (inactive)","Обзор <strong>%s</strong> (неактивен)"
"Select plugin to edit:","Выберите плагин для изменения:"
"Plugin Files","Файлы плагинов"
"Documentation:","Документация:"
"Lookup","Поиск"
"<strong>Warning:</strong> Making changes to active plugins is not recommended. If your changes cause a fatal error, the plugin will be automatically deactivated.","<strong>Внимание:</strong> Не рекомендуется вносить изменения в активные плагины. Если ваши изменения приведут к фатальной ошибке, плагин будет автоматически деактивирован."
"Update File and Attempt to Reactivate","Обновить файл и попытаться активировать снова"
"Update File","Обновить файл"
"You need to make this file writable before you can save your changes. See <a href=\"http://codex.wordpress.org/Changing_File_Permissions\">the Codex</a> for more information.","Чтобы сохранить изменения, нужно сделать этот файл доступным для записи. Дополнительную информацию можно получить в <a href=\"http://codex.wordpress.org/Changing_File_Permissions\">Кодексе</a>."
"You do not have sufficient permissions to install plugins on this site.","У вас недостаточно полномочий, чтобы устанавливать плагины на этот сайт."
"Install Plugins","Установить плагины"
"Plugins hook into WordPress to extend its functionality with custom features. Plugins are developed independently from the core WordPress application by thousands of developers all over the world. All plugins in the official <a href=\"%s\" target=\"_blank\">WordPress.org Plugin Directory</a> are compatible with the license WordPress uses. You can find new plugins to install by searching or browsing the Directory right here in your own Plugins section.","Плагины подключаются к WordPress, расширяя его функциональность дополнительными возможностями. Плагины создаются независимо от ядра WordPress тысячами разработчиков по всему миру. Все плагины в официальном <a href=\"%s\" target=\"_blank\">каталоге плагинов на WordPress.org</a> совместимы с лицензией WordPress. Вы можете найти новые плагины с помощью поиска или просмотра каталога прямо с этой страницы."
"Adding Plugins","Добавление плагинов"
"If you know what you&#8217;re looking for, Search is your best bet. The Search screen has options to search the WordPress.org Plugin Directory for a particular Term, Author, or Tag. You can also search the directory by selecting popular tags. Tags in larger type mean more plugins have been labeled with that tag.","Если вы знаете, что ищете, стоит воспользоваться поиском. В блоке &laquo;Поиск&raquo; можно искать плагины из каталога WordPress.org по определённому ключевому слову, автору или метке. Можно также выполнять поиск по каталогу, выбирая популярные метки. Более крупный шрифт метки означает, что эта метка была присвоена большему числу плагинов."
"If you just want to get an idea of what&#8217;s available, you can browse Featured, Popular, and Newest plugins by using the links in the upper left of the screen. These sections rotate regularly.","Если вы просто хотите получить представление, можно просматривать избранные, популярные и свежие плагины, используя ссылки в левом верхнем углу экрана. Эти разделы регулярно обновляются."
"You can also browse a user&#8217;s favorite plugins, by using the Favorites link in the upper left of the screen and entering their WordPress.org username.","Вы также можете просмотреть список любимых плагинов пользователя, нажав ссылку &laquo;Любимые&raquo; в левой верхней части экрана и введя имя пользователя на WordPress.org."
"If you want to install a plugin that you&#8217;ve downloaded elsewhere, click the Upload link in the upper left. You will be prompted to upload the .zip package, and once uploaded, you can activate the new plugin.","Если вы хотите установить плагин, скачанный в другом месте, нажмите ссылку &laquo;Загрузка&raquo; слева вверху. Вам предложат загрузить архив .zip, после чего вы сможете активировать новый плагин."
"<a href=\"http://codex.wordpress.org/Plugins_Add_New_Screen\" target=\"_blank\">Documentation on Installing Plugins</a>","<a href=\"http://codex.wordpress.org/Plugins_Add_New_Screen\" target=\"_blank\">Документация по установке плагинов</a>"
"You do not have sufficient permissions to manage plugins for this site.","У вас недостаточно полномочий, чтобы управлять плагинами на этом сайте."
"You do not have sufficient permissions to activate plugins for this site.","У вас недостаточно полномочий, чтобы активировать плагины на этом сайте."
"Update Plugins","Обновить плагины"
"You do not have sufficient permissions to deactivate plugins for this site.","У вас недостаточно полномочий, чтобы деактивировать плагины на этом сайте."
"You do not have sufficient permissions to delete plugins for this site.","У вас недостаточно полномочий, чтобы удалять плагины на этом сайте."
"Delete Plugin","Удалить плагин"
"Delete Plugins","Удалить плагины"
"This plugin may be active on other sites in the network.","Этот плагин может быть активным на других сайтах сети."
"These plugins may be active on other sites in the network.","Эти плагины могут быть активными на других сайтах сети."
"You are about to remove the following plugin:","Вы собираетесь удалить следующий плагин:"
"You are about to remove the following plugins:","Вы собираетесь удалить следующие плагины:"
"<strong>%s</strong> by <em>%s</em> (will also <strong>delete its data</strong>)","<strong>%s</strong> автора <em>%s</em> (плагин также <strong>удалит свои данные</strong>)"
"<strong>%s</strong> by <em>%s</em>","<strong>%s</strong> автора <em>%s</em>"
"Are you sure you wish to delete these files and data?","Вы уверены, что хотите удалить эти файлы и данные?"
"Are you sure you wish to delete these files?","Вы уверены, что хотите удалить эти файлы?"
"Yes, Delete these files and data","Да, удалить эти файлы и данные"
"Yes, Delete these files","Да, удалить эти файлы"
"No, Return me to the plugin list","Нет, вернуться к списку плагинов"
"Click to view entire list of files which will be deleted","Нажмите, чтобы увидеть полный список подлежащих удалению файлов"
"Plugins extend and expand the functionality of WordPress. Once a plugin is installed, you may activate it or deactivate it here.","Плагины расширяют и дополняют функциональность WordPress. После установки плагина можно активировать или деактивировать его здесь."
