"New password","Nytt lösenord"
"The <code>style.css</code> stylesheet doesn't contain a valid theme header.","Formatmallen <code>style.css</code> saknar ett giltigt temahuvud."
"The theme is missing the <code>index.php</code> file.","Temat saknar filen <code>index.php</code>."
"WordPress is at the latest version.","WordPress är av den senaste versionen."
"Could not copy files.","Kunde inte kopiera filer."
"Could not copy files. You may have run out of disk space.","Kunde inte kopiera filer. Du ha kanske slut på diskutrymme."
"Update Plugin","Uppdatera tillägg"
"Activate Plugin","Aktivera tillägget"
"Go to plugins page","Gå till sidan för tillägg"
"Return to Plugins page","Återgå till sidan för tillägg"
"The update process is starting. This process may take a while on some hosts, so please be patient.","Uppdateringen börjar. Denna process kan ta ett tag på vissa webbhotell, ha tålamod."
"An error occurred while updating %s: <strong>%s</strong>.","Ett fel inträffade vid uppdateringen av %s: <strong>%s</strong>."
"The update of %s failed.","Uppdateringen av %s misslyckades."
"%s updated successfully.","%s har uppdaterats utan problem."
"Show Details","Visa detaljer"
"Hide Details","Göm detaljer"
"All updates have been completed.","Alla uppdateringar har genomförts."
"Updating Plugin %s (%s2$d/%s3$d)","Uppdaterar tillägget %s (%s2$d/%s3$d)"
"Go to WordPress Updates page","Gå till sidan, uppdateringar för WordPress"
"Return to WordPress Updates","Återgå till uppdateringar för WordPress"
"Updating Theme %s (%s2$d/%s3$d)","Uppdaterar temat %s (%s2$d/%s3$d)"
"Go to themes page","Gå till temasidan"
"Return to Themes page","Återgå till sidan för teman"
"Successfully installed the plugin <strong>%s %s</strong>.","Tillägget <strong>%s %s</strong> har installerats."
"Activate Plugin &amp; Run Importer","Aktivera tillägget &amp; kör importering"
"Return to Importers","Återgå till importörer"
"Return to Plugin Installer","Återgå till tilläggsinstalleraren"
"Enable this theme for all sites in this network","Aktivera detta tema för alla webbplatser i detta nätverk"
"Return to Theme Installer","Återgå till temainstalleraren"
"Themes page","Temasida"
"Update Theme","Uppdatera tema"
"Customize &#8220;%s&#8221;","Anpassa &#8221;%s&#8221;"
"Please select a file","Vänligen välj en fil"
"No matching users were found.","Hittade inga matchande användare."
"Change role to&hellip;","Ändra roll till&hellip;"
"Change","Ändra"
"Role","Roll"
"View posts by this author","Visa inlägg av den här författaren"
"You are using an insecure browser!","Du använder en osäker webbläsare!"
"Your browser is out of date!","Din webbläsare är föråldrad!"
"Right Now","Just nu"
"Incoming Links","Inkommande länkar"
"QuickPress","SnabbPress"
"Recent Drafts","Senaste utkasten"
"WordPress Blog","WordPress Blogg"
"Other WordPress News","Andra WordPressnyheter"
"View all","Visa alla"
"Configure","Konfigurera"
"Theme <span class=\"b\">%s</span> with <span class=\"b\"><a href=\"widgets.php\">%s Widget</a></span>","Tema <span class=\"b\">%s</span> med <span class=\"b\"><a href=\"widgets.php\">%s widget</a></span>"
"Theme <span class=\"b\">%s</span> with <span class=\"b\"><a href=\"widgets.php\">%s Widgets</a></span>","Tema <span class=\"b\">%s</span> med <span class=\"b\"><a href=\"widgets.php\">%s widgets</a></span>"
"Theme <span class=\"b\">%s</span> with <span class=\"b\">%s Widget</span>","Tema <span class=\"b\">%s</span> med <span class=\"b\">%s Widget</span>"
"Theme <span class=\"b\">%s</span> with <span class=\"b\">%s Widgets</span>","Tema <span class=\"b\">%s</span> med <span class=\"b\">%s Widgets</span>"
"Theme <span class=\"b\"><a href=\"themes.php\">%s</a></span>","Tema <span class=\"b\"><a href=\"themes.php\">%s</a></span>"
"Theme <span class=\"b\">%s</span>","Tema <span class=\"b\">%s</span>"
"Your site is asking search engines not to index its content","Din webbplats ber sökmotorer att inte indexera innehåll"
"Search Engines Discouraged","Sökmotorer blockerade"
"Create a New Site","Skapa en ny webbplats"
"Create a New User","Skapa en ny användare"
"%s user","%s användare"
"%s users","%s användare"
"%s site","%s webbplats"
"%s sites","%s webbplatser"
"You have %s and %s.","Du har %s och %s."
"Search Users","Sök användare"
"Search Sites","Sök webbplatser"
"Post published. <a href=\"%s\">View post</a> | <a href=\"%s\">Edit post</a>","Inlägg publicerat. <a href=\"%s\">Visa inlägg</a> | <a href=\"%s\">Redigera inlägg</a>"
"Post submitted. <a href=\"%s\">Preview post</a> | <a href=\"%s\">Edit post</a>","Inlägg sparat. <a href=\"%s\">Förhandsgranska inlägg</a> | <a href=\"%s\">Redigera inlägg</a>"
"Draft saved. <a href=\"%s\">Preview post</a> | <a href=\"%s\">Edit post</a>","Utkast sparat. <a href=\"%s\">Förhandsgranska inlägg</a> | <a href=\"%s\">Redigera inlägg</a>"
"You can also try %s, easy blogging from anywhere on the Web.","Du kan även testa %s, enkel bloggning var som helst på webben."
"Press This","Blogga det här"
"Tags (separate with commas)","Etiketter (separerade med kommatecken)"
"Submit for Review","Skicka till granskning"
"Reset","Återställ"
"There are no drafts at the moment","Det finns inga utkast just nu"
"From %s on %s%s","Av %s till %s%s"
"[Pending]","[Väntande]"
"This dashboard widget queries <a href=\"http://blogsearch.google.com/\">Google Blog Search</a> so that when another blog links to your site it will show up here. It has found no incoming links&hellip; yet. It&#8217;s okay &#8212; there is no rush.","Denna panelwidget hämtar info från <a href=\"http://blogsearch.google.com/\">Google Blog Search</a>, om någon annan blogg länkar till din sida så visas det här. Det har inte hittats några inkommande länkar&hellip; än. "
"Somebody","Någon"
"%s linked here <a href=\"%s\">saying</a>, \"%s\"","%s länkade hit och <a href=\"%s\">skrev</a>, \"%s\""
"%s linked here saying, \"%s\"","%s länkade hit och skrev, \"%s\""
"%s linked here <a href=\"%s\">saying</a>, \"%s\" on %s","%s länkade hit och <a href=\"%s\">skrev</a>, \"%s\" den %s"
"%s linked here saying, \"%s\" on %s","%s länkade hit och skrev, \"%s\"  den %s"
"Most Popular","Mest populära"
"Newest Plugins","Nyaste tilläggen"
"Loading&#8230;","Laddar&#8230;"
"This widget requires JavaScript.","Denna widget kräver JavaScript."
"Storage Space","Utrymmeskvot"
"<a href=\"%s\" title=\"Manage Uploads\" class=\"musublink\">%sMB</a>","<a href=\"%s\" title=\"Hantera uppladdningar\" class=\"musublink\">%sMB</a>"
"Space Allowed","Utrymme tillåtet"
"<a href=\"%s\" title=\"Manage Uploads\" class=\"musublink\">%sMB (%s%s%)</a>","<a href=\"%s\" title=\"Hantera uppladdningar\" class=\"musublink\">%sMB (%s%s%)</a>"
"Space Used","Utrymme använt"
"It looks like you're using an insecure version of <a href='%s'>%s</a>. Using an outdated browser makes your computer unsafe. For the best WordPress experience, please update your browser.","Det ser ut som du använder en osäker version av <a href='%s'>%s</a>. Att använda en gammal webbläsare gör din dator osäker. För bästa upplevelse med WordPress, vänligen uppdatera din webbläsare."
"Select comment","Välj kommentar"
"Y/m/d \\a\\t g:i A","Y-m-d \\k\\l h:i"
"Submitted on <a href=\"%s\">%s at %s</a>","Postat den <a href=\"%s\">%s kl. %s</a>"
"In reply to <a href=\"%s\">%s</a>.","Som svar till <a href=\"%s\">%s</a>."
"Unapprove this comment","Förkasta denna kommentar"
"Approve this comment","Godkänn denna kommentar"
"Mark this comment as spam","Markera denna kommentar som skräp"
"Move this comment to the trash","Flytta denna kommentar till papperskorgen"
"Quick Edit","Snabbredigera"
"Quick&nbsp;Edit","Snabbredigera"
"Reply to this comment","Svara på denna kommentar"
"Y/m/d \\a\\t g:ia","Y-m-d \\k\\l h:i"
"Changing to %s","Ändrar till %s"
"Found %s","Funna %s"
"The ftp PHP extension is not available","PHP-tillägget för FTP är inte tillgängligt"
"FTP hostname is required","FTP-servernamn är obligatoriskt"
"FTP username is required","FTP-användarnamn är obligatoriskt"
"FTP password is required","FTP-lösenord är obligatoriskt"
"Failed to connect to FTP Server %s:%s","Anslutningen till FTP-servern misslyckades %s:%s"
"Username/Password incorrect for %s","Användarnamn/Lösenord felaktigt för %s"
"The ssh2 PHP extension is not available","PHP-tillägget för SSH2 är inte tillgängligt"
"The ssh2 PHP extension is available, however, we require the PHP5 function <code>stream_get_contents()</code>","PHP-tillägget för ssh2 är tillgängligt, men kräver PHP5-funktionen <code>stream_get_contents()</code>"
"SSH2 hostname is required","SSH2-servernamn är obligatoriskt"
"SSH2 username is required","SSH2-användarnamn är obligatoriskt"
"SSH2 password is required","SSH2-lösenord är obligatoriskt"
"Failed to connect to SSH2 Server %s:%s","Anslutningen till SSH2-servern misslyckades %s:%s"
"Public and Private keys incorrect for %s","Publika och privata nycklar felaktiga för %s"
"Unable to perform command: %s","Oförmögen att utföra kommandot: %s"
"No links found.","Inga länkar funna."
"Delete","Radera"
"View all categories","Visa alla kategorier"
"Relationship","Relationer"
"Visible","Synlig"
"Rating","Omdöme"
"Select %s","Välj %s"
"Edit &#8220;%s&#8221;","Redigera &#8221;%s&#8221;"
"You are about to delete this link '%s'\n  'Cancel' to stop, 'OK' to delete.","Vill du radera den här länken '%s'?\n  'Avbryt' för att avbryta, 'OK' för att radera."
"Visit %s","Besök %s"
"Show all dates","Visa alla datum"
"List View","Listad visning"
"Excerpt View","Lista med utdrag"
"%s pending","%s väntande"
"Go to the first page","Gå till första sidan"
"Go to the previous page","Gå till föregående sida"
"Current page","Nuvarande sida"
"%s of %s","%s av %s"
"Go to the next page","Gå till nästa sida"
"Go to the last page","Gå till sista sidan"
"Unattached <span class=\"count\">(%s)</span>","Ej bifogade <span class=\"count\">(%s)</span>"
"Attach to a post","Bifoga till ett inlägg"
"Scan for lost attachments","Skanna efter tappade bilagor"
"No media attachments found.","Inga mediabilagor hittade."
"File","Fil"
"Uploaded to","Uppladdad till"
"Date","Datum"
"Unpublished","Opublicerat"
"%s from now","%s från nu"
"(Unattached)","(Ej bifogat)"
"Attach","Bifoga"
"View &#8220;%s&#8221;","Visa &#8221;%s&#8221;"
"View","Visa"
"No sites found.","Inga webbplatser funna."
"Mark as Spam","Markera som skräp"
"Domain","Domän"
"Last Updated","Senast uppdaterad"
"Registered","Registrerad"
"Archived","Arkiverat"
"Deleted","Inaktiverad"
"Mature","Vuxenmaterial"
"You are about to activate the site %s","Du håller på att aktivera webbplatsen %s"
"You are about to deactivate the site %s","Du håller på att inaktivera webbplatsen %s"
"You are about to unarchive the site %s.","Du håller på att avarkivera webbplatsen %s."
"Unarchive","Avarkivera"
"You are about to archive the site %s.","Du är på väg att arkivera webbplatsen %s."
"Archive","Arkiv"
"You are about to unspam the site %s.","Du är på väg att avmarkera webbplatsen %s som skräppostare."
"You are about to mark the site %s as spam.","Du är på väg att markera webbplatsen %s för skräppostning."
"You are about to delete the site %s.","Du håller på att radera webbplatsen %s"
"Visit","Besök"
"Never","Aldrig"
"Only showing first 5 users.","Visar endast de första 5 användarna."
"More","Mer"
"No themes found.","Inga teman hittades."
"You do not appear to have any themes available at this time.","Du verkar inte ha några teman tillgängliga just nu."
"Theme","Tema"
"Enabled <span class=\"count\">(%s)</span>","Aktiverade <span class=\"count\">(%s)</span>"
"Disabled <span class=\"count\">(%s)</span>","Inaktiva <span class=\"count\">(%s)</span>"
"Update Available <span class=\"count\">(%s)</span>","Uppdateringar tillgängliga <span class=\"count\">(%s)</span>"
"Broken <span class=\"count\">(%s)</span>","Trasiga <span class=\"count\">(%s)</span>"
"Enable","Aktivera"
"Network Enable","Aktivera för nätverk"
"Disable","Inaktivera"
"Network Disable","Inaktivera för nätverk"
"Enable this theme","Aktivera detta tema"
"Disable this theme","Inaktivera detta tema"
"Open this theme in the Theme Editor","Öppna detta tema i temaredigeraren"
"Delete this theme","Radera det här temat"
"Broken Theme:","Trasigt tema:"
"By %s","Av %s"
"Visit theme homepage","Besök temats webbplats"
"Visit Theme Site","Besök temats webbplats"
"No users found.","Inga användare funna."
"Super Admin <span class=\"count\">(%s)</span>","Superadmin <span class=\"count\">(%s)</span>"
"Super Admins <span class=\"count\">(%s)</span>","Superadmins <span class=\"count\">(%s)</span>"
"Super Admin","Superadmin"
"Search Results","Sökresultat"
"Popular","Populära"
"Favorites","Favoriter"
"Try again","Försök igen"
"No plugins match your request.","Inga tillägg matchade din efterfrågan."
"More information about %s","Mer information om %s"
"Details","Detaljer"
"Install %s","Installera %s"
"Install Now","Installera nu"
"Update to version %s","Uppdatera till %s"
"Update Now","Uppdatera nu"
"This plugin is already installed and is up to date","Tillägget är redan installerat och är den senaste versionen"
"(based on %s rating)","(baserat på %s omdöme)"
"(based on %s ratings)","(baserat på %s omdömen)"
"No plugins found.","Inga tillägg funna."
"You do not appear to have any plugins available at this time.","Du verkar inte ha några tillägg tillgängliga just nu."
"Welcome to WordPress %s","Välkommen till WordPress %s"
"Thank you for updating to the latest version! WordPress %s is more polished and enjoyable than ever before. We hope you like it.","Tack för att du uppdaterar till den senaste versionen! WordPress %s är mer polerat och njutbart än någonsin tidigare. Vi hoppas du gillar det."
"What&#8217;s New","Vad är nytt"
"Credits","Erkännande"
"Freedoms","Friheterna"
"New Media Manager","Ny mediahanterare"
"Beautiful Interface","Vackert gränssnitt"
"Adding media has been streamlined with an all-new experience, making it a breeze to upload files and place them into your posts.","Att lägga till media har effektiviserats med en helt ny upplevelse, vilket gör det enkelt att ladda upp filer och placera dem i dina inlägg."
"Picturesque Galleries","Pittoreska gallerier"
"Creating image galleries is faster with drag and drop reordering, inline caption editing, and simplified controls for layout.","Att skapa bildgallerier är snabbare med drag och släpp funktionalitet för att bestämma ordningen, förbättrad bildtextredigering och förenklade kontroller för layout."
"New Default Theme","Nytt standardtema"
"Introducing Twenty Twelve","Vi presenterar Twenty Twelve"
"The newest default theme for WordPress is simple, flexible, and elegant.","Det senaste standardtemat för WordPress är enkelt, flexibelt och elegant."
"What makes it really shine are the design details, like the gorgeous Open Sans typeface and a fully responsive design that looks great on any device.","Vad som verkligen får det att skina är detaljerna i designen, så som det vackra Open Sans typsnittet och en fullt responsiv design som ser lika bra ut i alla enheter."
"Naturally, Twenty Twelve supports all the theme features you’ve come to know and love, but it is also designed to be as great for a website as it is for a blog.","Natruligtvis så har Twenty Twelve stöd för alla temafunktioner du lärt känna och älska, men det är även designat för att fungera lika bra som en vanlig webbplats som för en blogg."
"Retina Ready","Retina-stöd"
"So Sharp You Can&#8217;t See the Pixels","Så skarpt att du inte kan se pixlarna"
"The WordPress dashboard now looks beautiful on high-resolution screens like those found on the iPad, Kindle Fire HD, Nexus 10, and MacBook Pro with Retina Display. Icons and other visual elements are crystal clear and full of detail.","WordPress adminpanel ser nu vackert på skärmar med hög DPI som de som hittas på iPad, Kindle Fire HD, Nexus 10, och MacBook Pro med Retina skärmar. Ikoner och andra visuella element är kristallklara och fulla av detaljer."
"Smoother Experience","En smidigare upplevelse"
"Better Accessibility","Förbättrad tillgänglighet"
"WordPress supports more usage modes than ever before. Screenreaders, touch devices, and mouseless workflows all have improved ease of use and accessibility.","WordPress stöder fler användningslägen än någonsin tidigare. Skärmläsare, enheter med touch och alla muslösa arbetsflöden har förbättrad användarvänlighet och tillgänglighet."
"More Polish","Mer glans"
"A number of screens and controls have been refined. For example, a new color picker makes it easier for you to choose that perfect shade of blue.","En rad paneler och kontroller har förfinats. T.ex så gör en ny färgväljare det enklare att välja den där perfekta nyansen av blå."
"Under the Hood","Under huven"
"Meta Query Additions","Tillägg för meta query"
"The <code>WP_Comment_Query</code> and <code>WP_User_Query</code> classes now support meta queries just like <code>WP_Query.</code> Meta queries now support querying for objects without a particular meta key.","<code>WP_Comment_Query</code> och <code>WP_User_Query</code> klasserna har nu stöd för meta queries precis som <code>WP_Query</code>. Meta queries stöder nu förfrågningar för objekt utan en viss meta-nyckel."
"Post Objects","Postobjekt"
"Post objects are now instances of a <code>WP_Post</code> class, which improves performance by loading selected properties on demand.","Postobjekt är nu en instans av en <code>WP_Post</code>-klass, vilket förbättrar prestandan genom att ladda valda egenskaper på begäran."
"Image Editing API","API för bildredigering"
"The <code>WP_Image_Editor</code> class abstracts image editing functionality such as cropping and scaling, and uses ImageMagick when available.","Klassen <code>WP_Image_Editor</code> samlar bildredigeringsfunktioner som beskärning och skalning och använder ImageMagick när det är tillgängligt."
"Multisite Improvements","Förbättringar för multisites"
"<code>switch_to_blog()</code> is now significantly faster and more reliable.","<code>switch_to_blog()</code> är nu betydligt snabbare och mer tillförlitlig."
"XML-RPC API","API för XML-RPC"
"The <a href=\"%s\">WordPress API</a> is now always enabled, and supports fetching users, editing profiles, managing post revisions, and searching posts.","<a href=\"%s\">WordPress API</a> är nu alltid aktiverad och stöder hämtning av användare, redigering av profiler, hantering av postversioner och sökning av poster."
"External Libraries","Externa bibliotek"
"WordPress now includes the <a href=\"%s\">Underscore</a> and <a href=\"%s\">Backbone</a> JavaScript libraries. TinyMCE, jQuery, jQuery UI, and SimplePie have all been updated to the latest versions.","WordPress inkluderar nu mer JavaScripts-biblioteken <a href=\"%s\">Underscore</a> och <a href=\"%s\">Backbone</a>. TinyMCE, jQuery, jQuery UI och SimplePie har alla uppdaterats till den senaste versionen."
"Return to Updates","Återgå till uppdateringar"
"Return to Dashboard &rarr; Updates","Återgå till Adminpanel &rarr; Uppdateringar"
"Go to Dashboard &rarr; Home","Gå till Adminpanel &rarr; Hem"
"Go to Dashboard","Gå till adminpanelen"
"Maintenance Release","Underhållsrelease"
"Maintenance Releases","Underhållsreleaser"
"Security Release","Säkerhetsrelease"
"Security Releases","Säkerhetsreleaser"
"Maintenance and Security Release","Underhålls och säkerhetsrelease"
"Maintenance and Security Releases","Underhålls och säkerhetsreleaser"
"<strong>Version %s</strong> addressed a security issue.","<strong>Version %s</strong> åtgärdar en säkerhetsrisk."
"<strong>Version %s</strong> addressed some security issues.","<strong>Version %s</strong> åtgärdar säkerhetsrisker."
"<strong>Version %s</strong> addressed %s bug.","<strong>Version %s</strong> åtgärdar %s bugg."
"<strong>Version %s</strong> addressed %s bugs.","<strong>Version %s</strong> åtgärdar %s buggar."
"<strong>Version %s</strong> addressed a security issue and fixed %s bug.","<strong>Version %s</strong> åtgärdar en säkerhetsrisk och %s bugg."
"<strong>Version %s</strong> addressed a security issue and fixed %s bugs.","<strong>Version %s</strong> åtgärdar en säkerhetsrisk och %s buggar."
"<strong>Version %s</strong> addressed some security issues and fixed %s bug.","<strong>Version %s</strong> åtgärdar ett par säkerhetsrisker och %s bugg."
"<strong>Version %s</strong> addressed some security issues and fixed %s bugs.","<strong>Version %s</strong> åtgärdar ett par säkerhetsrisker och %s buggar."
"For more information, see <a href=\"%s\">the release notes</a>.","För mer information, se <a href=\"%s\">detaljer för releasen</a>."
"Thank you for creating with <a href=\"http://wordpress.org/\">WordPress</a>.","Tack för att du använder <a href=\"http://wordpress.org/\">WordPress</a> | Svensk support <a href=\"http://wpsv.se/\">WordPress Sverige</a>"
"Global Dashboard","Global adminpanel"
"Skip to main content","Hoppa till innehåll"
"Main content","Huvudinnehåll"
"Invalid plugin page","Ogiltig tilläggssida."
"Cannot load %s.","Kan inte ladda %s."
"You are not allowed to import.","Du har inte tillräcklig behörighet för att kunna importera."
"Import","Importera"
"Unknown post type.","Okänd inläggstyp."
"You are not allowed to edit this item.","Du har inte tillräcklig behörighet för att redigera den här posten."
"&#8220;%s&#8221; has failed to upload due to an error","&#8221;%s&#8221; har misslyckats med att ladda upp på grund av ett fel"
"Edit Comment","Redigera kommentar"
"Overview","Översikt"
"You can edit the information left in a comment if needed. This is often useful when you notice that a commenter has made a typographical error.","Du kan ändra informationen i kommentaren om nödvändigt. Detta kan vara användbart när man upptäcker felskrivningar av kommentarsförfattaren."
"You can also moderate the comment from this screen using the Status box, where you can also change the timestamp of the comment.","Du kan även moderera kommentaren på den här sidan genom att använda statusrutan, där du också kan ändra tidsangivelsen för kommentaren."
"For more information:","För mer information:"
"<a href=\"http://codex.wordpress.org/Administration_Screens#Comments\" target=\"_blank\">Documentation on Comments</a>","<a href=\"http://codex.wordpress.org/Administration_Screen#Comments\" target=\"_blank\">Dokumentation för kommentarer</a>"
"<a href=\"http://wordpress.org/support/\" target=\"_blank\">Support Forums</a>","<a href=\"http://wordpress.org/support/\" target=\"_blank\">Supportforum</a><br /><a href=\"http://wpsv.se/\" target=\"_blank\">WordPress Sverige</a>"
"Oops, no comment with this ID.","Oops, ingen kommentarer med den här ID:n."
"Go back","Gå tillbaka"
"You are not allowed to edit this comment.","Du har inte behörighet att redigera den här kommentaren."
"This comment is in the Trash. Please move it out of the Trash if you want to edit it.","Denna kommentar har placerats i papperskorgen. Om du vill redigera kommentaren så måste du flytta den från papperskorgen."
"Moderate Comment","Moderera kommentar"
"You are about to mark the following comment as spam:","Du håller på att markera följande kommentar som skräp:"
"Spam Comment","Skräpkommentar"
"You are about to move the following comment to the Trash:","Du är på väg att flytta följande kommentar till papperskorgen:"
"Trash Comment","Kasta i papperskorgen"
"You are about to delete the following comment:","Du håller på att radera följande kommentar:"
"Permanently Delete Comment","Radera kommentar permanent"
"You are about to approve the following comment:","Du håller på att godkänna följande kommentar:"
"Approve Comment","Godkänn kommentar"
"This comment is currently approved.","Denna kommentar är för närvarande godkänd."
"This comment is currently marked as spam.","Denna kommentarär för närvarande markerad som skräp."
"This comment is currently in the Trash.","Denna kommentar ligger för närvarande i papperskorgen."
"Caution:","Varning:"
"You are not allowed to edit comments on this post.","Du har inte tillräcklig behörighet för att redigera kommentarer till det här inlägget."
"Unknown action.","Okänd åtgärd."
"WordPress is created by a <a href=\"%s\">worldwide team</a> of passionate individuals. <a href=\"%s\">Get involved in WordPress</a>.","WordPress är skapat av ett <a href=\"%s\">globalt team</a> av passionerade individer. <a href=\"%s\">Engagera dig i WordPress</a>."
"WordPress is created by a worldwide team of passionate individuals.","WordPress är skapat av ett världsomspännande team av passionerade individer."
"Translators","Svenska översättare"
"Want to see your name in lights on this page? <a href=\"%s\">Get involved in WordPress</a>.","Vill du se ditt namn i neon på denna sida? <a href=\"%s\">Engagera dig i WordPress</a>."
"Project Leaders","Projektledare"
"Extended Core Team","Utökat &#8217;Core team&#8217;"
"Core Developers","Kärnutvecklare"
"Recent Rockstars","Senaste rockstars"
"Core Contributors to WordPress %s","Bidragslämnare för kärnan till WordPress %s"
"Contributing Developers","Bidragande utvecklare"
"Cofounder, Project Lead","Grundare, projektledare"
"Lead Developer","Utvecklingsledare"
"User Experience Lead","Ledare användarvänlighet"
"Core Developer","Kärnutvecklare"
"Core Committer","&#8217;Core Committer&#8217;"
"Guest Committer","Gäst &#8217;committer&#8217;"
"Developer","Utvecklare"
"Internationalization","Internationalisering"
"Icon Design","Ikon-design"
"You can customize the look of your site without touching any of your theme&#8217;s code by using a custom background. Your background can be an image or a color.","Du kan anpassa utseendet på din webbplats utan att behöva röra någon kod i temat genom att använda en anpassad bakgrundsbild. Din bakgrund kan vara en bild eller en färg."
"To use a background image, simply upload it or choose an image that has already been uploaded to your Media Library by clicking the &#8220;Choose Image&#8221; button. You can display a single instance of your image, or tile it to fill the screen. You can have your background fixed in place, so your site content moves on top of it, or you can have it scroll with your site.","För att använda en bakgrundsbild, ladda helt enkelt bara upp den eller välj en bild som redan har laddats upp i ditt mediabibliotek genom att på knappen &#8221;Välj bild&#8221;. Du kan välja hur bilden ska visas, utsträckt, upprepad eller som den är. Du kan ha din bild fixerad på sin plats eller låta den rulla med innehållet på sidan."
"You can also choose a background color by clicking the Select Color button and either typing in a legitimate HTML hex value, e.g. &#8220;#ff0000&#8221; for red, or by choosing a color using the color picker.","Du kan även välja en bakgrundsfärg genom att klicka på knappen Välj färg och antingen ange en färgkod i formatet HTML-hex, t.ex &#8221;#ff0000&#8221; för röd eller genom att använda färgväljaren."
"Don&#8217;t forget to click on the Save Changes button when you are finished.","Glöm inte att klicka på knappen Spara ändringar när du är klar."
"<a href=\"http://codex.wordpress.org/Appearance_Background_Screen\" target=\"_blank\">Documentation on Custom Background</a>","<a href=\"http://codex.wordpress.org/Appearance_Background_Screen\" target=\"_blank\">Dokumentation för anpassad bakgrund</a>"
"Custom Background","Egen bakgrund"
"Background updated. <a href=\"%s\">Visit your site</a> to see how it looks.","Bakgrund uppdaterad. <a href=\"%s\">Visa din webbplats</a> för att se hur det blev."
"Remove Background Image","Ta bort bakgrundsbild"
"This will remove the background image. You will not be able to restore any customizations.","Det här tar bort bakgrundsbilden. Du kommer inte kunna återställa några förändringar."
"Restore Original Image","Återställ ursprunglig bild"
"This will restore the original background image. You will not be able to restore any customizations.","Det här återställer den ursprunliga bakgrundsbilden. Du kommer inte kunna återställa några tidigare gjorda förändringar."
"Select Image","Välj bild"
"Choose an image from your computer:","Välj en bild på din dator:"
"Or choose an image from your media library:","Eller välj en bild från ditt mediabibliotek:"
"Choose a Background Image","Välj en bakgrundsbild"
"Set as background","Ange som bakgrund"
"Choose Image","Välj bild"
"Display Options","Visningsalternativ"
"Repeat","Upprepa"
"Attachment","Beteende"
"The uploaded file is not a valid image. Please try again.","Den uppladdade filen är inte en giltig bildfil. Vänligen försök igen."
"This screen is used to customize the header section of your theme.","Denna sida används för att anpassa sidhuvudet för ditt tema."
"You can choose from the theme&#8217;s default header images, or use one of your own. You can also customize how your Site Title and Tagline are displayed.","Du kan välja mellan temats standardbilder för sidhuvudet eller ladda upp din egna. Du kan även anpassa hur din sidas titel och slogan visas."
"You can set a custom image header for your site. Simply upload the image and crop it, and the new header will go live immediately. Alternatively, you can use an image that has already been uploaded to your Media Library by clicking the &#8220;Choose Image&#8221; button.","Du kan ange en anpassad bild som sidhuvud för din webbplats. Ladda helt enkelt bara upp bilden och beskär den. Bilden för sidhuvudet kommer att uppdateras direkt. Alternativt så kan du använda en redan uppladdad bild från mediabiblioteket genom att klicka på knappen &#8221;Välj bild&#8221;."
"Some themes come with additional header images bundled. If you see multiple images displayed, select the one you&#8217;d like and click the &#8220;Save Changes&#8221; button.","Vissa teman kommer med flera extra bilder för sidhuvudet inkluderade. Om du ser flera bilder visade, välj den du gillar och klicka på knappen &#8221;Spara ändringar&#8221;."
"If your theme has more than one default header image, or you have uploaded more than one custom header image, you have the option of having WordPress display a randomly different image on each page of your site. Click the &#8220;Random&#8221; radio button next to the Uploaded Images or Default Images section to enable this feature.","Om ditt tema har mer än en standardbild för sidhuvudet eller om du laddat upp mer än en anpassad bild så kan du välja att WordPress visar dessa bilder slumpvalt på de olika sidorna. Markera alternativet &#8221;Sumpvalt&#8221; vid sidan om uppladdade bilder eller sektionen för standard bilder för att aktivera denna funktion."
"If you don&#8217;t want a header image to be displayed on your site at all, click the &#8220;Remove Header Image&#8221; button at the bottom of the Header Image section of this page. If you want to re-enable the header image later, you just have to select one of the other image options and click &#8220;Save Changes&#8221;.","Om du inte vill ha någon bild alls i sidhuvudet av din webbplats, klicka på knappen &#8221;Ta bort bild i sidhuvud&#8221; under sektionen för sidhuvud på denna sida. Om du vill aktivera vid ett senare tillfälle så behöver du bara välja ett av de andra alternativen för sidhuvud och klicka på &#8221;Spara ändringar&#8221;."
"Header Text","Text i sidhuvud"
"For most themes, the header text is your Site Title and Tagline, as defined in the <a href=\"%s\">General Settings</a> section.","För de flesta teman så består texten i sidhuvudet av din sidas titel och slogan som det är angivet under <a href=\"%s\">Allmänna inställningar</a>."
"In the Header Text section of this page, you can choose whether to display this text or hide it. You can also choose a color for the text by clicking the Select Color button and either typing in a legitimate HTML hex value, e.g. &#8220;#ff0000&#8221; for red, or by choosing a color using the color picker.","I textsektionen av sidhuvudet så kan du välja om du vill visa eller gömma texten. Du kan även välja färg på texten genom att klicka på knappen Välj färg ntingen ange en färgkod i formatet HTML-hex, t.ex &#8221;#ff0000&#8221; för röd eller genom att använda färgväljaren."
"Don&#8217;t forget to click &#8220;Save Changes&#8221; when you&#8217;re done!","Glöm inte att klicka på &#8221;Spara ändringar&#8221; när du är klar!"
"<a href=\"http://codex.wordpress.org/Appearance_Header_Screen\" target=\"_blank\">Documentation on Custom Header</a>","<a href=\"http://codex.wordpress.org/Appearance_Header_Screen\" target=\"_blank\">Dokumentation för anpassat sidhuvud</a>"
