"New password","Nieuw wachtwoord"
"Custom Background","Aangepaste achtergrond"
"Background updated. <a href=\"%s\">Visit your site</a> to see how it looks.","Achtergrond bijgewerkt. <a href=\"%s\">Bezoek je site</a> om het resultaat te zien."
"Remove Background Image","Verwijder achtergrondafbeelding"
"This will remove the background image. You will not be able to restore any customizations.","Hierdoor wordt de achtergrondafbeelding verwijderd. Eventuele aanpassingen gaan definitief verloren."
"Restore Original Image","Oorspronkelijke afbeelding herstellen"
"This will restore the original background image. You will not be able to restore any customizations.","Dit zal de originele achtergrondafbeelding herstellen. Het is niet mogelijk om aanpassingen te herstellen."
"Select Image","Afbeelding selecteren"
"Choose an image from your computer:","Kies een afbeelding van je computer:"
"Or choose an image from your media library:","Of kies een afbeelding uit de mediabibliotheek:"
"Choose a Background Image","Kies een achtergrondafbeelding"
"Set as background","Instellen als achtergrond"
"Choose Image","Afbeelding selecteren"
"Display Options","Weergave-instellingen"
"Position","Positie"
"Repeat","Herhalen"
"Attachment","Bijlage"
"The uploaded file is not a valid image. Please try again.","Het bestand is geen geldig afbeeldingstype. Probeer het opnieuw."
"This screen is used to customize the header section of your theme.","Dit scherm wordt gebruikt om de header van je thema aan te passen."
"You can choose from the theme&#8217;s default header images, or use one of your own. You can also customize how your Site Title and Tagline are displayed.","Je kunt kiezen uit de standaard afbeeldingen van een thema, of je kunt een afbeelding van jezelf gebruiken. Je kunt ook aanpassen hoe je site titel en slogan worden weergegeven."
"You can set a custom image header for your site. Simply upload the image and crop it, and the new header will go live immediately. Alternatively, you can use an image that has already been uploaded to your Media Library by clicking the &#8220;Choose Image&#8221; button.","Je kan een aangepaste Image Header voor je site instellen. Upload een afbeelding en snij deze  op maat. Daarna wordt deze afbeelding direct gebruikt als Image Header. Je kan als alternatief ook een afbeelding gebruiken die je al eerder hebt geupload naar je Media Bibliotheek. Klik daarvoor op het &#8220;Kies afbeelding&#8221; knop."
"Some themes come with additional header images bundled. If you see multiple images displayed, select the one you&#8217;d like and click the &#8220;Save Changes&#8221; button.","Sommige thema&#8217; hebben zelf header afbeeldingen toegevoegd. Wanneer je meerdere afbeeldingen ziet, selecteer dan degene die je wilt en klik op de &#8220;Opslaan&#8221; knop."
"If your theme has more than one default header image, or you have uploaded more than one custom header image, you have the option of having WordPress display a randomly different image on each page of your site. Click the &#8220;Random&#8221; radio button next to the Uploaded Images or Default Images section to enable this feature.","Indien je thema maar dan &#233;&#233;n standaard header afbeelding heeft, of wanneer je meer dan &#233;&#233;n afbeelding hebt ge&#252;ploadt, dan kun je ervoor kiezen dat WordPress willekeurig  een andere afbeelding toont op elke pagina van je site. Klik op de knop &#8220;Willekeurig&#8221; naast de afbeelding om deze optie aan te zetten."
"If you don&#8217;t want a header image to be displayed on your site at all, click the &#8220;Remove Header Image&#8221; button at the bottom of the Header Image section of this page. If you want to re-enable the header image later, you just have to select one of the other image options and click &#8220;Save Changes&#8221;.","Als je geen header afbeelding wilt tonen op je site, klik dan op de &#8220;Verwijder Header Afbeelding&#8221; knop onderaan het Header afbeelding gedeelte van deze pagina. Indien je deze optie later weer wilt toevoegen hoef je enkel een andere optie te selecteren en op &#8220;Opslaan&#8221; te klikken."
"Header Text","Koptekst"
"For most themes, the header text is your Site Title and Tagline, as defined in the <a href=\"%s\">General Settings</a> section.","Voor de meeste thema&#39;s bestaat de header tekst uit je Sitetitel en Site omschrijving zoals ingesteld bij de <a href=\"%s\">Algemene instellingen</a>"
"In the Header Text section of this page, you can choose whether to display this text or hide it. You can also choose a color for the text by clicking the Select Color button and either typing in a legitimate HTML hex value, e.g. &#8220;#ff0000&#8221; for red, or by choosing a color using the color picker.","Je kunt kiezen of je de headertekst wilt tonen of verbergen. Je kunt ook een tekstkleur kiezen door op de Selecteer een kleurknop te klikken waarna een kleurenpicker tevoorschijn komt. Een andere manier om een kleur te selecteren is de legitieme waarde in te geven zoals &#8220;#ff0000&#8221; voor rood."
"Don&#8217;t forget to click &#8220;Save Changes&#8221; when you&#8217;re done!","Vergeet niet op de &#8220;Wijzigingen opslaan&#8221; te klikken wanneer je klaar bent!"
"<a href=\"http://codex.wordpress.org/Appearance_Header_Screen\" target=\"_blank\">Documentation on Custom Header</a>","<a href=\"http://codex.wordpress.org/Appearance_Header_Screen\" target=\"_blank\">Documentatie over aangepaste kopafbeeldingen</a>"
"<strong>Random:</strong> Show a different image on each page.","<strong>Willekeurig:</strong> Toon een andere afbeelding op iedere pagina."
"Custom Header","Header aanpassen"
"Header updated. <a href=\"%s\">Visit your site</a> to see how it looks.","Header bijgewerkt. <a href=\"%s\">Bezoek je site</a> om te zien hoe het er uit ziet."
"You can select an image to be shown at the top of your site by uploading from your computer or choosing from your media library. After selecting an image you will be able to crop it.","Het is mogelijk een afbeelding selecteren om te tonen aan de bovenkant van je site door een afbeelding van de computer te uploaden of te kiezen uit de mediabibliotheek. Na het selecteren van een afbeelding kan deze worden bewerkt."
"Images of exactly <strong>%s1$d &times; %s2$d pixels</strong> will be used as-is.","Afbeeldingen die precies <strong>%s1$d &times; %s2$d pixels</strong> zijn worden gebruikt zoals ze zijn."
"Images should be at least <strong>%s1$d pixels</strong> wide.","Afbeeldingen moeten minimaal <strong>%s1$d pixels</strong> breed zijn."
"Images should be at least <strong>%s1$d pixels</strong> tall.","Afbeeldingen moeten minstens <strong>%s1$d pixels</strong> hoog zijn."
"Suggested width is <strong>%s1$d pixels</strong>.","Voorgestelde breedte is <strong>%s1$d pixels</strong>."
"Suggested height is <strong>%s1$d pixels</strong>.","Voorgestelde hoogte is <strong>%s1$d pixels</strong>."
"Choose a Custom Header","Kies een aangepaste header"
"Set as header","Instellen als kop"
"Uploaded Images","Ge&#252;ploade afbeeldingen"
"You can choose one of your previously uploaded headers, or show a random one.","Je kunt &#233;&#233;n van de eerder ge&#252;ploade afbeeldingen gebruiken of deze random tonen"
"Default Images","Standaard afbeeldingen"
"If you don&lsquo;t want to upload your own image, you can use one of these cool headers, or show a random one.","Als je geen eigen afbeelding wilt uploaden, kan je &#233;&#233;n van deze fantastische afbeeldingen gebruiken of een willekeurige laten tonen."
"You can use one of these cool headers or show a random one on each page.","Je kunt &#233;&#233;n van deze colle afbeeldingen gebruiken of deze random tonen op elke pagina."
"This will remove the header image. You will not be able to restore any customizations.","Dit verwijdert de header afbeelding. Het is niet mogelijk aanpassingen te herstellen."
"Remove Header Image","Header afbeelding verwijderen"
"Reset Image","Afbeelding herstellen"
"This will restore the original header image. You will not be able to restore any customizations.","Dit zal de standaard header afbeelding terugzetten. Het is niet mogelijk aanpassingen te herstellen. "
"Restore Original Header Image","Originele header afbeelding herstellen"
"Show header text with your image.","Laat de header tekst en je afbeelding zien."
"Text Color","Tekstkleur"
"Default: %s","Standaard: %s"
"Image could not be processed. Please go back and try again.","Verwerking van de afbeelding niet mogelijk. Ga terug en probeer opnieuw."
"Image Processing Error","Afbeeldingsverwerkingsfout"
"Crop Header Image","Header afbeelding bijsnijden"
"Choose the part of the image you want to use as your header.","Kies het deel van de afbeelding wat je als header wilt gebruiken."
"You need Javascript to choose a part of the image.","Je hebt Javascript nodig om een deel van een afbeelding te kiezen."
"Crop and Publish","Bijsnijden en publiceren"
"Skip Cropping, Publish Image as Is","Bijsnijden overslaan en publiceer afbeelding zoals hij nu is"
"Image Upload Error","Afbeeldingsupload fout"
"You do not have permission to customize headers.","Je hebt onvoldoende rechten om headers te aan te passen."
"Customize %s","%s aanpassen"
"Theme Customizer Options","Aan te passen thema-opties"
"You are previewing %s","Je bekijkt %s als voorbeeld"
"Collapse Sidebar","Sidebar inklappen"
"Collapse","Inklappen"
"Comments on &#8220;%s&#8221;","Reacties op &#8220;%s&#8221;"
"You can manage comments made on your site similar to the way you manage posts and other content. This screen is customizable in the same ways as other management screens, and you can act on comments using the on-hover action links or the Bulk Actions.","Je kunt reacties op je site beheren net zoals je berichten en andere inhoud beheert. Dit scherm is aanpasbaar op dezelfde manier als de andere beheerschermen, en je kunt werken met de reacties met gebruik van de hover-actielinks of de Acties."
"Moderating Comments","Reacties modereren"
"A yellow row means the comment is waiting for you to moderate it.","Een gele regel betekent dat de reactie wacht op moderatie."
"In the <strong>Author</strong> column, in addition to the author&#8217;s name, email address, and blog URL, the commenter&#8217;s IP address is shown. Clicking on this link will show you all the comments made from this IP address.","In de <strong>Auteur</strong> kolom, naast de auteursnaam, e-mailadres, en site URL,  wordt het IP adres van de afzender getoond. Als je op deze link klikt worden alle reacties die op dit  IP adres gemaakt zijn, getoond."
"In the <strong>Comment</strong> column, above each comment it says &#8220;Submitted on,&#8221; followed by the date and time the comment was left on your site. Clicking on the date/time link will take you to that comment on your live site. Hovering over any comment gives you options to approve, reply (and approve), quick edit, edit, spam mark, or trash that comment.","In de <strong>Reactie</strong> kolom, boven elke reactie, waar vermeld wordt -Verzonden op-  vind je  de datum en tijd terug wanneer de reactie is verzenden naar je site. Klikken op de datum/tijd link brengt je naar de reactie aan de voorkant van de site. Als je over een reactie hovert, geeft je dit opties om de reactie toe te laten, beantwoorden (en toe te laten), snel te bewerken, te bewerken, te markeren als spam, of de reactie naar de prullenbak te verplaatsen."
"In the <strong>In Response To</strong> column, there are three elements. The text is the name of the post that inspired the comment, and links to the post editor for that entry. The View Post link leads to that post on your live site. The small bubble with the number in it shows the number of approved comments that post has received. If the bubble is gray, you have moderated all comments for that post. If it is blue, there are pending comments. Clicking the bubble will filter the comments screen to show only comments on that post.","In de <strong>In antwoord op</strong>  kolom, bevinden zich drie elementen. De tekst is de naam van het bericht waarop gereageerd is en linkt naar de editor(waar je de inhoud schrijft) van het bericht. De Bekijk bericht linkt naar het bericht aan de voorkant van je site. Het ballonnetje met een getal erin toont hoeveel reacties op het bericht zijn binnengekomen. Als het ballonnetje grijs is, dan zijn alle reacties gemodereerd. Als het blauw is, zijn er reacties die wachten op moderatie. Klikken op het ballonnetje zal de reacties filteren die alleen op dat bericht gegeven zijn."
"Many people take advantage of keyboard shortcuts to moderate their comments more quickly. Use the link to the side to learn more.","Veel mensen maken gebruik van de sneltoetsen om de reacties sneller te modereren. Gebruik de aan de zijkant voor meer informatie."
"<a href=\"http://codex.wordpress.org/Comment_Spam\" target=\"_blank\">Documentation on Comment Spam</a>","<a href=\"http://codex.wordpress.org/Comment_Spam\" target=\"_blank\">Documentatie over reactie spam</a>"
"<a href=\"http://codex.wordpress.org/Keyboard_Shortcuts\" target=\"_blank\">Documentation on Keyboard Shortcuts</a>","<a href=\"http://codex.wordpress.org/Keyboard_Shortcuts\" target=\"_blank\">Documentatie over sneltoetsen</a>"
"Search results for &#8220;%s&#8221;","Zoekresultaten voor &#8220;%s&#8221;"
"%s comment approved","%s reactie toegelaten"
"%s comments approved","%s reacties toegelaten"
"%s comment marked as spam.","%s reactie gemarkeerd als spam."
"%s comments marked as spam.","%s reacties gemarkeerd als spam."
"%s comment restored from the spam","%s reactie hersteld vanuit spam"
"%s comments restored from the spam","%s reacties hersteld vanuit spam"
"%s comment moved to the Trash.","%s reactie verplaatst naar de prullenbak."
"%s comments moved to the Trash.","%s reacties verplaatst naar de prullenbak."
"%s comment restored from the Trash","%s reactie hersteld vanuit de prullenbak."
"%s comments restored from the Trash","%s reacties hersteld vanuit de prullenbak."
"%s comment permanently deleted","%s reactie permanent verwijderd"
"%s comments permanently deleted","%s reacties permanent verwijderd"
"This comment is already approved.","Deze reactie is al toegelaten."
"This comment is already in the Trash.","Deze reactie bevindt zich al in de prullenbak."
"View Trash","Prullenbak bekijken"
"This comment is already marked as spam.","Deze reactie is al als spam gemarkeerd."
"Search Comments","Reacties zoeken"
"Post updated. <a href=\"%s\">View post</a>","Bericht bijgewerkt. <a  href=\"%s\">Bericht tonen</a>"
"Custom field updated.","Extra veld bijgewerkt."
"Custom field deleted.","Extra veld verwijderd."
"Post updated.","Bericht bijgewerkt."
"Post restored to revision from %s","Bericht hersteld naar revisie van %s"
"Post published. <a href=\"%s\">View post</a>","Bericht gepubliceerd. <a href=\"%s\">Bericht tonen</a>"
"Post saved.","Bericht opgeslagen."
"Post submitted. <a target=\"_blank\" href=\"%s\">Preview post</a>","Bericht ingediend. <a target=\"_blank\" href=\"%s\">Bericht tonen</a>"
"Post scheduled for: <strong>%s</strong>. <a target=\"_blank\" href=\"%s\">Preview post</a>","Bericht gepland voor: <strong>%s</strong>. <a target=\"_blank\" href=\"%s\">Voorbeeld bekijken</a>"
"M j, Y @ G:i","j F Y @ H:i"
"Post draft updated. <a target=\"_blank\" href=\"%s\">Preview post</a>","Conceptbericht bijgewerkt. <a target=\"_blank\" href=\"%s\">Bericht tonen</a>"
"Page updated. <a href=\"%s\">View page</a>","Pagina bijgewerkt. <a href=\"%s\">Pagina tonen</a>"
"Page updated.","Pagina bijgewerkt."
"Page restored to revision from %s","Bericht hersteld naar revisie van %s"
"Page published. <a href=\"%s\">View page</a>","Pagina gepubliceerd. <a href=\"%s\">Pagina tonen</a>"
"Page saved.","Pagina opgeslagen."
"Page submitted. <a target=\"_blank\" href=\"%s\">Preview page</a>","Pagina ingediend. <a target=\"_blank\" href=\"%s\">Voorbeeld tonen</a>"
"Page scheduled for: <strong>%s</strong>. <a target=\"_blank\" href=\"%s\">Preview page</a>","Pagina gepland voor: <strong>%s</strong>, <a target=\"_blank\" href=\"%s\">Paginavoorbeeld</a>"
"Page draft updated. <a target=\"_blank\" href=\"%s\">Preview page</a>","Conceptpagina bijgewerkt. <a target=\"_blank\" href=\"%s\">Voorbeeld tonen</a>"
"Media attachment updated.","Mediabijlage bijgewerkt."
"There is an autosave of this post that is more recent than the version below. <a href=\"%s\">View the autosave</a>","Er is een automatisch opgeslagen versie van dit bericht dat recenter is dan onderstaande versie. <a href=\"%s\">Toon de automatisch opgeslagen versie</a>"
"Page Attributes","Pagina-attributen"
"Attributes","Attributen"
"Featured Image","Uitgelichte afbeelding"
"Send Trackbacks","Trackbacks verzenden"
"Custom Fields","Extra velden"
"Discussion","Reacties"
"The title field and the big Post Editing Area are fixed in place, but you can reposition all the other boxes using drag and drop. You can also minimize or expand them by clicking the title bar of each box. Use the Screen Options tab to unhide more boxes (Excerpt, Send Trackbacks, Custom Fields, Discussion, Slug, Author) or to choose a 1- or 2-column layout for this screen.","Het titel veld en het grote bericht bewerk gebied zitten nu vast op hun plek, maar je kunt ze wel van positie veranderen via drag en drop. Je kunt ze ook minimaliseren of uitklappen door op de titel regel te klikken van elke box. Gebruikt de Scherminstellingen optie om bepaalde boxes wel of niet te tonen ( Samenvatting, Trackbacks, Extra velden, Reacties, Slug, Auteur) of kies tussen een enkel of twee kolom lay-out voor dit scherm. "
"Customizing This Display","Dit scherm aanpassen"
"<strong>Title</strong> - Enter a title for your post. After you enter a title, you&#8217;ll see the permalink below, which you can edit.","<strong>Titel</strong> - Vul in titel in voor je bericht. Nadat je een titel in hebt gevuld, zie je de permalink hieronder welke je kunt wijzigen. "
"<strong>Post editor</strong> - Enter the text for your post. There are two modes of editing: Visual and Text. Choose the mode by clicking on the appropriate tab. Visual mode gives you a WYSIWYG editor. Click the last icon in the row to get a second row of controls. The Text mode allows you to enter HTML along with your post text. Line breaks will be converted to paragraphs automatically. You can insert media files by clicking the icons above the post editor and following the directions. You can go to the distraction-free writing screen via the Fullscreen icon in Visual mode (second to last in the top row) or the Fullscreen button in Text mode (last in the row). Once there, you can make buttons visible by hovering over the top area. Exit Fullscreen back to the regular post editor.","<strong>Berichtbewerker</strong> - Voer de tekst in voor je bericht. Er zijn twee modi voor het bewerken van een bericht: visueel of tekst. Kies de juiste modus door het specifieke tabblad te selecteren. De visuele modus geeft een WYSIWYG editor. Klik op het laatste icoon in de eerste regel om een extra regel moet opties te krijgen. De tekstmodus levert de mogelijkheid om HTML in te voeren in combinatie met tekst. Regeleindes worden automatisch geconverteerd naar paragrafen. Met behulp van de media-iconen kan je mediabestanden toevoegen aan het bericht. De bewerker beschikt ook over een volledig scherm optie waarmee je zonder afleiding kan werken, dit werkt zowel voor de visuele bewerker als de tekstbewerker. De knoppen worden beschikbaar door bovenin te kijken met je muis. Het sluiten van de volledige schermweergave brengt je terug naar de standaard berichtbewerker."
"Title and Post Editor","Titel- en berichtbewerker"
"You can also create posts with the <a href=\"%s\">Press This bookmarklet</a>.","Het is mogelijk berichten aan te maken met de <a href=\"%s\">Publiceer dit</a> favoriet."
"<a href=\"http://codex.wordpress.org/Posts_Add_New_Screen\" target=\"_blank\">Documentation on Writing and Editing Posts</a>","<a href=\"http://codex.wordpress.org/Posts_Add_New_Screen\" target=\"_blank\">Documentatie over het schrijven en bewerken van berichten</a>"
"Pages are similar to Posts in that they have a title, body text, and associated metadata, but they are different in that they are not part of the chronological blog stream, kind of like permanent posts. Pages are not categorized or tagged, but can have a hierarchy. You can nest Pages under other Pages by making one the &#8220;Parent&#8221; of the other, creating a group of Pages.","Pagina&#39;s zijn vergelijkbaar met berichten. Ze hebben een titel, body tekst, en de bijbehorende metadata, het verschil zit erin dat zij geen deel uitmaken van de chronologische site stroom, net zoiets als permanente berichten. Pagina&#39;s worden niet gecategoriseerd of getagd, maar kunnen een hi&#235;rarchie hebben. Je kunt pagina&#39;s onder andere pagina&#39;s onderbrengen (nesten) door een pagina &#34;hoofd&#34; te maken van een andere pagina, en zo pagina&#39;s te groeperen."
"Creating a Page is very similar to creating a Post, and the screens can be customized in the same way using drag and drop, the Screen Options tab, and expanding/collapsing boxes as you choose. This screen also has the distraction-free writing space, available in both the Visual and Text modes via the Fullscreen buttons. The Page editor mostly works the same as the Post editor, but there are some Page-specific features in the Page Attributes box:","Aanmaken van pagina&#39;s is soortgelijk als het aanmaken van berichten en de schermen kunnen worden aangepast op dezelfde manier met slepen en neerzetten, via de scherminstellingentabblad en door boxen in en uit te klappen.\nDit scherm heeft ook de volledige weergave beschikbaar in zowel de visuele en teksteffecten modus. De editor werkt hetzelfde als de berichteditor, maar er zijn een aantal pagina-specifieke functies in de pagina attributenbox:"
"About Pages","Over pagina&#39;s"
"<a href=\"http://codex.wordpress.org/Pages_Add_New_Screen\" target=\"_blank\">Documentation on Adding New Pages</a>","<a href=\"http://codex.wordpress.org/Pages_Add_New_Screen\" target=\"_blank\">Documentatie over het toevoegen van nieuwe pagina&#39;s</a>"
"<a href=\"http://codex.wordpress.org/Pages_Screen#Editing_Individual_Pages\" target=\"_blank\">Documentation on Editing Pages</a>","<a href=\"http://codex.wordpress.org/Pages_Screen#Editing_Individual_Pages\" target=\"_blank\">Documentatie over page&#39;s bewerken</a>"
"This screen allows you to edit four fields for metadata in a file within the media library.","Dit scherm geeft de mogelijkheid om vier velden voor bestandsmetadata aan te passen in de mediabibliotheek."
"For images only, you can click on Edit Image under the thumbnail to expand out an inline image editor with icons for cropping, rotating, or flipping the image as well as for undoing and redoing. The boxes on the right give you more options for scaling the image, for cropping it, and for cropping the thumbnail in a different way than you crop the original image. You can click on Help in those boxes to get more information.","Alleen voor afbeeldingen geldt dat je kunt klikken op de Bewerk afbeelding onder de thumbnail om een in-line afbeeldingsbewerker uit te vouwen. Deze kan gebruikt worden om afbeeldingen bij te snijden, te schalen, te roteren of handelingen ongedaan te maken en opnieuw te doen. De boxen aan de rechterkant geven je meer opties om de afbeelding bij te snijden en te schalen en om de thumbnail op een andere manier bij te snijden dan de originele afbeelding. Je kunt op de help in deze boxen klikken voor meer informatie."
"Note that you crop the image by clicking on it (the Crop icon is already selected) and dragging the cropping frame to select the desired part. Then click Save to retain the cropping.","Let erop dat het bijsnijden van een afbeelding gebeurt door erop te klikken (het bijsnijden icoon is al geselecteerd) en het naar het gewenste onderdeel te slepen. Klik vervolgens op Opslaan om de bewerking te behouden."
"Remember to click Update Media to save metadata entered or changed.","Let erop dat je op Media bijwerken klikt om de wijzigingen op te slaan."
"<a href=\"http://codex.wordpress.org/Media_Add_New_Screen#Edit_Media\" target=\"_blank\">Documentation on Edit Media</a>","<a href=\"http://codex.wordpress.org/Media_Add_New_Screen#Edit_Media\" target=\"_blank\">Documentatie over media bewerken</a>"
"You can upload and insert media (images, audio, documents, etc.) by clicking the Add Media button. You can select from the images and files already uploaded to the Media Library, or upload new media to add to your page or post. To create an image gallery, select the images to add and click the &#8220;Create a new gallery&#8221; button.","Je kunt media (afbeeldingen, audio, documenten, enz.) uploaden en invoegen door te klikken op de &#39;Media toevoegen&#39; knop. Je kunt afbeeldingen en bestanden selecteren die al zijn geupload naar de mediabibliotheek, of nieuwe media uploaden en toevoegen naar een pagina of een bericht. Om een afbeeldingsgalerij te maken, selecteer de toe te voegen afbeeldingen en klik op de &#39;Maak een galerij&#39; knop."
"You can also embed media from many popular websites including Twitter, YouTube, Flickr and others by pasting the media URL on its own line into the content of your post/page. Please refer to the Codex to <a href=\"http://codex.wordpress.org/Embeds\">learn more about embeds</a>.","Je kunt ook media inbedden van vele populaire websites, inclusief Twitter, YouTube, Flickr en anderen door de media URL te plakken op de eigen regel in de inhoud van je bericht/pagina. Bezoek de Codex voor meer informatie over <a href=\"http://codex.wordpress.org/Embeds\">Embeds</a>."
"Inserting Media","Media invoegen"
"Several boxes on this screen contain settings for how your content will be published, including:","Verscheidene blokken op dit scherm bevatten instellingen voor de manier waarop je inhoud zal worden gepubliceerd, met inbegrip van:"
"<strong>Publish</strong> - You can set the terms of publishing your post in the Publish box. For Status, Visibility, and Publish (immediately), click on the Edit link to reveal more options. Visibility includes options for password-protecting a post or making it stay at the top of your blog indefinitely (sticky). Publish (immediately) allows you to set a future or past date and time, so you can schedule a post to be published in the future or backdate a post.","<strong>Publiceren</strong> - Je kunt de voorwaarden voor publicatie van je bericht instellen in het Publiceren vak. Voor Status, Zichtbaarheid en (Onmiddellijk) publiceren klik je op de Bewerken link om meer opties weer te geven. Zichtbaarheid bevat opties om je bericht te beschermen met een wachtwoord of om het op de voorpagina van je site te plakken (sticky). (Onmiddellijk) publiceren laat je toe om een datum en tijdstip in de toekomst of in het verleden in te stellen, zodat je de publicatie op een later tijdstip kunt plannen of een bericht kunt terugdateren."
"<strong>Format</strong> - Post Formats designate how your theme will display a specific post. For example, you could have a <em>standard</em> blog post with a title and paragraphs, or a short <em>aside</em> that omits the title and contains a short text blurb. Please refer to the Codex for <a href=\"http://codex.wordpress.org/Post_Formats#Supported_Formats\">descriptions of each post format</a>. Your theme could enable all or some of 10 possible formats.","<strong>Berichtformaat</strong> - Berichtformaten bepalen hoe een thema een bepaald bericht toont. Het kan bijvoorbeeld een <em>standaard</em> bericht met een titel paragrafen hebben of een korte <em>aside</em> welke geen titel toont en enkel een kort stukje tekst. Meer informatie <a href=\"http://codex.wordpress.org/Post_Formats#Supported_Formats\">over berichtformaten</a> kan gevonden worden op de Codex. Een thema kan slechts enkele of alle 10 mogelijke formats ondersteunen en/of tonnen."
"<strong>Featured Image</strong> - This allows you to associate an image with your post without inserting it. This is usually useful only if your theme makes use of the featured image as a post thumbnail on the home page, a custom header, etc.","<strong>Uitgelichte afbeelding</strong> - Dit stelt je in staat om een afbeelding te associ&#235;ren met een bericht zonder het in te voegen. Dit is alleen nuttig wanneer een thema geschikt is om een uitgelichte afbeelding als een thumbnail te tonen op de homepagina, een aangepaste header enz."
"Publish Settings","Instellingen publiceren"
"<strong>Send Trackbacks</strong> - Trackbacks are a way to notify legacy blog systems that you&#8217;ve linked to them. Enter the URL(s) you want to send trackbacks. If you link to other WordPress sites they&#8217;ll be notified automatically using pingbacks, and this field is unnecessary.","<strong>Trackbacks verzenden</strong> - Met trackbacks kan je andere blogsystemen inlichten dat je naar hen linkt. Voer de links in waarnaar je trackbacks wilt verzenden. Andere WordPress sites waar je naar verwijst, worden automatisch ingelicht met behulp van pingbacks. Voor deze sites is dit veld niet nodig."
"<strong>Discussion</strong> - You can turn comments and pings on or off, and if there are comments on the post, you can see them here and moderate them.","<strong>Reacties</strong> - Je kunt reacties en pings aan en uit zetten, als er reacties op het bericht zijn, worden deze hier getoond en kun je direct modereren. "
"Discussion Settings","Instellingen | Reacties"
"<strong>Parent</strong> - You can arrange your pages in hierarchies. For example, you could have an &#8220;About&#8221; page that has &#8220;Life Story&#8221; and &#8220;My Dog&#8221; pages under it. There are no limits to how many levels you can nest pages.","<strong>Hoofd</strong> - Je kunt de pagina&#39;s in hi&#235;rarchie&#235;n onderbrengen (nesten). Je kunt bijvoorbeeld een &#8220;Over mij&#8221; pagina hebben met daaronder de pagina&#39;s &#8220;Levensverhaal&#8221; en &#8220;Mijn hond&#8221;. Er zijn geen limieten op het aantal niveau&#39;s waarin pagina&#39;s genest kunnen zijn."
"<strong>Template</strong> - Some themes have custom templates you can use for certain pages that might have additional features or custom layouts. If so, you&#8217;ll see them in this dropdown menu.","<strong>Template</strong> - Sommige thema&#39;s hebben aangepaste templates die je kunt gebruiken voor bepaalde pagina&#39;s met extra functies of aangepaste lay-outs. Als dit het geval is, vind je deze in dit dropdown menu."
"<strong>Order</strong> - Pages are usually ordered alphabetically, but you can choose your own order by entering a number (1 for first, etc.) in this field.","<strong>Volgorde</strong> - Pagina&#39;s zijn meestal op alfabetische volgorde gesorteerd, maar je kunt hier je eigen volgorde kiezen door een nummer in te voeren (1 voor de eerste enz.)."
"Get Shortlink","Verkorte URL verkrijgen"
"Last edited by %s on %s at %s","Laatst bewerkt door %s op %s om %s"
"Last edited on %s at %s","Laatst bewerkt op %s om %s"
"send e-mail","e-mail verzenden:"
"visit site","Site bekijken"
"View Comment","Reactie tonen"
"Submitted on: <b>%s</b>","Toevoegd op: <strong>%s</strong>"
"Move to Trash","Naar de prullenbak verplaatsen"
"<a href=\"%s\">Links</a> / Edit Link","<a href=\"%s\">Links</a> / Link bewerken"
"Update Link","Link bijwerken"
"<a href=\"%s\">Links</a> / Add New Link","<a href=\"%s\">Links</a> / Nieuwe link toevoegen"
"Link Relationship (XFN)","Link relatie (XFN)"
"You can add or edit links on this screen by entering information in each of the boxes. Only the link&#8217;s web address and name (the text you want to display on your site as the link) are required fields.","Je kunt links toevoegen of bewerken op dit scherm door het invoeren van gegevens in elk van de vakken. Alleen het link webadres en de naam (de tekst die je wilt weergeven op je site als de link) zijn verplichte velden."
"The boxes for link name, web address, and description have fixed positions, while the others may be repositioned using drag and drop. You can also hide boxes you don&#8217;t use in the Screen Options tab, or minimize boxes by clicking on the title bar of the box.","De vakken voor de naam van de link, het webadres en de beschrijving hebben een vaste plaats, terwijl je de andere kunt verslepen d.m.v. drag en drop. Je kunt de vakken die je niet gebruikt verbergen in de Scherminstellingen tab, of de vakken minimaliseren door op de titelbalk van de box te klikken."
"XFN stands for <a href=\"http://gmpg.org/xfn/\" target=\"_blank\">XHTML Friends Network</a>, which is optional. WordPress allows the generation of XFN attributes to show how you are related to the authors/owners of the site to which you are linking.","XFN staat voor <a href=\"http://gmpg.org/xfn/\" target=\"_blank\">XHTML Friends Network</a>, deze is optioneel. WordPress accepteert het genereren van XFN attributen om te laten zien hoe je gerelateerd bent aan de auteurs/eigenaars van de site waar je naar linkt."
"<a href=\"http://codex.wordpress.org/Links_Add_New_Screen\" target=\"_blank\">Documentation on Creating Links</a>","<a href=\"http://codex.wordpress.org/Links_Add_New_Screen\" target=\"_blank\">Documentatie over het aanmaken van links</a>"
"Link added.","Link toegevoegd."
"Example: Nifty blogging software","Voorbeeld: Handige software"
"Web Address","Webadres"
"Example: <code>http://wordpress.org/</code> &#8212; don&#8217;t forget the <code>http://</code>","Voorbeeld: <code>http://wordpress.org/</code> &mdash; vergeet de <code>http://</code> niet."
"This will be shown when someone hovers over the link in the blogroll, or optionally below the link.","Dit wordt getoond als iemand in het blok met links over of vlak onder de link beweegt hovert."
"You did not select an item for editing.","Geen item geselecteerd om te bewerken."
"The name is how it appears on your site.","De naam zoals het getoond wordt op de site."
