"New password","Nueva contraseña"
"Or choose an image from your media library:","O elige una imagen de tu librería multimedia:"
"Choose a Background Image","Elige una imagen de fondo"
"Set as background","Establecer como fondo"
"Choose Image","Elegir imagen"
"Display Options","Opciones de visualización"
"Position","Posición"
"Repeat","Repetir"
"Attachment","Adjunto"
"The uploaded file is not a valid image. Please try again.","El archivo subido no es una imagen válida. Inténtalo de nuevo."
"This screen is used to customize the header section of your theme.","Esta pantalla se usa para personalizar la sección de cabecera de tu tema."
"You can choose from the theme&#8217;s default header images, or use one of your own. You can also customize how your Site Title and Tagline are displayed.","Puedes elegir entre las imágenes por defecto del tema, o usar una tuya. También puedes personalizar como se mostrarán el título y descripción de tu sitio."
"You can set a custom image header for your site. Simply upload the image and crop it, and the new header will go live immediately. Alternatively, you can use an image that has already been uploaded to your Media Library by clicking the &#8220;Choose Image&#8221; button.","Puedes elegir una imagen de cabecera personalizada para tu sitio. Simplemente sube la imagen y recórtala, la nueva cabecera se verá en directo inmediatamente. Alternativamente puedes usar una imagen que ya hayas subido a tu Librería multimedia haciendo clic en el botón &#8220;Elegir imagen&#8221;"
"Some themes come with additional header images bundled. If you see multiple images displayed, select the one you&#8217;d like and click the &#8220;Save Changes&#8221; button.","Algunos temas vienen con imágenes de cabecera adicionales. Si ves que se muestran varias imágenes elige una que te guste y haz clic en el botón &#8220;Guardar cambios&#8221;"
"If your theme has more than one default header image, or you have uploaded more than one custom header image, you have the option of having WordPress display a randomly different image on each page of your site. Click the &#8220;Random&#8221; radio button next to the Uploaded Images or Default Images section to enable this feature.","Si tu tema tiene más de una imagen de cabecera por defecto, o has subido más de una imagen de cabecera personalizada, tienes la opción de hacer que WordPress muestre una imagen diferente al azar en cada página de tu sitio. Haz clic en el botón &#8220;Al azar&#8221; junto a la sección de Subir imágenes o Imágenes por defecto para activar esta característica."
"If you don&#8217;t want a header image to be displayed on your site at all, click the &#8220;Remove Header Image&#8221; button at the bottom of the Header Image section of this page. If you want to re-enable the header image later, you just have to select one of the other image options and click &#8220;Save Changes&#8221;.","Si no quieres que se muestre ninguna imagen de cabecera en tu sitio haz clic en el botón &#8220;Quitar imagen de cabecera&#8221; al fondo de la sección de Cabecera de imagen de esta página. Si quieres reactivar la cabecera de imagen más tarde tendrás que elegir una de las opciones de imagen y hacer clic en &#8220;Guardar cambios&#8221;."
"Header Text","Texto de cabecera"
"For most themes, the header text is your Site Title and Tagline, as defined in the <a href=\"%s\">General Settings</a> section.","En la mayoría de los temas el texto de cabecera es tu Título y descripción del sitio, como tu lo defines en la sección de <a href=\"%s\">Ajustes generales</a>."
"In the Header Text section of this page, you can choose whether to display this text or hide it. You can also choose a color for the text by clicking the Select Color button and either typing in a legitimate HTML hex value, e.g. &#8220;#ff0000&#8221; for red, or by choosing a color using the color picker.","En la sección del texto de la cabecera puedes elegir entre mostrarlo u ocultarlo. También puedes elegir el color del texto haciendo click en el botón de selección del color o escribiendo un valor hexadecimal HTML válido. Por ejemplo &#8220;#ff0000&#8221 para rojo o utilizando el selector de color."
"Don&#8217;t forget to click &#8220;Save Changes&#8221; when you&#8217;re done!","No olvides presionar &#8220;Guardar cambios&#8221; cuando esté listo."
"<a href=\"http://codex.wordpress.org/Appearance_Header_Screen\" target=\"_blank\">Documentation on Custom Header</a>","<a href=\"http://codex.wordpress.org/Appearance_Header_Screen\" target=\"_blank\">Documentación sobre cabeceras personalizadas</a>"
"<strong>Random:</strong> Show a different image on each page.","<strong>Aleatoria:</strong> Muestra una imagen diferente en cada página."
"Custom Header","Cabecera personalizada"
"Header updated. <a href=\"%s\">Visit your site</a> to see how it looks.","Cabezera actualizada. <a href=\"%s\">Visita tu sitio</a> para ver los cambios."
"You can select an image to be shown at the top of your site by uploading from your computer or choosing from your media library. After selecting an image you will be able to crop it.","Puedes elegir una imagen para que se muestre en la parte superior de tu sitio subiéndola desde tu ordenador o eligiéndola de tu librería multimedia. Después de elegir una imagen podrás recortarla."
"Images of exactly <strong>%s1$d &times; %s2$d pixels</strong> will be used as-is.","Las imágenes de exactamente <strong>%s1$d x %s2$d pixels</strong> se utilizarán tal cual."
"Images should be at least <strong>%s1$d pixels</strong> wide.","Las imágenes deben ser de al menos <strong>%s1$d pixels</strong> de ancho."
"Images should be at least <strong>%s1$d pixels</strong> tall.","Las imágenes deben ser de al menos <strong>%s1$d pixels</strong> de altura."
"Suggested width is <strong>%s1$d pixels</strong>.","El ancho sugerido es <strong>%s1$d pixels</strong>."
"Suggested height is <strong>%s1$d pixels</strong>.","La altura sugerida es de <strong>%s1$d pixels</strong>."
"Choose a Custom Header","Elige una cabecera personalizada"
"Set as header","Establecer como cabecera"
"Uploaded Images","Imágenes subidas"
"You can choose one of your previously uploaded headers, or show a random one.","Puedes elegir una las cabeceras que ya has subido o que se muestren aleatoriamente."
"Default Images","Imágenes por defecto"
"If you don&lsquo;t want to upload your own image, you can use one of these cool headers, or show a random one.","Si no quieres subir tu propia imagen puedes usar una de estas cabeceras tan chulas o ir mostrándolas aleatoriamente."
"You can use one of these cool headers or show a random one on each page.","Puedes usar una de estas cabeceras tan chulas o mostrarlas aleatoriamente en cada página."
"This will remove the header image. You will not be able to restore any customizations.","Esto eliminará la imagen de cabecera. No podrás restaurar ninguna personalización."
"Remove Header Image","Eliminar imagen de cabecera"
"Reset Image","Restaurar imagen"
"This will restore the original header image. You will not be able to restore any customizations.","Esto restaurará la imagen de cabecera original. No te será posible restaurar ninguna personalización."
"Restore Original Header Image","Restaurar imagen de cabecera original"
"Show header text with your image.","Mostrar texto de cabecera junto con tu imagen."
"Text Color","Color de texto"
"Default: %s","Por defecto: %s"
"Image could not be processed. Please go back and try again.","La imagen no puede ser procesada. Por favor, inténtalo otra vez."
"Image Processing Error","Error en el procesado de la imagen"
"Crop Header Image","Recortar imagen de cabecera"
"Choose the part of the image you want to use as your header.","Elige la parte de la imagen que quieras usar como cabecera."
"You need Javascript to choose a part of the image.","Necesitas Javascript para elegir una parte de la imagen."
"Crop and Publish","Recortar y publicar"
"Skip Cropping, Publish Image as Is","Dejar de recortar, publicar la imagen tal cual"
"Image Upload Error","Error al subir la imagen"
"You do not have permission to customize headers.","No tienes autorización para personalizar cabeceras."
"Customize %s","Personalizar %s"
"Theme Customizer Options","Opciones de personalización del tema"
"You are previewing %s","Estás previsualizando %s"
"Collapse Sidebar","Contraer barra lateral"
"Collapse","Contraer"
"Comments on &#8220;%s&#8221;","Comentarios en &#8220;%s&#8221;"
"You can manage comments made on your site similar to the way you manage posts and other content. This screen is customizable in the same ways as other management screens, and you can act on comments using the on-hover action links or the Bulk Actions.","Puedes gestionar los comentarios de tu sitio igual que gestionas tus artículos y el resto de tu contenido. Esta pantalla es configurable de la misma forma que el resto de pantallas de gestión, pudiendo utilizar las acciones que aparecen al pasar sobre los comentarios, o las Acciones en Bloque."
"Moderating Comments","Moderar comentarios"
"A yellow row means the comment is waiting for you to moderate it.","Una fila amarilla significa que el comentario está esperando a que lo moderes."
"In the <strong>Author</strong> column, in addition to the author&#8217;s name, email address, and blog URL, the commenter&#8217;s IP address is shown. Clicking on this link will show you all the comments made from this IP address.","En la columna de <strong>Autor</strong>, además del nombre del autor, dirección de correo electrónico y URL del blog, se muestra la dirección IP del comentarista. Haciendo clic en ese enlace se mostrarán todos los comentarios realizados desde esa dirección IP."
"In the <strong>Comment</strong> column, above each comment it says &#8220;Submitted on,&#8221; followed by the date and time the comment was left on your site. Clicking on the date/time link will take you to that comment on your live site. Hovering over any comment gives you options to approve, reply (and approve), quick edit, edit, spam mark, or trash that comment.","En la columna <strong>Comentarios</strong>, sobre cada comentario hay un &#8220;Añadido el,&#8221; seguido de la fecha y la hora en la que se dejó el comentario en tu sitio. Haciendo clic en el enlace de fecha/hora irás a ese comentario en tu sitio. Pasando sobre cualquier comentario tendrás la opción de aprobarlo, responderlo (y aprobarlo), edición rápida, edición, marcarlo como spam, o enviarlo. "
"In the <strong>In Response To</strong> column, there are three elements. The text is the name of the post that inspired the comment, and links to the post editor for that entry. The View Post link leads to that post on your live site. The small bubble with the number in it shows the number of approved comments that post has received. If the bubble is gray, you have moderated all comments for that post. If it is blue, there are pending comments. Clicking the bubble will filter the comments screen to show only comments on that post.","En la columna <strong>En respuesta a</strong>  hay tres elementos. El texto es el nombre de la entrada que inspiró el comentario, y los enlaces al editor para esa entrada. El enlace de Ver entrada te lleva a esa entrada en tu sitio. La pequeña burbuja con números muestra la cantidad de comentarios aprobados que ha recibido esa entrada. Si la burbuja es gris has aprobado todos los comentarios de esa entrada. Si es azul hay comentarios pendientes. Haciendo clic en la burbuja filtrará la pantalla de comentarios para mostrar solo los comentarios de esa entrada."
"Many people take advantage of keyboard shortcuts to moderate their comments more quickly. Use the link to the side to learn more.","Mucha gente aprovecha los atajos de teclado para moderar los comentarios más rapidamente. Utiliza el enlace del lateral para aprender más sobre esto."
"<a href=\"http://codex.wordpress.org/Comment_Spam\" target=\"_blank\">Documentation on Comment Spam</a>","<a href=\"http://codex.wordpress.org/Comment_Spam\" target=\"_blank\">Documentación sobre los comentarios de spam</a>"
"<a href=\"http://codex.wordpress.org/Keyboard_Shortcuts\" target=\"_blank\">Documentation on Keyboard Shortcuts</a>","<a href=\"http://codex.wordpress.org/Keyboard_Shortcuts\" target=\"_blank\">Documentación sobre atajos de teclado</a>"
"Search results for &#8220;%s&#8221;","Resultados de búsqueda para &#8220;%s&#8221;"
"%s comment approved","%s comentario aprobado"
"%s comments approved","%s comentarios aprobados"
"%s comment marked as spam.","%s comentario marcado como spam."
"%s comments marked as spam.","%s comentarios marcados como spam."
"%s comment restored from the spam","%s comentario recuperado de spam"
"%s comments restored from the spam","%s comentarios recuperados de spam"
"%s comment moved to the Trash.","%s comentario movido a la papelera."
"%s comments moved to the Trash.","%s comentarios movidos a la papelera."
"%s comment restored from the Trash","%s comentario restaurado de la papelera"
"%s comments restored from the Trash","%s comentarios restaurados de la papelera"
"%s comment permanently deleted","%s comentario borrado permanentemente"
"%s comments permanently deleted","%s comentarios borrados permanentemente"
"This comment is already approved.","Este comentario ya está aprobado."
"This comment is already in the Trash.","Este comentario ya está en la papelera."
"View Trash","Ver papelera"
"This comment is already marked as spam.","Este comentario ya ha sido marcado como spam."
"Search Comments","Buscar comentarios"
"Post updated. <a href=\"%s\">View post</a>","Entrada actualizada. <a href=\"%s\">Vista previa</a>"
"Custom field updated.","Campo personalizado actualizado."
"Custom field deleted.","Campo personalizado borrado."
"Post updated.","Entrada actualizada."
"Post restored to revision from %s","Entrada restaurada a la revisión %s"
"Post published. <a href=\"%s\">View post</a>","Entrada publicada. <a href=\"%s\">Ver entrada</a>"
"Post saved.","Entrada guardada."
"Post submitted. <a target=\"_blank\" href=\"%s\">Preview post</a>","Entrada enviada. <a target=\"_blank\" href=\"%s\">Vista previa</a>"
"Post scheduled for: <strong>%s</strong>. <a target=\"_blank\" href=\"%s\">Preview post</a>","Entrada programada el: <strong>%s</strong>. <a target=\"_blank\" href=\"%s\">Vista previa</a>"
"M j, Y @ G:i","j F Y G:i a"
"Post draft updated. <a target=\"_blank\" href=\"%s\">Preview post</a>","Entrada actualizada. <a target=\"_blank\" href=\"%s\">Vista previa</a>"
"Page updated. <a href=\"%s\">View page</a>","Página actualizada. <a href=\"%s\">Vista previa</a>"
"Page updated.","Página actualizada."
"Page restored to revision from %s","Página restaurada desde la revisión %s"
"Page published. <a href=\"%s\">View page</a>","Página publicada. <a href=\"%s\">Vista previa</a>"
"Page saved.","Página guardada."
"Page submitted. <a target=\"_blank\" href=\"%s\">Preview page</a>","Página enviada. <a target=\"_blank\" href=\"%s\">Vista previa</a>"
"Page scheduled for: <strong>%s</strong>. <a target=\"_blank\" href=\"%s\">Preview page</a>","Página programada para: <strong>%s</strong>. <a target=\"_blank\" href=\"%s\">Vista previa</a>"
"Page draft updated. <a target=\"_blank\" href=\"%s\">Preview page</a>","Borrador de página actualizado. <a target=\"_blank\" href=\"%s\">Vista previa</a>"
"Media attachment updated.","El archivo ha sido actualizado."
"There is an autosave of this post that is more recent than the version below. <a href=\"%s\">View the autosave</a>","Hay un autoguardado de esta entrada que es más reciente que la versión de abajo. <a href=\"%s\">Ver el autoguardado</a>"
"Page Attributes","Atributos de página"
"Attributes","Atributos"
"Featured Image","Imagen destacada"
"Send Trackbacks","Enviar trackbacks"
"Custom Fields","Campos personalizados"
"Discussion","Comentarios"
"The title field and the big Post Editing Area are fixed in place, but you can reposition all the other boxes using drag and drop. You can also minimize or expand them by clicking the title bar of each box. Use the Screen Options tab to unhide more boxes (Excerpt, Send Trackbacks, Custom Fields, Discussion, Slug, Author) or to choose a 1- or 2-column layout for this screen.","El campo de título y el área de edición de la entrada son fijos, pero puedes recolocar el resto de cajas arrastrando y soltando. También puedes minimizarlas o expandirlas haciendo clic en la barra de título de cada caja. Usa la pestaña de Opciones de pantalla para desvelar más cajas (Extracto, Enviar trackbacks, campos personalizados, comenetarios, slug, autor) o elige una disposición a 1 o 2 columnas para esta pantalla. "
"Customizing This Display","Personalizando esta pantalla"
"<strong>Title</strong> - Enter a title for your post. After you enter a title, you&#8217;ll see the permalink below, which you can edit.","<strong>Título</strong> - Introduce el título de tu entrada. Después de introducir el título, podrás ver el enlace permanente el cual podrás editar."
"<strong>Post editor</strong> - Enter the text for your post. There are two modes of editing: Visual and Text. Choose the mode by clicking on the appropriate tab. Visual mode gives you a WYSIWYG editor. Click the last icon in the row to get a second row of controls. The Text mode allows you to enter HTML along with your post text. Line breaks will be converted to paragraphs automatically. You can insert media files by clicking the icons above the post editor and following the directions. You can go to the distraction-free writing screen via the Fullscreen icon in Visual mode (second to last in the top row) or the Fullscreen button in Text mode (last in the row). Once there, you can make buttons visible by hovering over the top area. Exit Fullscreen back to the regular post editor.","<strong>Editor de entradas</strong> - Introduce el texto de tu entrada. Hay dos modos de edición: Visual y Texto. Elige el modo haciendo clic en la pestaña correspondiente. El modo visual te ofrece un editor WYSIWYG (lo que ves es lo que obtendrás). Haz clic en el último icono de la fila para disponer de una segunda fila de controles. El modo Texto te permite introducir HTML en el texto de la entrada. Los saltos de línea se convertirán automáticamente en párrafos. Puedes insertar archivos multimedia haciendo clic en los iconos sobre el editor de entradas y siguiendo las instrucciones. Puedes ir a la pantalla de escritura sin distracciones desde el icono de Pantalla completa del modo Visual (el segundo desde el final en la fila superior) o desde el botón Pantalla completa del modo Texto (el último de la fila). Una vez ahí puedes hacer los botones visibles moviendo el cursor a la parte superior. Al salir de Pantalla completa se vuelve al editor de entradas normal."
"Title and Post Editor","Título y editor de entradas"
"You can also create posts with the <a href=\"%s\">Press This bookmarklet</a>.","También puedes crear entradas con  <a href=\"%s\">el marcador Publicar esto</a>."
"<a href=\"http://codex.wordpress.org/Posts_Add_New_Screen\" target=\"_blank\">Documentation on Writing and Editing Posts</a>","<a href=\"http://codex.wordpress.org/Posts_Add_New_Screen\" target=\"_blank\">Documentación sobre escritura y edición de entradas </a>"
"Pages are similar to Posts in that they have a title, body text, and associated metadata, but they are different in that they are not part of the chronological blog stream, kind of like permanent posts. Pages are not categorized or tagged, but can have a hierarchy. You can nest Pages under other Pages by making one the &#8220;Parent&#8221; of the other, creating a group of Pages.","Las páginas son similares a las entradas y tienen título, cuerpo de texto y metadatos asociados, pero son diferentes en que no forman parte de la secuencia cronológica tipo blog, son una especie de entradas permanentes. Las páginas no tienen categorías ni etiquetas, pero pueden tener una jerarquía. Puedes anidar páginas bajo otras páginas haciendo a una  &#8220;Superior&#8221; de otra, creando así un grupo de páginas."
"Creating a Page is very similar to creating a Post, and the screens can be customized in the same way using drag and drop, the Screen Options tab, and expanding/collapsing boxes as you choose. This screen also has the distraction-free writing space, available in both the Visual and Text modes via the Fullscreen buttons. The Page editor mostly works the same as the Post editor, but there are some Page-specific features in the Page Attributes box:","Crear una Página es muy parecido a crear una Entrada, las pantallas se pueden personalizar del mismo modo, arrastrando y soltando, tienes pestaña de Opciones de pantalla, y puedes expandir y contraer cajas como quieras. Esta pantalla también dispone del espacio de escritura sin distracciones, disponible tanto en el editor Visual como en el de Texto a través del botón \"Pantalla completa\". El editor de Páginas funciona muy similar al editor de Entradas, pero aquí hay algunas características específicas para páginas en la caja de Atributos de página:"
"About Pages","Sobre las páginas"
"<a href=\"http://codex.wordpress.org/Pages_Add_New_Screen\" target=\"_blank\">Documentation on Adding New Pages</a>","<a href=\"http://codex.wordpress.org/Pages_Add_New_Screen\" target=\"_blank\">Documentación sobre añadir nuevas páginas</a>"
"<a href=\"http://codex.wordpress.org/Pages_Screen#Editing_Individual_Pages\" target=\"_blank\">Documentation on Editing Pages</a>","<a href=\"http://codex.wordpress.org/Pages_Screen#Editing_Individual_Pages\" target=\"_blank\"> Documentación de la edición de páginas</a>"
"This screen allows you to edit four fields for metadata in a file within the media library.","Esta pantalla te permite editar los cambios de los metadatos en un archivo dentro de la Librería multimedia."
"For images only, you can click on Edit Image under the thumbnail to expand out an inline image editor with icons for cropping, rotating, or flipping the image as well as for undoing and redoing. The boxes on the right give you more options for scaling the image, for cropping it, and for cropping the thumbnail in a different way than you crop the original image. You can click on Help in those boxes to get more information.","(Sólo para imágenes) Puedes hacer clic en editar imágenes, debajo de la miniatura, para obtener el menú de edición de imágenes y recortar, rotar o invertir la imagen, así como deshacer y rehacer. Las cajas de la derecha te dan más opciones para escalar y recortar la imagen; y para recortar la miniatura de forma diferente de la imagen original. Puedes hacer clic en la ayuda en esas cajas para obtener más información."
"Note that you crop the image by clicking on it (the Crop icon is already selected) and dragging the cropping frame to select the desired part. Then click Save to retain the cropping.","Se recorta la imagen haciendo clic en la misma (el icono de recorte ya estará seleccionado) y arrastrando el marcho de recorte hasta donde se desee. Para fijarla, haz clic en guardar."
"Remember to click Update Media to save metadata entered or changed.","Recuerda hacer clic en Actualizar archivos multimedia para guardar los metadatos que hayas introducido o cambiado."
"<a href=\"http://codex.wordpress.org/Media_Add_New_Screen#Edit_Media\" target=\"_blank\">Documentation on Edit Media</a>","<a href=\"http://codex.wordpress.org/Media_Add_New_Screen#Edit_Media\" target=\"_blank\">Documentación de editar objetos multimedia</a>"
"You can upload and insert media (images, audio, documents, etc.) by clicking the Add Media button. You can select from the images and files already uploaded to the Media Library, or upload new media to add to your page or post. To create an image gallery, select the images to add and click the &#8220;Create a new gallery&#8221; button.","Puedes subir e insertar archivos multimedia (imágenes, audios, documentos, etc.) con sólo hacer click en el botón \"Añadir medio\". Puedes elegir entras las imágenes ya subidas a la librería multimedia o subir nuevos archivos. Para crear una galería de imágenes, sólo tienes que seleccionar algunas y hacer click en el botón &#8220;Crear nueva galería&#8221;"
"You can also embed media from many popular websites including Twitter, YouTube, Flickr and others by pasting the media URL on its own line into the content of your post/page. Please refer to the Codex to <a href=\"http://codex.wordpress.org/Embeds\">learn more about embeds</a>.","Puedes incrustar contenidos de muchos sitios web como Twitter, You Tube, Flickr y otros sólo con poner la URL del contenido en una línea (sólo la URL en el párrafo) en la entrada o página. Por favor, consulta el Codex <a href=\"http://codex.wordpress.org/Embeds\">para saber más sobre contenido incrustado</a>"
"Inserting Media","Insertando multimedia"
"Several boxes on this screen contain settings for how your content will be published, including:","Muchos apartados en esta pantalla contienen configuraciones para cómo se publicará tu contenido, incluyendo:"
"<strong>Publish</strong> - You can set the terms of publishing your post in the Publish box. For Status, Visibility, and Publish (immediately), click on the Edit link to reveal more options. Visibility includes options for password-protecting a post or making it stay at the top of your blog indefinitely (sticky). Publish (immediately) allows you to set a future or past date and time, so you can schedule a post to be published in the future or backdate a post.","<strong>Publicar</strong> - Puedes fijar las características de publicación en la caja de publicación. Para el estado, visibilidad y publicar (inmediatamente), haz clic en el enlace \"editar\" para ver más opciones. La visibilidad incluye opciones para proteger una entrada con contraseña o para hacer que se quede en la parte superior de tu sitio indefinidamente (entrada fija). Publicar (inmediatamente) te permite fijar una fecha de publicación pasada o futura, con lo que puedes programar una entrada para publicarse después o atrasar la fecha de una entrada."
"<strong>Format</strong> - Post Formats designate how your theme will display a specific post. For example, you could have a <em>standard</em> blog post with a title and paragraphs, or a short <em>aside</em> that omits the title and contains a short text blurb. Please refer to the Codex for <a href=\"http://codex.wordpress.org/Post_Formats#Supported_Formats\">descriptions of each post format</a>. Your theme could enable all or some of 10 possible formats.","<strong>Formato</strong> - Los formatos de entrada definen como tu tema mostrará una entrada específica. Por ejemplo, podría ser  una entrada de blog <em>estándar</em>, con un título y párrafos, o una pequeña <em>minientrada</em> que omita el título y contenga solo un pequeño texto. Revisa el Codex para saber más de las <a href=\"http://codex.wordpress.org/Post_Formats#Supported_Formats\">descripciones de cada formato de entrada</a>. Tu tema puede soportar todos o solo alguno de los 10 posibles formatos."
"<strong>Featured Image</strong> - This allows you to associate an image with your post without inserting it. This is usually useful only if your theme makes use of the featured image as a post thumbnail on the home page, a custom header, etc.","<strong>Imagen destacada</strong> - Esto te permite asociar una imagen con su entrada sin tener que insertarla, Es útil sólo si tu tema usa la imagen destacada para mostrar una miniatura en la página de inicio, en una cabecera personalizada, etc."
"Publish Settings","Configuración de publicación"
"<strong>Send Trackbacks</strong> - Trackbacks are a way to notify legacy blog systems that you&#8217;ve linked to them. Enter the URL(s) you want to send trackbacks. If you link to other WordPress sites they&#8217;ll be notified automatically using pingbacks, and this field is unnecessary.","<strong>Enviar trackbacks</strong> - Los trackbacks son un modo de avisar a los sistemas antiguos de blogs que les has enlazado. Introduce la(s) URL(s) a la(s) que quieres enviar trackbacks. Si enlazas a otro sitio creado con WordPress recibirán aviso automáticamente por medio de los pingbacks, y este campo no sería necesario."
"<strong>Discussion</strong> - You can turn comments and pings on or off, and if there are comments on the post, you can see them here and moderate them.","<strong>Comentarios</strong> - Puedes activar o desactivar los comentarios y pings, y si hay comentario en las entradas, puedes verlos aquí y moderarlos."
"Discussion Settings","Ajustes de comentarios"
"<strong>Parent</strong> - You can arrange your pages in hierarchies. For example, you could have an &#8220;About&#8221; page that has &#8220;Life Story&#8221; and &#8220;My Dog&#8221; pages under it. There are no limits to how many levels you can nest pages.","<strong>Superiores</strong> - Puedes ordenar tus páginas en jerarquías. Por ejemplo, podrías tener una página &#8220;Sobre&#8221; que bajo ella las páginas &#8220;Historia de mi vida&#8221; y &#8220;Mi perro&#8221;. No hay límites en cuántos niveles puedes anidar páginas."
"<strong>Template</strong> - Some themes have custom templates you can use for certain pages that might have additional features or custom layouts. If so, you&#8217;ll see them in this dropdown menu.","<strong>Plantilla</strong> - Algunos temas tienen plantillas personalizadas que pueden usarse para añadir algunas características adicionales o diseños personalizados. Si las hay, las encontrarás en el menú desplegable."
"<strong>Order</strong> - Pages are usually ordered alphabetically, but you can choose your own order by entering a number (1 for first, etc.) in this field.","<strong>Orden</strong> - Normalmente las páginas se ordenan alfabéticamente, pero puedes elegir tu propio orden introduciendo un número (1 para la primera, etc) en este campo."
"Get Shortlink","Obtener enlace corto"
"Last edited by %s on %s at %s","Última edición por %s el %s a las %s"
"Last edited on %s at %s","Última edición el %s a las %s"
"E-mail (%s):","Correo electrónico (%s):"
"send e-mail","enviar correo electrónico"
"E-mail:","Correo electrónico:"
"visit site","visitar sitio"
"View Comment","Ver comentario"
"Submitted on: <b>%s</b>","Enviado el: <b>%s</b>"
"Move to Trash","Mover a la papelera"
"<a href=\"%s\">Links</a> / Edit Link","<a href=\"%s\" >Enlaces</a> / Editar enlace"
"Update Link","Actualizar enlace"
"<a href=\"%s\">Links</a> / Add New Link","<a href=\"%s\">Enlaces</a> / Añadir nuevo enlace"
"Link Relationship (XFN)","Relación con el enlace (XFN)"
"You can add or edit links on this screen by entering information in each of the boxes. Only the link&#8217;s web address and name (the text you want to display on your site as the link) are required fields.","Puede añadir o editar enlaces desde esta pantalla introduciendo la información en cada caja. Sólo son necesarios el enlace a la web y el nombre (el texto que quieres mostrar en el enlace en tu sitio)."
"The boxes for link name, web address, and description have fixed positions, while the others may be repositioned using drag and drop. You can also hide boxes you don&#8217;t use in the Screen Options tab, or minimize boxes by clicking on the title bar of the box.","Las cajas para el nombre del enlace, dirección web y descripción tienen una posición fija. Las otras las puedes mover y colocar mediante arrastrar y soltar. Puedes esconder cajas que no quieras usar en la pestaña Opciones de pantalla o minimizar las cajas haciendo clic en la barra del título de la caja."
"XFN stands for <a href=\"http://gmpg.org/xfn/\" target=\"_blank\">XHTML Friends Network</a>, which is optional. WordPress allows the generation of XFN attributes to show how you are related to the authors/owners of the site to which you are linking.","XFN se refiere a <a href=\"http://gmpg.org/xfn/\" target=\"_blank\">red de amigos XHTML</a> (XHTML Friends Network), y es opcional. WordPress permite generar atributos XFN que muestran tu relación con los autores/propietarios del sitio al que estés enlazando."
"<a href=\"http://codex.wordpress.org/Links_Add_New_Screen\" target=\"_blank\">Documentation on Creating Links</a>","<a href=\"http://codex.wordpress.org/Links_Add_New_Screen\" target=\"_blank\"> Documentación sobre la creación de enlaces </a>"
"Link added.","Enlace añadido."
"Example: Nifty blogging software","Ejemplo: Estupendo software de publicación"
"Web Address","Dirección web"
"Example: <code>http://wordpress.org/</code> &#8212; don&#8217;t forget the <code>http://</code>","Ejemplo: <code>http://wordpress.org/</code> &#8212;no olvides poner <code>http://</code>"
"This will be shown when someone hovers over the link in the blogroll, or optionally below the link.","Esto se mostrará cuando alguien pase el cursor sobre el enlace en los sitios de interés, u opcionalmente a debajo del enlace."
"You did not select an item for editing.","No has elegido un elemento para editar."
"The name is how it appears on your site.","El nombre es cómo aparecerá en tu sitio."
"The &#8220;slug&#8221; is the URL-friendly version of the name. It is usually all lowercase and contains only letters, numbers, and hyphens.","El &#8220;slug&#8221; es la versión amigable de la URL del nombre. Suele estar en minúsculas y contiene sólo letras, números y guiones."
"Categories, unlike tags, can have a hierarchy. You might have a Jazz category, and under that have children categories for Bebop and Big Band. Totally optional.","Las categorías, a diferencia de las etiquetas, pueden tener jerarquías. Podrías tener una categoría de Jazz, y por debajo las categorías Bebop y Big Band. Totalmente opcional."
"The description is not prominent by default; however, some themes may show it.","La descripción no suele mostrarse por defecto, sin embargo hay algunos temas que puede que la muestren."
"You attempted to edit an item that doesn&#8217;t exist. Perhaps it was deleted?","Lo que intentas editar no existe. ¿Habrá sido borrado?"
"You can use categories to define sections of your site and group related posts. The default category is &#8220;Uncategorized&#8221; until you change it in your <a href=\"%s\">writing settings</a>.","Puedes usar categorías para definir secciones para las entradas de tu sitio y grupo. La categoría por defecto es &#8220;Sin categoría&#8221; hasta que la cambies en tus <a href=\"%s\">ajustes de escritura</a>."
"You can create groups of links by using Link Categories. Link Category names must be unique and Link Categories are separate from the categories you use for posts.","Puedes crear grupos de enlaces utilizando las Categorías de enlaces. Los nombres de las Categorías de enlaces deben ser únicos y son algo distinto a las categorías que usas para tus entradas."
"You can assign keywords to your posts using <strong>tags</strong>. Unlike categories, tags have no hierarchy, meaning there&#8217;s no relationship from one tag to another.","Puedes asignar palabras clave a tu entradas utilizando las <strong>etiquetas</strong>. A diferencia de las categorías, las etiquetas no tienen jerarquía, lo que significa que no hay relación  de una etiqueta con otra."
"You can delete Link Categories in the Bulk Action pull-down, but that action does not delete the links within the category. Instead, it moves them to the default Link Category.","Puedes borrar Categorías de enlace en el desplegable de Acciones en lote, pero la acción no borra los enlaces dentro de la categoría. En su lugar, los mueve a la Categoría de enlaces por defecto."
