"New password","Ny adgangskode"
"Remember, once deleted your site cannot be restored.","Husk, at når først det er slette, så kan webstedet ikke gendannes."
"I'm sure I want to permanently disable my site, and I am aware I can never get it back or use %s again.","Jeg er sikker på, at jeg vil slette dette websted permanent, og jeg er klar over, at jeg aldrig får det tilbage eller kan bruge %s igen."
"Delete My Site Permanently","Slet mit websted permanent"
"You do not have sufficient permissions to view this page.","Du har ikke tilstrækkelige rettigheder til at se denne side."
"The primary site you chose does not exist.","Det primære websted, som du vælger, eksisterer ikke."
"This screen shows an individual user all of their sites in this network, and also allows that user to set a primary site. He or she can use the links under each site to visit either the frontend or the dashboard for that site.","Dette skærmbillede viser brugerens websteder på netværket, og tillader også at brugeren vælger et primært websted. Han eller hun kan bruger linkene under hvert websted til at besøg enten frontend eller kontrolpanelet på webstedet."
"Up until WordPress version 3.0, what is now called a Multisite Network had to be installed separately as WordPress MU (multi-user).","Indtil WordPress version 3.0 skulle, hvad der nu kaldes et Multisite netværk, installeres separat, som WordPress MU (Multi-user)."
"<a href=\"http://codex.wordpress.org/Dashboard_My_Sites_Screen\" target=\"_blank\">Documentation on My Sites</a>","<a href=\"http://codex.wordpress.org/Dashboard_My_Sites_Screen\" target=\"_blank\">Dokumentation på My Sites</a>"
"Settings saved.","Indstillinger gemt."
"You must be a member of at least one site to use this page.","Du skal være medlem på mindst et websted for at kunne bruge denne side."
"Global Settings","Globale indstillinger"
"Your theme does not support navigation menus or widgets.","Dit tema understøtter ikke navigationsmenuer eller widgets."
"The menu item has been successfully deleted.","Menupunktet er blevet slettet."
"The menu has been successfully deleted.","Menuen er nu slettet."
"The <strong>%s</strong> menu has been successfully created.","Menuen <strong>%s</strong> er blevet oprettet."
"Please enter a valid menu name.","Indtast venligst navnet på en eksisterende menu."
"The <strong>%s</strong> menu has been updated.","Menuen <strong>%s</strong> er blevet opdateret."
"This feature allows you to use a custom menu in place of your theme&#8217;s default menus.","Denne funktion gør det muligt for dig at anvende en brugerdefineret menu i stedet for dit temas standardmenuer."
"Custom menus may contain links to pages, categories, custom links or other content types (use the Screen Options tab to decide which ones to show on the screen). You can specify a different navigation label for a menu item as well as other attributes. You can create multiple menus. If your theme includes more than one menu location, you can choose which custom menu to associate with each. You can also use custom menus in conjunction with the Custom Menus widget.","Menuer kan indeholde links til sider, kategorier, brugerdefinerede links eller andet indhold (brug fanen Skærmindstillinger til at indstille, hvilke af dem der skal vises på skærmen). Du kan angive en anden navigationsetiket til et menupunkt samt andre egenskaber. Du kan oprette flere menuer. Hvis dit tema omfatter mere end et menuområde, kan du vælge, hvilke brugerdefinerede menuer, der skal knyttes til hver. Du kan også bruge brugerdefinerede menuer sammen med widget'en Brugerdefineret menu."
"If your theme does not support the custom menus feature (the default themes, %s and %s, do), you can learn about adding this support by following the Documentation link to the side.","Hvis dit tema ikke understøtter brugerdefinerede menuer (standardtemaerne %s and %s, gør), kan du lære, hvordan du tilføjer denne funktion ved at følge linket til Dokumentationen."
"Create Menus","Opret menuer"
"To create a new custom menu, click on the + tab, give the menu a name, and click Create Menu. Next, add menu items from the appropriate boxes. You&#8217;ll be able to edit the information for each menu item, and can drag and drop to change their order. You can also drag a menu item a little to the right to make it a submenu. Don&#8217;t forget to click Save Menu when you&#8217;re finished.","For at oprette en ny brugerdefineret menu skal du klikke på + fanen, give menuen et navn og klikke på Opret menu. Derefter skal du tilføje menupunkter fra de relevante felter. Du kan redigere oplysningerne for hvert menupunkt og trække og slippe dem i den rækkefølge, du ønsker. Du kan også trække et menupunkt en smule til højre for at gøre det til en undermenu. Slip et element på dets nye indrykkede placering, når den stiplede målrektangel rykker sig lidt til højre. Husk at klik på Gem, når du er færdig."
"<a href=\"http://codex.wordpress.org/Appearance_Menus_Screen\" target=\"_blank\">Documentation on Menus</a>","<a href=\"http://codex.wordpress.org/Appearance_Menus_Screen\" target=\"_blank\">Dokumentation om menuer</a>"
"Add New Menu","Tilføj ny menu"
"Add menu","Tilføj menu"
"Menu Name","Menunavn"
"Enter menu name here","Indtast menuens navn her"
"Automatically add new top-level pages","Tilføj automatisk nye oversider."
"Create Menu","Tilføj menu"
"Save Menu","Gem menu"
"Delete Menu","Slet menu"
"To create a custom menu, give it a name above and click Create Menu. Then choose items like pages, categories or custom links from the left column to add to this menu.","For at oprette en brugerdefineret menu, skal du give den et navn og klikke på Opret menu. Vælg derefter elementer såsom, sider, kategorier eller brugerdefinerede links fra den venstre kolonne, for at tilføje det til menuen."
"After you have added your items, drag and drop to put them in the order you want. You can also click each item to reveal additional configuration options.","Når du har tilføjet dine elementer, så træk og slip for at sætte dem i den rækkefølge, du ønsker. Du kan også klikke på hvert element og få yderligere indstillingsmuligheder."
"When you have finished building your custom menu, make sure you click the Save Menu button.","Når du er færdig med at bygge menuen skal du huske at trykke på Gem menu knappen."
"You do not have sufficient permissions to manage options for this site.","Du har ikke tilstrækkelige rettigheder til at redigere dette."
"This screen provides many options for controlling the management and display of comments and links to your posts/pages. So many, in fact, they won&#8217;t all fit here! :) Use the documentation links to get information on what each discussion setting does.","Dette skærmbillede giver mange muligheder for at indstille og håndtere visning af kommentarer og links til dine indlæg/sider. Så mange, at der faktisk ikke er plads til at vise dem her! :-) Brug linket til dokumentationen nedenfor, for at få oplysninger om, hvad hver indstillingsmulighed gør."
"You must click the Save Changes button at the bottom of the screen for new settings to take effect.","Du skal klikke p&aring; Gem ændringer nederst p&aring; denne side for at de nye indstillinger kan træde i kraft."
"<a href=\"http://codex.wordpress.org/Settings_Discussion_Screen\" target=\"_blank\">Documentation on Discussion Settings</a>","<a href=\"http://codex.wordpress.org/Settings_Discussion_Screen\" target=\"_blank\">Dokumentation om diskussionsindstillinger</a>"
"Default article settings","Standardindstillinger for artikler"
"Attempt to notify any blogs linked to from the article","Forsøger at underrette alle blogs, der er linket til fra artiklen"
"These settings may be overridden for individual articles.","Indstillingerne kan &#230;ndres for de enkelte indl&#230;g."
"Other comment settings","Andre kommentarindstillinger"
"Comment author must fill out name and e-mail","Kommentarskriveren skal udfylde navn og e-mail"
"Users must be registered and logged in to comment","Brugere skal v&#230;re registrerede og logget ind for at kommentere"
"(Signup has been disabled. Only members of this site can comment.)","(Tilmelding er blevet deaktiveret. Kun medlemmer af dette websted kan kommentere.)"
"Automatically close comments on articles older than %s days","Luk automatisk for kommentarer til indl&#230;g &#230;ldre end %s dage"
"Enable threaded (nested) comments %s levels deep","Sl&#229; tr&#229;dede (indlejrede) kommentarer til i %s niveauer"
"last","sidste"
"first","første"
"Break comments into pages with %s top level comments per page and the %s page displayed by default","Adskil kommentarer p&#229; sider med %s kommentarer fra første niveau p&#229; hver side og med den %s side som standardvisning"
"older","&#230;ldre"
"newer","nyere"
"Comments should be displayed with the %s comments at the top of each page","Kommentarer skal vises med de %s kommentarer &#248;verst p&#229; siden"
"E-mail me whenever","Send mig en e-mail n&#229;r"
"Anyone posts a comment","Nogen skriver en kommentar"
"A comment is held for moderation","Der er en kommentar til bed&#248;mmelse"
"Before a comment appears","F&#248;r en kommentar vises"
"An administrator must always approve the comment","En administrator skal altid godkende kommentaren"
"Comment author must have a previously approved comment","Kommentarskriveren skal have en tidligere godkendt kommentar"
"Comment Moderation","Kommentarbed&#248;mmelse"
"Hold a comment in the queue if it contains %s or more links. (A common characteristic of comment spam is a large number of hyperlinks.)","Gem en kommentar i k&#248;en hvis den indeholder %s eller flere links (kommentarspam kendetegnes ofte af et h&#248;jt antal links)."
"When a comment contains any of these words in its content, name, URL, e-mail, or IP, it will be held in the <a href=\"edit-comments.php?comment_status=moderated\">moderation queue</a>. One word or IP per line. It will match inside words, so &#8220;press&#8221; will match &#8220;WordPress&#8221;.","N&#229;r en kommentar indeholder et af f&#248;lgende ord i indhold, navn, URL, e-mail eller IP, skal den tilbageholdes i <a href=\"edit-comments.php?comment_status=moderated\">bed&#248;mmelsesk&#248;en</a>. Et ord eller en IP pr. linje. Den tilbageholder ogs&#229; dele af ord, s&#229; &#8220;press&#8221; tilbageholder ogs&#229; &#8220;WordPress&#8221;."
"Comment Blacklist","Kommentar-sortliste"
"When a comment contains any of these words in its content, name, URL, e-mail, or IP, it will be marked as spam. One word or IP per line. It will match inside words, so &#8220;press&#8221; will match &#8220;WordPress&#8221;.","N&#229;r en kommentar indeholder et af f&#248;lgende ord i indhold, navn, URL, e-mail eller IP, bliver den markeret som spam. Et ord eller en IP pr. linje. Den vil ogs&#229; markere dele af ord, s&#229; &#8220;press&#8221; markerer ogs&#229; &#8220;WordPress&#8221;."
"An avatar is an image that follows you from weblog to weblog appearing beside your name when you comment on avatar enabled sites. Here you can enable the display of avatars for people who comment on your site.","En avatar er et billede, der følger dig fra webblog til webblog, og optræder ved siden af dit navn, når du kommenterer på websteder, hvor avatarer er aktiveret. Her kan du aktivere visning af avatarer for besøgende, der kommenterer på dit websted."
"Avatar Display","Avatarvisning"
"Show Avatars","Vis Avatars"
"Maximum Rating","Maksimiumkarakter"
"G &#8212; Suitable for all audiences","G &#8212; Ok for alle"
"PG &#8212; Possibly offensive, usually for audiences 13 and above","PG &#8212; Kan v&#230;re st&#248;dende - normalt for personer over 13 &#229;r"
"R &#8212; Intended for adult audiences above 17","R &#8212; For voksne over 17 &#229;r"
"X &#8212; Even more mature than above","X &#8212; Endnu mere voksne end ovenfor"
"Default Avatar","Standardavatar"
"For users without a custom avatar of their own, you can either display a generic logo or a generated one based on their e-mail address.","Du kan enten vise et generisk logo eller et bestemt et ud fra brugerens e-mail-adresse, n&#229;r de ikke har deres egen avatar."
"Gravatar Logo","Gravatar-logo"
"Identicon (Generated)","Identicon (Generisk)"
"Wavatar (Generated)","Wavatar (Generisk)"
"MonsterID (Generated)","MonsterID (Generisk)"
"Retro (Generated)","Retro (Generisk)"
"General Settings","Generelle indstillinger"
"Y-m-d G:i:s","d.m.Y H:i"
"The fields on this screen determine some of the basics of your site setup.","Felterne på dette skærmbillede bestemmer nogle af grundindstillingerne for dit websted."
"Most themes display the site title at the top of every page, in the title bar of the browser, and as the identifying name for syndicated feeds. The tagline is also displayed by many themes.","De fleste temaer viser sidetitlen øverst på hver side i browserens titellinje, og som det navnet på dine syndikerede feeds. Taglinjen vises også af mange temaer."
"The WordPress URL and the Site URL can be the same (example.com) or different; for example, having the WordPress core files (example.com/wordpress) in a subdirectory instead of the root directory.","WordPress-URLen og webstedets URL kan være den samme (example.com) eller forskellige; for eksempel kan du have WordPress' kernefiler (example.com/wordpress) i en undermappe i stedet for i rodmappen."
"If you want site visitors to be able to register themselves, as opposed to by the site administrator, check the membership box. A default user role can be set for all new users, whether self-registered or registered by the site admin.","Hvis du ønsker besøgende skal kunne registrere sig, i modsætning til at blive registreret af administratoren, skal du sætte flueben under medlemskab. En standardbrugerrolle kan indstilles til alle nye brugere, uanset om de registrerer sig selv, eller bliver registreret af administrator."
"UTC means Coordinated Universal Time.","UTC betyder Coordinated Universal Time."
"<a href=\"http://codex.wordpress.org/Settings_General_Screen\" target=\"_blank\">Documentation on General Settings</a>","<a href=\"http://codex.wordpress.org/Settings_General_Screen\" target=\"_blank\">Dokumentation om generelle indstillinger</a>"
"In a few words, explain what this site is about.","Forklar med få ord hvad denne side er om."
"WordPress Address (URL)","WordPress-adresse (URL)"
"Site Address (URL)","Webstedets adresse (URL)"
"Enter the address here if you want your site homepage <a href=\"http://codex.wordpress.org/Giving_WordPress_Its_Own_Directory\">to be different from the directory</a> you installed WordPress.","Hvis du gerne vil have, at dit websteds forside <a href=\"http://codex.wordpress.org/Giving_WordPress_Its_Own_Directory\">ligger et andet sted end i den mappe</a>, hvor du installerede WordPress, skal du skrive adressen her."
"E-mail Address","E-mail-adresse"
"This address is used for admin purposes, like new user notification.","Denne e-mail-adresse anvendes til administrative form&#229;l som notifikation om nye brugere."
"Membership","Medlemskab"
"Anyone can register","Alle kan registrere sig"
"New User Default Role","Ny brugers standardrolle"
"This address is used for admin purposes. If you change this we will send you an e-mail at your new address to confirm it. <strong>The new address will not become active until confirmed.</strong>","Denne adresse benyttes til administrative formål. Hvis du ændrer adressen, vil vi sende en e-mail til den nye adresse, for at du kan bekræfte den. <strong>Den nye adresse er ikke aktiv før den er bekræftet.</strong>"
"There is a pending change of the admin e-mail to <code>%s</code>. <a href=\"%s\">Cancel</a>","Der er en ventende ændring af admin e-mail til <code>%s</code>. <a href=\"%s\"> Annuller </a>"
"Timezone","Tidszone"
"<abbr title=\"Coordinated Universal Time\">UTC</abbr> time is <code>%s</code>","<abbr title=\"Coordinated Universal Time\">UTC</abbr>-tid er <code>%s</code>"
"Local time is <code>%s</code>","Lokal tid er <code>%s</code>"
"Choose a city in the same timezone as you.","V&#230;lg en by i samme tidszone som dig selv."
"This timezone is currently in daylight saving time.","Denne tidszone er pt. i sommertid."
"This timezone is currently in standard time.","Denne tidszone har i &#248;jeblikket vintertid."
"Daylight saving time begins on: <code>%s</code>.","Sommertid begynder den <code>%s</code>."
"Standard time begins on: <code>%s</code>.","Standardtid begynder kl.: <code>%s</code>."
"This timezone does not observe daylight saving time.","Denne tidszone bruger ikke sommertid."
"Custom:","Eget:"
"<a href=\"http://codex.wordpress.org/Formatting_Date_and_Time\">Documentation on date and time formatting</a>.","<a href=\"http://codex.wordpress.org/Formatting_Date_and_Time\">Dokumentation for formattering af dato og klokkeslæt</a>."
"Week Starts On","Ugen starter p&#229; en"
"Site Language","Webstedets sprog"
"Media Settings","Medieindstillinger"
"You can set maximum sizes for images inserted into your written content; you can also insert an image as Full Size.","Du kan angive en maksimumstørrelse for billeder, der indsættes i dit tekst; du kan også indsætte et billede i fuld størrelse."
"Uploading Files allows you to choose the folder and path for storing your uploaded files.","Upload af filer lader dig vælge både mappe og placering for dine uploadede filer."
"<a href=\"http://codex.wordpress.org/Settings_Media_Screen\" target=\"_blank\">Documentation on Media Settings</a>","<a href=\"http://codex.wordpress.org/Settings_Media_Screen\" target=\"_blank\">Dokumentation om medieindstillinger</a>"
"Image sizes","Billedst&#248;rrelser"
"The sizes listed below determine the maximum dimensions in pixels to use when inserting an image into the body of a post.","St&#248;rrelserne nedenfor bestemmer de maksimale dimensioner i pixels, n&#229;r du skal inds&#230;tte et billede i et indl&#230;g."
"Thumbnail size","Thumbnail-st&#248;rrelse"
"Crop thumbnail to exact dimensions (normally thumbnails are proportional)","Besk&#230;r thumbnails til bestemte st&#248;rrelser (normalt er thumbnails proportionelle)"
"Medium size","Medium st&#248;rrelse"
"Max Width","Maksimumbredde"
"Max Height","Maksimumh&#248;jde"
"Large size","Stor st&#248;rrelse"
"Active <span class=\"count\">(%s)</span>","Aktive <span class=\"count\">(%s)</span>"
"Recently Active <span class=\"count\">(%s)</span>","Aktive for nylig <span class=\"count\">(%s)</span>"
"Inactive <span class=\"count\">(%s)</span>","Inaktive <span class=\"count\">(%s)</span>"
"Must-Use <span class=\"count\">(%s)</span>","Skal bruge <span class=\"count\">(%s)</span>"
"Network Activate","Aktiver på netværk"
"Network Deactivate","Deaktiver på netværk"
"Clear List","Ryd liste"
"Files in the <code>%s</code> directory are executed automatically.","Filer i <code>%s</code> mappen køres automatisk."
"Drop-ins are advanced plugins in the <code>%s</code> directory that replace WordPress functionality when present.","Drop-ins er avancerede plugins i <code>%s </code> mappen, der erstatter WordPress' funktionalitet, når de er tilstede."
"Inactive:","Inaktive:"
"Requires <code>%s</code> in <code>wp-config.php</code>.","Kræver <code>%s</code> i <code>wp-config.php</code>."
"Deactivate this plugin","Deaktiver dette plugin"
"Activate this plugin for all sites in this network","Aktiver dette plugin for alle sider i dette netværk."
"Delete this plugin","Slet dette plugin"
"Activate this plugin","Aktiver dette plugin"
"Open this file in the Plugin Editor","&#229;bn filen i plugin-editoren"
"Visit plugin site","Bes&#248;g pluginsite"
"Mine <span class=\"count\">(%s)</span>","Mit <span class=\"count\">(%s)</span>"
"All <span class=\"count\">(%s)</span>","Alle <span class=\"count\">(%s)</span>"
"Sticky <span class=\"count\">(%s)</span>","Fastgjorte <span class=\"count\">(%s)</span>"
"Edit this item","Rediger dette indlæg"
"Edit this item inline","Rediger dette element inline"
"Restore this item from the Trash","Gendan dette element fra Papirkurven"
"Move this item to the Trash","Flyt dette emne til Papirkurven"
"Delete this item permanently","Slet dette element permanent"
"Y/m/d g:i:s A","d.m.Y H:i"
"Missed schedule","Missede planlagt indl&#230;g"
"Last Modified","Sidst &#230;ndret"
"Bulk Edit","Masserediger"
"&mdash; No Change &mdash;","&mdash; Ingen ændringer &mdash;"
"&ndash;OR&ndash;","&ndash;ELLER&ndash;"
"[more]","[mere]"
"[less]","[mindre]"
"Parent","Forælder"
"Main Page (no parent)","Forside (ingen for&#230;lder)"
"Order","R&#230;kkef&#248;lge"
"Default Template","Standardskabelon"
"Allow","Tillad"
"Do not allow","Tillad ikke"
"Allow Comments","Tillad kommentarer"
"Allow Pings","Tillad pings"
"Sticky","Fastgjort"
"Not Sticky","Ikke-fastgjort"
"Make this post sticky","Fastgør dette indlæg"
"Newest","Nyeste"
"Recently Updated","Opdateret for nyligt"
"No themes match your request.","Ingen temaer at vise."
"This theme is already installed and is up to date","Dette tema er allerede installeret og opdateret"
"Installed","Installeret"
"Preview %s","Forhåndsvis %s"
"&larr; Close","&larr; Luk"
"Install","Installer"
"You only have one theme enabled for this site right now. Visit the Network Admin to <a href=\"%s\">enable</a> or <a href=\"%s\">install</a> more themes.","Du har kun ét tema aktiveret for dette websted lige nu. Besøg Netværksadministrationen for <a href=\"%s\">aktivere</a> eller <a href=\"%s\">installere</a> flere temaer."
"You only have one theme enabled for this site right now. Visit the Network Admin to <a href=\"%s\">enable</a> more themes.","Du har kun ét tema aktiveret for dette websted lige nu. Besøg Netværksadministrationen for at <a href=\"%s\">aktivere</a> flere temaer."
"You only have one theme installed right now. Live a little! You can choose from over 1,000 free themes in the WordPress.org Theme Directory at any time: just click on the <a href=\"%s\">Install Themes</a> tab above.","Du har kun ét tema installeret lige nu. Slå dig løs! Du kan, når som helst, vælge mellem over 1.000 gratis temaer i samlingen på WordPress.org. Du skal blot klikke på fanebladet <a href=\"%s\">Installer temaer</a> ovenfor."
"Only the current theme is available to you. Contact the %s administrator for information about accessing additional themes.","Det er kun det nuværende tema, der er tilgængeligt for dig. Kontakt din %s administrator hvis du vil vide, hvordan du får adgang til flere temaer."
"Activate &#8220;%s&#8221;","Aktiver &#8220;%s&#8221;"
"Live Preview","Live forhåndsvisning"
"You are about to delete this theme '%s'\n  'Cancel' to stop, 'OK' to delete.","Du er ved at slette dette tema '%s'\n  'Annuller' for at stoppe, 'Ok' for at slette."
"Version:","Version: "
"This <a href=\"%s\">child theme</a> requires its parent theme, %s.","Dette <a href=\"%s\">undertema</a> kræver sit forældertema, %s."
"Invalid Data provided.","Ugyldig data."
"Could not access filesystem.","Kunne ikke f&#229; adgang til filsystem."
"Filesystem error.","Fejl i filsystemet."
"Unable to locate WordPress Root directory.","Kunne ikke finde WordPress' rodmappe."
"Unable to locate WordPress Content directory (wp-content).","Kan ikke finde WordPress-indholdsmappen (wp-content)."
"Unable to locate WordPress Plugin directory.","Kan ikke finde WordPress-pluginmappen."
"Unable to locate WordPress Theme directory.","Kunne ikke finde WordPress-temamappen"
"Unable to locate needed folder (%s).","Kunne ikke finde den n&#248;dvendige mappe (%s)."
"Download failed.","Download mislykkedes."
"Installing the latest version&#8230;","Installerer den seneste version&#8230;"
"Destination folder already exists.","Destinationsmappen eksisterer allerede."
"Could not create directory.","Kunne ikke oprette mappe."
"The package could not be installed.","Opdateringspakken kunne ikke installeres."
"Enabling Maintenance mode&#8230;","Aktiverer vedligeholdelsestilstand&#8230;"
"Disabling Maintenance mode&#8230;","Deaktiver vedligeholdelsestilstand&#8230;"
"The plugin contains no files.","Dette plugin indeholder ikke nogen filer."
"The plugin is at the latest version.","Pluginet er den seneste version."
"Update package not available.","Opdateringspakke er ikke tilgængelig."
"Downloading update from <span class=\"code\">%s</span>&#8230;","Henter opdatering fra <span class=\"code\">%s</span>&#8230;"
"Unpacking the update&#8230;","Pakker opdateringen ud&#8230;"
"Removing the old version of the plugin&#8230;","Fjerner den gamle version af pluginet&#8230;"
"Could not remove the old plugin.","Kunne ikke fjerne det gamle plugin."
"Plugin update failed.","Plugin-opdatering mislykkedes."
"Plugin updated successfully.","Plugin opdateret uden problemer."
"Install package not available.","Installationspakke ikke tilg&#230;ngelig."
"Downloading install package from <span class=\"code\">%s</span>&#8230;","Henter installeringspakke fra <span class=\"code\">%s</span>&#8230;"
"Unpacking the package&#8230;","Udpakker pakken&#8230;"
"Installing the plugin&#8230;","Installerer plugin&#8230;"
"Plugin install failed.","Installation af plugin mislykkedes."
"Plugin installed successfully.","Plugin blev installeret."
"No valid plugins were found.","Ingen gyldige plugins blev fundet."
"The theme is at the latest version.","Temaet er den nyeste version."
"Removing the old version of the theme&#8230;","Fjerner den gamle version af temaet&#8230;"
"Could not remove the old theme.","Kunne ikke fjerne det gamle tema."
"Theme update failed.","Temaopdatering mislykkedes."
"Theme updated successfully.","Tema opdateret uden problemer."
"Installing the theme&#8230;","Installerer temaet&#8230;"
"Theme install failed.","Temainstallering mislykkedes."
"Theme installed successfully.","Tema installeret."
"Successfully installed the theme <strong>%s %s</strong>.","Installerede temaet <strong>%s %s</strong>."
"This theme requires a parent theme. Checking if it is installed&#8230;","Dette tema kræver et forældertema. Tjekker om det er installeret &#8230;"
"Preparing to install <strong>%s %s</strong>&#8230;","Gør klar til at installere <strong>%s %s</strong>&#8230;"
"The parent theme, <strong>%s %s</strong>, is currently installed.","Forældertemaet, <strong>%s %s</strong>, er i øjeblikket installeret."
"Successfully installed the parent theme, <strong>%s %s</strong>.","Installerede forældertemaet, <strong>%s %s</strong>."
"<strong>The parent theme could not be found.</strong> You will need to install the parent theme, <strong>%s</strong>, before you can use this child theme.","<strong>Forældertemaet kunne ikke findes.</strong> Du skal installere forældertemaet, <strong>%s</strong>, før du kan bruge dette undertema."
"The theme is missing the <code>style.css</code> stylesheet.","Temaet mangler <code>style.css</code> stylesheet."
"The <code>style.css</code> stylesheet doesn't contain a valid theme header.","<code>style.css</code> stilarket til temaet har ikke et gyldigt sidehoved."
"The theme is missing the <code>index.php</code> file.","Temaet mangler <code>index.php</code>-filen."
"WordPress is at the latest version.","WordPress er nu seneste version"
"Could not copy files.","Kunne ikke kopiere filer."
"Could not copy files. You may have run out of disk space.","Kunne ikke kopiere filer. Måske mangler der plads på webserveren."
"Update Plugin","Opdater plugin"
"Activate Plugin","Aktiver plugin"
"Go to plugins page","Gå til plugin-side"
"Return to Plugins page","Tilbage til plugins-side"
"The update process is starting. This process may take a while on some hosts, so please be patient.","Opdateringen er påbegyndt. På nogle servere kan denne proces kan tage lidt tid, så hav lidt tålmodighed."
"An error occurred while updating %s: <strong>%s</strong>.","Der opstod en fejl under opdateringen af  %s: <strong>%s</strong>."
"The update of %s failed.","Opdatering af %s mislykkedes."
"%s updated successfully.","%s opdatering gennemført."
"Show Details","Vis detaljer"
"Hide Details","Skjul detaljer"
"All updates have been completed.","Alle opdateringer er installeret."
"Updating Plugin %s (%s2$d/%s3$d)","Opdaterer plugin %s (%s2$d/%s3$d)"
"Go to WordPress Updates page","Gå til siden WordPress-opdateringer"
"Return to WordPress Updates","Vend tilbage til WordPress-opdateringer"
"Updating Theme %s (%s2$d/%s3$d)","Opdaterer tema %s (%s2$d/%s3$d)"
"Go to themes page","Gå til temaside"
"Return to Themes page","Tilbage til temasiden"
"Successfully installed the plugin <strong>%s %s</strong>.","Installerede pluginet <strong>%s %s</strong> med succes."
"Activate Plugin &amp; Run Importer","Aktiver plugin &amp; kør import-funktion"
"Return to Importers","Tilbage til import-funktioner"
"Return to Plugin Installer","Tilbage til plugin-installeringen"
"Enable this theme for all sites in this network","Aktiver dette tema for alle sites i dette netværk"
"Return to Theme Installer","Tilbage til tema-installeringen"
"Themes page","Temaside"
"Update Theme","Opdater tema"
"Customize &#8220;%s&#8221;","Tilpas &#8220;%s&#8221;"
"Please select a file","V&#230;lg venligst en fil"
"No matching users were found.","Fandt ingen matchende brugere!"
"Change role to&hellip;","Skift rolle til&hellip;"
"Change","Skift"
"View posts by this author","Se indl&#230;g skrevet af denne bruger"
"You are using an insecure browser!","Du bruger en usikker browser!"
"Your browser is out of date!","Din browser er forældet!"
"Right Now","Lige nu"
"Incoming Links","Indkommende links"
"Recent Drafts","Seneste kladder"
"http://wordpress.org/news/","http://wordpress.org/news"
"http://wordpress.org/news/feed/","http://wordpress.org/news/feed"
"Other WordPress News","Andre WordPress-nyheder"
"View all","Vis alle"
"Configure","Indstil"
"Theme <span class=\"b\">%s</span> with <span class=\"b\"><a href=\"widgets.php\">%s Widget</a></span>","Tema <span class=\"b\">%s</span> med <span class=\"b\"><a href=\"widgets.php\">%s Widget</a></span>"
"Theme <span class=\"b\">%s</span> with <span class=\"b\"><a href=\"widgets.php\">%s Widgets</a></span>","Tema <span class=\"b\">%s</span> med <span class=\"b\"><a href=\"widgets.php\">%s Widgets</a></span>"
"Theme <span class=\"b\">%s</span> with <span class=\"b\">%s Widget</span>","Temaet <span class=\"b\">%s</span> med <span class=\"b\">%s widget</span>"
"Theme <span class=\"b\">%s</span> with <span class=\"b\">%s Widgets</span>","Temaet <span class=\"b\">%s</span> med <span class=\"b\">%s widgets</span>"
"Theme <span class=\"b\"><a href=\"themes.php\">%s</a></span>","Tema <span class=\"b\"><a href=\"themes.php\">%s</a></span>"
"Theme <span class=\"b\">%s</span>","Tema <span class=\"b\">%s</span>"
"Your site is asking search engines not to index its content","Dit websted beder s&#248;gemaskiner om ikke at indeksere indholdet"
"Search Engines Discouraged","Søgemaskiner blokeret på webstedet"
"Create a New Site","Opret et nyt websted"
"Create a New User","Opret en ny bruger"
"%s user","%s bruger"
"%s users","%s brugere"
"%s site","%s websted"
"%s sites","%s websteder"
"You have %s and %s.","Du har %s og %s."
"Search Users","Søg brugere"
"Search Sites","Søg websteder"
"Post published. <a href=\"%s\">View post</a> | <a href=\"%s\">Edit post</a>","Indlæg udgivet. <a href=\"%s\">Se indlæg</a> | <a href=\"%s\">Rediger indlæg</a>"
"Post submitted. <a href=\"%s\">Preview post</a> | <a href=\"%s\">Edit post</a>","Indl&#230;g udgivet. <a href=\"%s\">Se indl&#230;g</a> | <a href=\"%s\">Rediger indl&#230;g</a>"
"Draft saved. <a href=\"%s\">Preview post</a> | <a href=\"%s\">Edit post</a>","Kladden er gemt. <a href=\"%s\">Se indlæg</a> | <a href=\"%s\">Rediger indlæg</a>"
"You can also try %s, easy blogging from anywhere on the Web.","Du kan ogs&#229; pr&#248;ve %s - nem blogging fra alle steder p&#229; internettet."
"Press This","Press det"
"Tags (separate with commas)","Tags (adskil med komma)"
"Submit for Review","Send til gennemkig"
"Reset","Nulstil"
"There are no drafts at the moment","Der er i &#248;jeblikket ingen kladder"
"From %s on %s%s","Fra %s til %s%s"
"[Pending]","[Afventer]"
"This dashboard widget queries <a href=\"http://blogsearch.google.com/\">Google Blog Search</a> so that when another blog links to your site it will show up here. It has found no incoming links&hellip; yet. It&#8217;s okay &#8212; there is no rush.","Denne kontrolpanelswidget bruger <a href=\"http://blogsearch.google.com/\">Google Blog Search</a> til at vise dig, hvilke blogs, der linker til dig. Der er endnu ingen indkommende links. Det er helt ok; vi skal ikke n&#229; noget."
"Somebody","Nogen"
"%s linked here <a href=\"%s\">saying</a>, \"%s\"","%s linkede hertil og <a href=\"%s\">sagde</a>: \"%s\""
"%s linked here saying, \"%s\"","%s linkede hertil og sagde: \"%s\""
"%s linked here <a href=\"%s\">saying</a>, \"%s\" on %s","%s linkede hertil og <a href=\"%s\">sagde</a>: \"%s\" den %s"
"%s linked here saying, \"%s\" on %s","%s linkede hertil og sagde: \"%s\" den %s"
"Most Popular","Mest popul&#230;re"
"Newest Plugins","Nyeste Plugins"
