"New password","Nové heslo"
"%s updated successfully.","Plugin %s byl úspěšně aktualizován."
"Show Details","Zobrazit podrobnější informace"
"Hide Details","Skrýt podrobnější informace"
"All updates have been completed.","Všechny zvolené aktualizace byly úspěšně dokončeny."
"Updating Plugin %s (%s2$d/%s3$d)","Aktualizace pluginu %s (%s2$d. z celkem %s3$d)"
"Go to WordPress Updates page","Zobrazit stránku s přehledem aktualizací WordPressu"
"Return to WordPress Updates","Zpět na přehled aktualizací"
"Updating Theme %s (%s2$d/%s3$d)","Aktualizace šablony %s (%s2$d. z celkem %s3$d)"
"Go to themes page","Zobrazit stránku s přehledem šablon"
"Return to Themes page","Zpět na přehled šablon"
"Successfully installed the plugin <strong>%s %s</strong>.","Plugin <strong>%s %s</strong> byl úspěšně nainstalován."
"Activate Plugin &amp; Run Importer","Aktivovat plugin &amp; spustit importovací nástroj"
"Return to Importers","Zpět na Import"
"Return to Plugin Installer","Zpět na Instalaci pluginů"
"Enable this theme for all sites in this network","Povolit tuto šablonu v celé síti webů"
"Return to Theme Installer","Zpět na Instalaci šablon"
"Themes page","Správa šablon"
"Update Theme","Aktualizovat šablonu"
"Customize &#8220;%s&#8221;","Přizpůsobit šablonu &#8222;%s&#8220;"
"Please select a file","Vyberte prosím soubor"
"No matching users were found.","Nebyl nalezen žádný odpovídající uživatel."
"Change role to&hellip;","Změnit úroveň uživatelů na&hellip;"
"Change","Změnit"
"Role","Úroveň"
"View posts by this author","Zobrazit příspěvky tohoto autora"
"You are using an insecure browser!","Používáte nedostatečně chráněný prohlížeč!"
"Your browser is out of date!","Používáte zastaralý prohlížeč!"
"Right Now","Aktuální přehled"
"Incoming Links","Příchozí odkazy"
"QuickPress","Rychlý příspěvek"
"Recent Drafts","Nejnovější koncepty"
"WordPress Blog","Web vývojářů WordPressu"
"Other WordPress News","Další užitečné novinky a informace o WordPressu"
"View all","Zobrazit všechny"
"Configure","Nastavení"
"Spam","spamy"
"Theme <span class=\"b\">%s</span> with <span class=\"b\"><a href=\"widgets.php\">%s Widget</a></span>","Používáte šablonu <span class=\"b\">%s</span>, kde máte aktivní <span class=\"b\"><a href=\"widgets.php\">%s widget</a></span>."
"Theme <span class=\"b\">%s</span> with <span class=\"b\"><a href=\"widgets.php\">%s Widgets</a></span>","Používáte šablonu <span class=\"b\">%s</span>, kde máte aktivní <span class=\"b\"><a href=\"widgets.php\">%s widgety</a></span>."
"Theme <span class=\"b\">%s</span> with <span class=\"b\">%s Widget</span>","Používáte šablonu <span class=\"b\">%s</span>, kde máte aktivní <span class=\"b\">%s widget</span>."
"Theme <span class=\"b\">%s</span> with <span class=\"b\">%s Widgets</span>","Používáte šablonu <span class=\"b\">%s</span>, kde máte aktivní <span class=\"b\">%s widgety</span>."
"Theme <span class=\"b\"><a href=\"themes.php\">%s</a></span>","Používáte šablonu <span class=\"b\"><a href=\"themes.php\">%s</a></span>"
"Theme <span class=\"b\">%s</span>","Používáte šablonu <span class=\"b\">%s</span>"
"Your site is asking search engines not to index its content","Vyhledávače mají zakázáno prohledávat a indexovat obsah vašeho webu"
"Search Engines Discouraged",""
"Create a New Site","Vytvořit nový web"
"Create a New User","Vytvořit nového uživatele"
"%s user","%s uživatele"
"%s users","%s uživatele"
"%s site","%s web"
"%s sites","%s weby"
"You have %s and %s.","Síť webů aktuálně zahrnuje %s a %s."
"Search Users","Hledat uživatele"
"Search Sites","Hledat weby"
"Post published. <a href=\"%s\">View post</a> | <a href=\"%s\">Edit post</a>","Příspěvek byl publikován. <a href=\"%s\">Zobrazit příspěvek</a> | <a href=\"%s\">Upravit příspěvek</a>"
"Post submitted. <a href=\"%s\">Preview post</a> | <a href=\"%s\">Edit post</a>","Příspěvek byl uložen. <a href=\"%s\">Zobrazit náhled příspěvku</a> | <a href=\"%s\">Upravit příspěvek</a>"
"Draft saved. <a href=\"%s\">Preview post</a> | <a href=\"%s\">Edit post</a>","Koncept byl uložen. <a href=\"%s\">Zobrazit náhled příspěvku</a> | <a href=\"%s\">Upravit příspěvek</a>"
"You can also try %s, easy blogging from anywhere on the Web.","Můžete také vyzkoušet funkci %s, což je jednoduchý způsob publikace pomocí jediného kliknutí z jakékoli navštívené stránky."
"Press This","Kliknout a publikovat"
"Tags (separate with commas)",""
"Submit for Review","Odeslat ke schválení"
"Reset","Smazat"
"There are no drafts at the moment","Zatím nemáte žádné koncepty."
"From %s on %s%s","%s komentoval %s%s"
"[Pending]","[Čekající na schválení]"
"This dashboard widget queries <a href=\"http://blogsearch.google.com/\">Google Blog Search</a> so that when another blog links to your site it will show up here. It has found no incoming links&hellip; yet. It&#8217;s okay &#8212; there is no rush.","Tato sekce Nástěnky využívá službu <a href=\"http://blogsearch.google.com/\">Google Blog Search</a>, která bude automaticky sledovat, jestli někdo odkazuje na váš web. Zatím sice nebyl žádný příchozí odkaz nalezen, ale to je v pořádku. Neděje se nic podivného, jen o vás musí nejdříve někdo něco napsat a potom se tady hned objeví konkrétní odkaz."
"Somebody","Někdo"
"%s linked here <a href=\"%s\">saying</a>, \"%s\"","%s odkazuje na tento web a <a href=\"%s\">píše</a>: \"%s\""
"%s linked here saying, \"%s\"","%s odkazuje na tento web a píše: \"%s\""
"%s linked here <a href=\"%s\">saying</a>, \"%s\" on %s",""
"%s linked here saying, \"%s\" on %s",""
"Most Popular","Nejoblíbenější"
"Newest Plugins","Nejnovější"
"Loading&#8230;","Načítání&#8230;"
"This widget requires JavaScript.","Tento widget vyžaduje JavaScript."
"Storage Space","Velikost místa pro web"
"<a href=\"%s\" title=\"Manage Uploads\" class=\"musublink\">%sMB</a>","<a href=\"%s\" title=\"Správa nahraných mediálních souborů\" class=\"musublink\">%s MB</a>"
"Space Allowed","Vyhrazený prostor"
"<a href=\"%s\" title=\"Manage Uploads\" class=\"musublink\">%sMB (%s%s%)</a>","<a href=\"%s\" title=\"Správa nahraných mediálních souborů\" class=\"musublink\">%s MB (%s %s%)</a>"
"Space Used","Obsazeno"
"It looks like you're using an insecure version of <a href='%s'>%s</a>. Using an outdated browser makes your computer unsafe. For the best WordPress experience, please update your browser.","Aktuálně používaný prohlížeč <a href='%s'>%s</a> je pravděpodobně nedostatečně chráněný. Dalším používáním jeho zastaralé verze zbytečně vystavujete svůj počítač potenciálním bezpečnostním rizikům. Pokud chcete bez problémů využívat všechny funkce a možnosti, které nejnovější WordPress nabízí, aktualizujte prosím svůj prohlížeč."
"Select comment",""
"Y/m/d \\a\\t g:i A","j.n.Y, G:i"
"Submitted on <a href=\"%s\">%s at %s</a>","Vloženo <a href=\"%s\">%s (%s)</a>"
"In reply to <a href=\"%s\">%s</a>.","Reakce na komentář, jehož autorem byl <a href=\"%s\">%s</a>."
"Unapprove this comment","Odmítnout tento komentář"
"Approve this comment","Schválit tento komentář"
"Mark this comment as spam","Označit tento komentář jako spam"
"Move this comment to the trash","Přesunout tento komentář do koše"
"Quick Edit","Rychlé úpravy"
"Quick&nbsp;Edit","Rychlé&nbsp;úpravy"
"Reply to this comment","Odpovědět na tento komentář"
"Y/m/d \\a\\t g:ia","j.n.Y, G:i"
"Changing to %s","Změna na %s"
"Found %s","Nalezen %s"
"The ftp PHP extension is not available","Rozšíření ftp pro PHP není k dispozici"
"FTP hostname is required","Je vyžadován název cílového FTP serveru."
"FTP username is required","Pro přístup na FTP je vyžadováno uživatelské jméno."
"FTP password is required","Pro přístup na FTP je vyžadováno heslo."
"Failed to connect to FTP Server %s:%s","Nepodařilo se připojit k FTP serveru %s:%s"
"Username/Password incorrect for %s","Uživatelské jméno nebo heslo pro %s není správné"
"The ssh2 PHP extension is not available","Rozšíření ssh2 pro PHP není k dispozici"
"The ssh2 PHP extension is available, however, we require the PHP5 function <code>stream_get_contents()</code>","Rozšíření ssh2 pro PHP je sice k dispozici, avšak kvůli použití funkce <code>stream_get_contents()</code> je vyžadováno PHP5."
"SSH2 hostname is required","Je vyžadován název cílového SSH2 serveru"
"SSH2 username is required","Je vyžadováno uživatelské jméno pro SSH2"
"SSH2 password is required","Je vyžadováno heslo pro SSH2"
"Failed to connect to SSH2 Server %s:%s","Nepodařilo se připojit k SSH2 serveru %s:%s"
"Public and Private keys incorrect for %s","Veřejné a soukromé klíče pro %s nejsou správné"
"Unable to perform command: %s","Nebylo možné provést příkaz: %s"
"No links found.","Nebyly nalezeny žádné odkazy."
"Delete","Smazat"
"View all categories","Zobrazit všechny rubriky"
"Relationship","Vztah k odkazu"
"Visible","Viditelnost"
"Rating","Hodnocení"
"Select %s",""
"Edit &#8220;%s&#8221;","Upravit &#8222;%s&#8220;"
"You are about to delete this link '%s'\n  'Cancel' to stop, 'OK' to delete.","Chystáte se smazat odkaz '%s'\n  Akci můžete zastavit kliknutím na 'Storno', nebo potvrdit pomocí 'OK'."
"Visit %s","Navštívit %s"
"Show all dates","Zobrazit všechna data"
"List View","Přehledné zobrazení"
"Excerpt View","Detailní zobrazení"
"%s pending","čekající na schválení: %s"
"Go to the first page","Přejít na první stránku"
"Go to the previous page","Přejít na předchozí stránku"
"Current page","Aktuální stránka"
"%s of %s","%s z celkem %s"
"Go to the next page","Přejít na následující stránku"
"Go to the last page","Přejít na poslední stránku"
"Unattached <span class=\"count\">(%s)</span>","Nepřiřazeny <span class=\"count\">(%s)</span>"
"Attach to a post","Přiřadit k příspěvku"
"Scan for lost attachments","Vyhledat ztracené přílohy"
"No media attachments found.","Nebyly nalezeny žádné mediální soubory."
"File","Mediální soubor"
"Uploaded to",""
"Date","Datum"
"Unpublished","Nepublikováno"
"%s from now","za %s"
"(Unattached)","(Soubor zatím nebyl přiřazen)"
"Attach","Přiřadit k příspěvku / stránce"
"View &#8220;%s&#8221;","Zobrazit &#8222;%s&#8220;"
"View","Zobrazit"
"No sites found.","Nebyly nalezeny žádné weby."
"Mark as Spam","Označit jako spam"
"Domain","Doména"
"Last Updated","Poslední aktualizace"
"Registered",""
"Archived","Archivováno"
"Deleted","Deaktivováno"
"Mature","Pouze pro dospělé"
"You are about to activate the site %s",""
"You are about to deactivate the site %s",""
"You are about to unarchive the site %s.",""
"Unarchive",""
"You are about to archive the site %s.",""
"Archive",""
"You are about to unspam the site %s.",""
"You are about to mark the site %s as spam.",""
"You are about to delete the site %s.",""
"Visit",""
"Never",""
"Only showing first 5 users.",""
"More",""
"No themes found.",""
"You do not appear to have any themes available at this time.",""
"Theme",""
"Enabled <span class=\"count\">(%s)</span>",""
"Disabled <span class=\"count\">(%s)</span>",""
"Update Available <span class=\"count\">(%s)</span>","Dostupné aktualizace <span class=\"count\">(%s)</span>"
"Broken <span class=\"count\">(%s)</span>",""
"Enable",""
"Network Enable","Povolit v síti webů"
"Disable",""
"Network Disable",""
"Enable this theme",""
"Disable this theme",""
"Open this theme in the Theme Editor",""
"Delete this theme",""
"Broken Theme:",""
"By %s","Autor: %s"
"Visit theme homepage",""
"Visit Theme Site",""
"No users found.",""
"Super Admin <span class=\"count\">(%s)</span>",""
"Super Admins <span class=\"count\">(%s)</span>",""
"Super Admin","Správa webů"
"Search Results","Výsledky vyhledávání"
"Popular","Oblíbené"
"Favorites",""
"Try again","Zkuste to znovu"
"No plugins match your request.","Nebyl nalezen žádný plugin, který by odpovídal vašemu požadavku."
"More information about %s","Podrobnější informace o pluginu %s"
"Details","Podrobnosti"
"Install %s","Instalovat %s"
"Install Now","Instalovat"
"Update to version %s","Aktualizovat na nejnovější verzi %s"
"Update Now","Aktualizovat"
"This plugin is already installed and is up to date","Nejnovější verze tohoto pluginu už byla nainstalována"
"(based on %s rating)","(hodnotil %s uživatel)"
"(based on %s ratings)","(hodnotili %s uživatelé)"
"No plugins found.","Nebyly nalezeny žádné pluginy."
"You do not appear to have any plugins available at this time.","Vypadá to, že nemáte v současné době žádný plugin k dispozici."
"Welcome to WordPress %s","Vítejte ve WordPressu %s"
"Thank you for updating to the latest version! WordPress %s is more polished and enjoyable than ever before. We hope you like it.",""
"Version %s","Verze %s"
"What&#8217;s New","Novinky"
"Credits","Autoři"
"Freedoms","Licence"
"New Media Manager",""
"Beautiful Interface",""
"Adding media has been streamlined with an all-new experience, making it a breeze to upload files and place them into your posts.",""
"Picturesque Galleries",""
"Creating image galleries is faster with drag and drop reordering, inline caption editing, and simplified controls for layout.",""
"New Default Theme",""
"Introducing Twenty Twelve",""
"The newest default theme for WordPress is simple, flexible, and elegant.",""
"What makes it really shine are the design details, like the gorgeous Open Sans typeface and a fully responsive design that looks great on any device.",""
"Naturally, Twenty Twelve supports all the theme features you’ve come to know and love, but it is also designed to be as great for a website as it is for a blog.",""
"Retina Ready",""
"So Sharp You Can&#8217;t See the Pixels",""
"The WordPress dashboard now looks beautiful on high-resolution screens like those found on the iPad, Kindle Fire HD, Nexus 10, and MacBook Pro with Retina Display. Icons and other visual elements are crystal clear and full of detail.",""
"Smoother Experience",""
"Better Accessibility",""
"WordPress supports more usage modes than ever before. Screenreaders, touch devices, and mouseless workflows all have improved ease of use and accessibility.",""
"More Polish",""
"A number of screens and controls have been refined. For example, a new color picker makes it easier for you to choose that perfect shade of blue.",""
"Under the Hood","Pro pokročilé"
"Meta Query Additions",""
"The <code>WP_Comment_Query</code> and <code>WP_User_Query</code> classes now support meta queries just like <code>WP_Query.</code> Meta queries now support querying for objects without a particular meta key.",""
"Post Objects",""
"Post objects are now instances of a <code>WP_Post</code> class, which improves performance by loading selected properties on demand.",""
"Image Editing API",""
"The <code>WP_Image_Editor</code> class abstracts image editing functionality such as cropping and scaling, and uses ImageMagick when available.",""
"Multisite Improvements",""
"<code>switch_to_blog()</code> is now significantly faster and more reliable.",""
"XML-RPC API",""
"The <a href=\"%s\">WordPress API</a> is now always enabled, and supports fetching users, editing profiles, managing post revisions, and searching posts.",""
"External Libraries","Externí knihovny"
"WordPress now includes the <a href=\"%s\">Underscore</a> and <a href=\"%s\">Backbone</a> JavaScript libraries. TinyMCE, jQuery, jQuery UI, and SimplePie have all been updated to the latest versions.",""
"Return to Updates","Zpět na přehled aktualizací"
"Return to Dashboard &rarr; Updates","Zpět na přehled aktualizací"
"Go to Dashboard &rarr; Home","Přejít na úvodní stránku &rarr; Nástěnka"
"Go to Dashboard","Zpět na Nástěnku"
"Maintenance Release","Opravná verze"
"Maintenance Releases","Opravné verze"
"Security Release","Bezpečnostní verze"
"Security Releases","Bezpečnostní verze"
"Maintenance and Security Release","Opravná a bezpečnostní verze"
"Maintenance and Security Releases","Opravné a bezpečnostní verze"
"<strong>Version %s</strong> addressed a security issue.","<strong>WordPress %s</strong> opravuje bezpečnostní problém."
"<strong>Version %s</strong> addressed some security issues.","<strong>WordPress %s</strong> opravuje několik bezpečnostních problémů."
"<strong>Version %s</strong> addressed %s bug.","<strong>WordPress %s</strong> opravuje %s chybu."
"<strong>Version %s</strong> addressed %s bugs.","<strong>WordPress %s</strong> opravuje %s chyby."
"<strong>Version %s</strong> addressed a security issue and fixed %s bug.","<strong>WordPress %s</strong> opravuje bezpečnostní problém a %s další chybu."
"<strong>Version %s</strong> addressed a security issue and fixed %s bugs.","<strong>WordPress %s</strong> opravuje bezpečnostní problém a %s další chyby."
"<strong>Version %s</strong> addressed some security issues and fixed %s bug.","<strong>WordPress %s</strong> opravuje několik bezpečnostních problémů a %s další chybu."
"<strong>Version %s</strong> addressed some security issues and fixed %s bugs.","<strong>WordPress %s</strong> opravuje několik bezpečnostních problémů a %s další chyby."
"For more information, see <a href=\"%s\">the release notes</a>.","Podrobnější informace naleznete na oficiální <a href=\"%s\">stránce o této verzi</a> (anglicky)."
"Thank you for creating with <a href=\"http://wordpress.org/\">WordPress</a>.","Děkujeme, že používáte <a href=\"http://wordpress.org\">WordPress</a>."
"Global Dashboard","Globální nástěnka"
"%s &#8212; WordPress","%s &#8211; WordPress"
"%s &lsaquo; %s &#8212; WordPress","%s &lsaquo; %s &#8211; WordPress"
"Skip to main content",""
"Main content",""
"Invalid plugin page","Nesprávná stránka pluginu"
"Cannot load %s.","Nepodařilo se načíst %s."
"You are not allowed to import.","Nemáte dostatečné oprávnění pro import dat."
"Unknown post type.","Neznámý typ obsahu."
"You are not allowed to edit this item.","Nemáte dostatečné oprávnění pro úpravy této položky."
"&#8220;%s&#8221; has failed to upload due to an error","Soubor &#8222;%s&#8220; se kvůli chybě nepodařilo nahrát"
"Edit Comment","Upravit komentář"
"Overview","Obecný přehled"
"You can edit the information left in a comment if needed. This is often useful when you notice that a commenter has made a typographical error.","Pokud je to nezbytné, můžete samozřejmě upravovat i konkrétní komentáře. Často se této možnosti využívá zejména v případech, kdy udělal autor komentáře nějakou pravopisnou či typografickou chybu."
"You can also moderate the comment from this screen using the Status box, where you can also change the timestamp of the comment.","Vybraný komentář můžete na této stránce také moderovat pomocí výběru příslušné možnosti v sekci Stav, kde je možné také změnit datum a čas uložení komentáře na webu."
"For more information:","Další informace:"
"<a href=\"http://codex.wordpress.org/Administration_Screens#Comments\" target=\"_blank\">Documentation on Comments</a>","<a href=\"http://codex.wordpress.org/Administration_Screens#Comments\" target=\"_blank\">Manuál pro správu komentářů</a> (anglicky)"
"<a href=\"http://wordpress.org/support/\" target=\"_blank\">Support Forums</a>","Fórum podpory (<a href=\"http://www.separatista.net/forum\" target=\"_blank\">česky</a> - <a href=\"http://wordpress.org/support/\" target=\"_blank\">anglicky</a>)"
"Oops, no comment with this ID.","Komentář s tímto ID nebyl nalezen."
"Go back","Zpět"
"You are not allowed to edit this comment.","Nemáte dostatečné oprávnění pro úpravy tohoto komentáře."
"This comment is in the Trash. Please move it out of the Trash if you want to edit it.","Tento komentář je v koši. Pokud ho chcete upravovat, tak ho prosím nejdříve obnovte na původní místo."
"Moderate Comment","Moderovat komentář"
"You are about to mark the following comment as spam:","Chystáte se označit následující komentář jako spam:"
"Spam Comment","Označit komentář jako spam"
"You are about to move the following comment to the Trash:","Chystáte se přesunout následující komentář do koše:"
"Trash Comment","Odstranit komentář"
"You are about to delete the following comment:","Chystáte se smazat následující komentář:"
"Permanently Delete Comment","Smazat komentář"
"You are about to approve the following comment:","Chystáte se schválit následující komentář:"
"Approve Comment","Schválit komentář"
"This comment is currently approved.","Tento komentář je momentálně schválen."
"This comment is currently marked as spam.","Tento komentář je momentálně označen jako spam."
"This comment is currently in the Trash.","Tento komentář je momentálně v koši."
"Caution:","Upozornění:"
"You are not allowed to edit comments on this post.","Nemáte dostatečné oprávnění pro úpravy komentářů u tohoto příspěvku."
"Unknown action.","Neznámá akce."
"WordPress is created by a <a href=\"%s\">worldwide team</a> of passionate individuals. <a href=\"%s\">Get involved in WordPress</a>.","WordPress je vytvářen <a href=\"%s\">skupinou</a> nadšených dobrovolníků z celého světa. <a href=\"%s\">Zapojte se do komunity WordPressu</a>."
"WordPress is created by a worldwide team of passionate individuals.","WordPress je vytvářen skupinou nadšených dobrovolníků z celého světa."
"Translators","Česká lokalizace"
"Want to see your name in lights on this page? <a href=\"%s\">Get involved in WordPress</a>.","Chtěli byste být také uvedeni na této stránce? <a href=\"%s\">Zapojte se do komunity WordPressu</a>."
"Project Leaders","Vedení projektu"
"Extended Core Team","Rozšířený hlavní tým"
"Core Developers","Základní vývojářský tým"
"Recent Rockstars","Nejaktivnější uživatelé"
"Core Contributors to WordPress %s","Další uživatelé, kteří se účastnili vývoje WordPressu %s"
"Contributing Developers","Spolupracující vývojáři"
"Cofounder, Project Lead","Spoluzakladatel, vedoucí projektu"
"Lead Developer","Hlavní vývojář"
"User Experience Lead","Zkušenosti uživatelů s používáním WordPressu"
"Core Developer","Stálý vývojář"
"Core Committer","Vývojář s právem měnit zdrojový kód"
"Guest Committer","Vývojář s dočasným právem měnit zdrojový kód"
"Developer","Vývojář"
"Designer","Grafický návrh administrace"
"Internationalization","Podpora lokalizace"
"Icon Design","Grafický návrh ikon"
"You can customize the look of your site without touching any of your theme&#8217;s code by using a custom background. Your background can be an image or a color.","Pomocí uživatelského nastavení pozadí můžete jednoduše upravit vzhled webu bez toho, abyste museli zasahovat do zdrojových souborů šablony. Na pozadí je možné zobrazit obrázek nebo jen zvolit nějakou barvu."
"To use a background image, simply upload it or choose an image that has already been uploaded to your Media Library by clicking the &#8220;Choose Image&#8221; button. You can display a single instance of your image, or tile it to fill the screen. You can have your background fixed in place, so your site content moves on top of it, or you can have it scroll with your site.","Pokud chcete mít na pozadí webu svůj vlastní obrázek, stačí ho nahrát přímo z počítače nebo vybrat z Knihovny médií pomocí tlačítka &#8222;Vybrat obrázek&#8220; a následně upřesnit jeho konkrétní nastavení. Obrázek může být na pozadí zobrazen pouze jednou, opakovaně v různých směrech nebo vyplňovat celé pozadí webu. Dále můžete zvolit ještě zarovnání a způsob upevnění, takže nastavené pozadí zůstane buď upevněno stále na stejném místě (a posunuje se pouze samotný obsah webu) nebo se automaticky posunuje společně se zobrazeným obsahem."
"You can also choose a background color by clicking the Select Color button and either typing in a legitimate HTML hex value, e.g. &#8220;#ff0000&#8221; for red, or by choosing a color using the color picker.","Barvu pozadí je možné snadno přizpůsobit kliknutím na tlačítko &#8222;Zvolit barvu&#8220;. Následně se objeví přehledný grafický nástroj, s jehož pomocí snadno nastavíte vhodnou barvu nebo ji můžete zadat přímo pomocí platného hexadecimálního kódu (např. &#8222;#ff0000&#8220; označuje červenou)."
"Don&#8217;t forget to click on the Save Changes button when you are finished.","Po provedení všech úprav ještě nezapomeňte kliknout na tlačítko &#8222;Uložit změny&#8220;."
"<a href=\"http://codex.wordpress.org/Appearance_Background_Screen\" target=\"_blank\">Documentation on Custom Background</a>","<a href=\"http://codex.wordpress.org/Appearance_Background_Screen\" target=\"_blank\">Manuál pro práci s pozadím</a> (anglicky)"
"Custom Background","Uživatelské nastavení pozadí"
"Background updated. <a href=\"%s\">Visit your site</a> to see how it looks.","Pozadí bylo aktualizováno. Výsledek této změny si můžete prohlédnout přímo <a href=\"%s\">na webu</a>."
"Remove Background Image","Odstranit obrázek z pozadí"
"This will remove the background image. You will not be able to restore any customizations.","Pomocí tlačítka odstraníte aktuální obrázek z pozadí. Žádné další provedené úpravy tohoto nastavení však nebude možné obnovit."
"Restore Original Image","Obnovit původní obrázek"
"This will restore the original background image. You will not be able to restore any customizations.","Pomocí tlačítka obnovíte původní obrázek na pozadí. Žádné další provedené úpravy tohoto nastavení však nebude možné obnovit."
"Select Image","Zvolit obrázek"
"Choose an image from your computer:","Nahrát obrázek z počítače:"
"Or choose an image from your media library:","Zvolit libovolný obrázek z Knihovny médií:"
"Choose a Background Image","Obrázek na pozadí"
"Set as background","Použít jako obrázek na pozadí"
"Choose Image","Vybrat obrázek"
"Display Options","Nastavení zobrazení"
"Position","Umístění"
"Repeat","Opakování"
"Attachment","Upevnění"
"The uploaded file is not a valid image. Please try again.","Nahraný soubor bohužel není platný obrázek. Zkuste to prosím znovu."
"This screen is used to customize the header section of your theme.","Záhlaví webu je důležitou součástí každé šablony, a proto WordPress nabízí uživatelům různé možnosti pro jeho snadné nastavení."
"You can choose from the theme&#8217;s default header images, or use one of your own. You can also customize how your Site Title and Tagline are displayed.","Pokud chcete zobrazovat v záhlaví nějaký obrázek, tak můžete vybírat z výchozích obrázků definovaných šablonou nebo použít libovolný vlastní obrázek. Další nastavení zase umožňuje volitelně zobrazovat název a popis webu v záhlaví a barevně tento text přizpůsobit."
"You can set a custom image header for your site. Simply upload the image and crop it, and the new header will go live immediately. Alternatively, you can use an image that has already been uploaded to your Media Library by clicking the &#8220;Choose Image&#8221; button.","Obrázek v záhlaví webu je možné snadno nastavit několika různými způsoby. Stačí pouze nahrát požadovaný obrázek přímo z počítače (a v případě potřeby ho také oříznout, aby splňoval požadované rozměry pro záhlaví definované v šabloně) a nově připravené záhlaví bude na webu okamžitě zobrazeno. Další možností je výběr již nahraného obrázku z Knihovny médií, a to kliknutím na tlačítko &#8222;Vybrat obrázek&#8220;."
"Some themes come with additional header images bundled. If you see multiple images displayed, select the one you&#8217;d like and click the &#8220;Save Changes&#8221; button.","Některé šablony obsahují různé výchozí obrázky, ze kterých si mohou uživatelé při tvorbě vlastního záhlaví vybírat. Pokud chcete některý z výchozích obrázků zobrazených na této stránce použít, stačí ho kliknutím označit a následně volbu potvrdit tlačítkem &#8222;Uložit změny&#8220;."
"If your theme has more than one default header image, or you have uploaded more than one custom header image, you have the option of having WordPress display a randomly different image on each page of your site. Click the &#8220;Random&#8221; radio button next to the Uploaded Images or Default Images section to enable this feature.","Zajímavá funkce pro náhodné zobrazování obrázků v záhlaví na různých stránkách webu se automaticky objeví pouze v případě, kdy jsou dostupné alespoň dva obrázky určené pro záhlaví (výchozí nebo nahrané). Jednoduše pak stačí zvolit novou možnost &#8222;Náhodný obrázek&#8220;, která bude zobrazena v části Nahrané obrázky nebo Výchozí obrázky."
"If you don&#8217;t want a header image to be displayed on your site at all, click the &#8220;Remove Header Image&#8221; button at the bottom of the Header Image section of this page. If you want to re-enable the header image later, you just have to select one of the other image options and click &#8220;Save Changes&#8221;.","Pokud ale nechcete obrázek v záhlaví vůbec zobrazovat, tak stačí použít tlačítko &#8222;Odstranit obrázek ze záhlaví&#8220;, které je na konci celé sekce Obrázek v záhlaví. A když budete chtít obrázek do záhlaví zase někdy přidat, můžete využít některý z výše zmiňovaných způsobů a volbu nakonec potvrdit kliknutím na tlačítko &#8222;Uložit změny&#8220;. Některé šablony také umožňují zrušit připravené záhlaví a vrátit se k výchozímu nastavení, které je definováno v aktuálně používané šabloně, a to kliknutím na tlačítko &#8222;Obnovit původní obrázek v záhlaví&#8220;."
"Header Text","Text v záhlaví"
"For most themes, the header text is your Site Title and Tagline, as defined in the <a href=\"%s\">General Settings</a> section.","Šablony většinou zobrazují v záhlaví také název a popis webu. Obsah tohoto textu můžete snadno upravovat na stránce <a href=\"%s\">Základní nastavení</a>."
"In the Header Text section of this page, you can choose whether to display this text or hide it. You can also choose a color for the text by clicking the Select Color button and either typing in a legitimate HTML hex value, e.g. &#8220;#ff0000&#8221; for red, or by choosing a color using the color picker.","V samostatné sekci s názvem Text v záhlaví si můžete vybrat, jestli se bude text určený pro záhlaví zobrazovat na webu nebo ho naopak necháte skrytý. Barvu tohoto textu je možné snadno přizpůsobit kliknutím na tlačítko &#8222;Zvolit barvu&#8220;. Následně se objeví přehledný grafický nástroj, s jehož pomocí snadno nastavíte vhodnou barvu nebo ji můžete zadat přímo pomocí platného hexadecimálního kódu (např. &#8222;#ff0000&#8220; označuje červenou)."
"Don&#8217;t forget to click &#8220;Save Changes&#8221; when you&#8217;re done!","Po provedení všech úprav ještě nezapomeňte kliknout na tlačítko &#8222;Uložit změny&#8220;."
"<a href=\"http://codex.wordpress.org/Appearance_Header_Screen\" target=\"_blank\">Documentation on Custom Header</a>","<a href=\"http://codex.wordpress.org/Appearance_Header_Screen\" target=\"_blank\">Manuál pro práci se záhlavím</a> (anglicky)"
"<strong>Random:</strong> Show a different image on each page.","<strong>Náhodný obrázek:</strong> Na každé stránce webu bude v záhlaví náhodně zobrazen jiný obrázek."
"Custom Header","Uživatelské nastavení záhlaví"
"Header updated. <a href=\"%s\">Visit your site</a> to see how it looks.","Záhlaví bylo aktualizováno. Výsledek této změny si můžete prohlédnout přímo <a href=\"%s\">na webu</a>."
"You can select an image to be shown at the top of your site by uploading from your computer or choosing from your media library. After selecting an image you will be able to crop it.","Můžete si zvolit libovolný obrázek, který bude následně zobrazen v záhlaví webu. Obrázek je možné nahrát přímo z počítače nebo vybrat z Knihovny médií. Jakmile vyberete vhodný obrázek, automaticky se objeví další stránka, kde bude možné obrázek ručně oříznout na potřebné rozměry."
"Images of exactly <strong>%s1$d &times; %s2$d pixels</strong> will be used as-is.","Obrázky s přesnými rozměry <strong>%s1$d &times; %s2$d pixelů</strong> není třeba dále upravovat a zobrazí se v této podobě rovnou na webu."
