"New password","新規パスワード"
"Allow Pings","トラックバック/ピンバックを許可"
"Sticky","先頭に固定表示"
"Not Sticky","通常どおり表示"
"Make this post sticky","この投稿を先頭に固定表示"
"Featured","おすすめ"
"Newest","最新"
"Recently Updated","最近の更新"
"No themes match your request.","条件に一致するテーマがありませんでした。"
"This theme is already installed and is up to date","このテーマの最新版がすでにインストール済みです"
"Installed","インストール済み"
"Preview %s","%s をプレビュー"
"&larr; Close","&larr; 閉じる"
"Install","インストール"
"You only have one theme enabled for this site right now. Visit the Network Admin to <a href=\"%s\">enable</a> or <a href=\"%s\">install</a> more themes.","現在このサイトではテーマがひとつしか有効化されていません。ネットワーク管理画面でさらに多くのテーマを<a href=\"%s\">有効化</a>または<a href=\"%s\">インストール</a>してください。"
"You only have one theme enabled for this site right now. Visit the Network Admin to <a href=\"%s\">enable</a> more themes.","現在このサイトではテーマがひとつしか有効化されていません。ネットワーク管理画面でさらに多くのテーマを<a href=\"%s\">有効化</a>してください。"
"You only have one theme installed right now. Live a little! You can choose from over 1,000 free themes in the WordPress.org Theme Directory at any time: just click on the <a href=\"%s\">Install Themes</a> tab above.","現在、テーマがひとつしかインストールされていません。もっと楽しみましょう ! WordPress.org テーマディレクトリにある1000以上の無料テーマからいつでも選ぶことができます。上の<a href=\"%s\">テーマのインストール</a>タブをクリックしてください。"
"Only the current theme is available to you. Contact the %s administrator for information about accessing additional themes.","現在利用中のテーマ以外に利用できるものはありません。他のテーマにアクセスするための情報に関しては、%s 管理者へご連絡ください。"
"Activate &#8220;%s&#8221;","&#8220;%s&#8221; を有効化"
"Live Preview","ライブプレビュー"
"You are about to delete this theme '%s'\n  'Cancel' to stop, 'OK' to delete.","このテーマ '%s' を削除しようとしています。\n 'キャンセル' で中止、'OK' で削除します。"
"This <a href=\"%s\">child theme</a> requires its parent theme, %s.","この<a href=\"%s\">子テーマ</a>には親テーマの %s が必須です。"
"Invalid Data provided.","無効なデータです。"
"Could not access filesystem.","ファイルシステムにアクセスできませんでした。"
"Filesystem error.","ファイルシステムのエラー。"
"Unable to locate WordPress Root directory.","WordPress のルートディレクトリが見つかりません。"
"Unable to locate WordPress Content directory (wp-content).","wp-content ディレクトリが見つかりません。"
"Unable to locate WordPress Plugin directory.","WordPress プラグインディレクトリが見つかりません。"
"Unable to locate WordPress Theme directory.","WordPress テーマディレクトリが見つかりません。"
"Unable to locate needed folder (%s).","必要なフォルダ (%s) が見つかりません。"
"Download failed.","ダウンロードに失敗しました。"
"Installing the latest version&#8230;","最新のバージョンをインストールしています…"
"Destination folder already exists.","目的のフォルダはすでに存在しています。"
"Could not create directory.","ディレクトリを作成できませんでした。"
"The package could not be installed.","パッケージをインストールできませんでした。"
"Enabling Maintenance mode&#8230;","メンテナンスモードを有効にします…"
"Disabling Maintenance mode&#8230;","メンテナンスモードを無効にします…"
"The plugin contains no files.","プラグインにファイルが含まれていません。"
"The plugin is at the latest version.","プラグインは最新のバージョンです。"
"Update package not available.","更新パッケージは利用できません。"
"Downloading update from <span class=\"code\">%s</span>&#8230;","<span class=\"code\">%s</span> から更新をダウンロードしています&#8230;"
"Unpacking the update&#8230;","更新を展開しています…"
"Removing the old version of the plugin&#8230;","プラグインの古いバージョンを削除しています…"
"Could not remove the old plugin.","古いプラグインを削除できませんでした。"
"Plugin update failed.","プラグインの更新に失敗しました。"
"Plugin updated successfully.","プラグインの更新に成功しました。"
"Install package not available.","インストールパッケージがありません。"
"Downloading install package from <span class=\"code\">%s</span>&#8230;","<span class=\"code\">%s</span> からインストールパッケージをダウンロードしています…"
"Unpacking the package&#8230;","パッケージを展開しています…"
"Installing the plugin&#8230;","プラグインをインストールしています…"
"Plugin install failed.","プラグインのインストールに失敗しました。"
"Plugin installed successfully.","プラグインのインストールが完了しました。"
"No valid plugins were found.","有効なプラグインが見つかりませんでした。"
"The theme is at the latest version.","テーマは最新のバージョンです。"
"Removing the old version of the theme&#8230;","旧バージョンのテーマを削除しています…"
"Could not remove the old theme.","旧バージョンのテーマを削除できませんでした。"
"Theme update failed.","テーマの更新に失敗しました。"
"Theme updated successfully.","テーマの更新に成功しました。"
"Installing the theme&#8230;","テーマをインストールしています…"
"Theme install failed.","テーマのインストールに失敗しました。"
"Theme installed successfully.","テーマのインストールが完了しました。"
"Successfully installed the theme <strong>%s %s</strong>.","テーマ <strong>%s %s</strong> のインストールが完了しました。"
"This theme requires a parent theme. Checking if it is installed&#8230;","このテーマには親テーマが必要です。親テーマがインストールされているか確認しています。"
"Preparing to install <strong>%s %s</strong>&#8230;","<strong>%s %s</strong> のインストールを準備中です&#8230;"
"The parent theme, <strong>%s %s</strong>, is currently installed.","親テーマ <strong>%s %s</strong> はインストール済みです。"
"Successfully installed the parent theme, <strong>%s %s</strong>.","親テーマ <strong>%s %s</strong> のインストールに成功しました。"
"<strong>The parent theme could not be found.</strong> You will need to install the parent theme, <strong>%s</strong>, before you can use this child theme.","<strong>親テーマが見つかりませんでした。</strong>この子テーマを利用する前に、親テーマ<strong>%s</strong> をインストールしてください。"
"The theme is missing the <code>style.css</code> stylesheet.","テーマに <code>style.css</code> ファイルが含まれていません。"
"The <code>style.css</code> stylesheet doesn't contain a valid theme header.","<code>style.css</code> スタイルシートに有効なテーマヘッダー情報が含まれていません。"
"The theme is missing the <code>index.php</code> file.","テーマに <code>index.php</code> ファイルが含まれていません。"
"WordPress is at the latest version.","WordPress は最新のバージョンです。"
"Could not copy files.","ファイルをコピーできませんでした。"
"Could not copy files. You may have run out of disk space.","ファイルをコピーできませんでした。ディスク容量不足の可能性があります。"
"Update Plugin","プラグインを更新"
"Activate Plugin","プラグインを有効化"
"Go to plugins page","プラグインのページへ"
"Return to Plugins page","プラグインページへ戻る"
"The update process is starting. This process may take a while on some hosts, so please be patient.","更新プロセスを開始しています。サーバーによっては少し時間がかかるかもしれません。しばらくお待ちください。"
"An error occurred while updating %s: <strong>%s</strong>.","%s の更新中にエラーが起こりました: <strong>%s</strong>"
"The update of %s failed.","%s のアップグレードに失敗しました。"
"%s updated successfully.","%s の更新に成功しました。"
"Show Details","詳細を表示"
"Hide Details","詳細を非表示"
"All updates have been completed.","すべての更新が完了しました。"
"Updating Plugin %s (%s2$d/%s3$d)","プラグインの更新: %s (%s2$d/%s3$d)"
"Go to WordPress Updates page","WordPress 更新ページへ"
"Return to WordPress Updates","WordPress 更新ページへ戻る"
"Updating Theme %s (%s2$d/%s3$d)","%s テーマを更新中 (%s2$d/%s3$d)"
"Go to themes page","テーマのページへ"
"Return to Themes page","テーマのページに戻る"
"Successfully installed the plugin <strong>%s %s</strong>.","プラグイン <strong>%s %s</strong> のインストールが完了しました。"
"Activate Plugin &amp; Run Importer","プラグインを有効化してインポートツールを実行"
"Return to Importers","インポートツールへ戻る"
"Return to Plugin Installer","プラグインインストーラに戻る"
"Enable this theme for all sites in this network","ネットワーク内のすべてのサイトでこのテーマを有効化する"
"Return to Theme Installer","テーマインストーラーへ戻る"
"Themes page","テーマのページ"
"Update Theme","テーマを更新"
"Customize &#8220;%s&#8221;","&#8220;%s&#8221; をカスタマイズ"
"Please select a file","ファイルを選択してください"
"No matching users were found.","一致するユーザーは見つかりませんでした。"
"%s <span class=\"count\">(%s)</span>","%s <span class=\"count\">(%s 名)</span>"
"Change role to&hellip;","権限グループを変更&hellip;"
"Change","変更"
"Role","権限グループ"
"View posts by this author","この作成者の投稿を表示"
"You are using an insecure browser!","お使いのブラウザは安全ではありません !"
"Your browser is out of date!","お使いのブラウザは古すぎます !"
"Right Now","現在の状況"
"Incoming Links","被リンク"
"QuickPress","クイック投稿"
"Recent Drafts","最近の下書き"
"http://wordpress.org/news/","http://ja.wordpress.org/"
"http://wordpress.org/news/feed/","http://ja.wordpress.org/feed/"
"WordPress Blog","WordPress ブログ"
"http://planet.wordpress.org/","http://ja.forums.wordpress.org/"
"http://planet.wordpress.org/feed/","http://ja.forums.wordpress.org/rss.php"
"Other WordPress News","WordPress フォーラム"
"View all","すべて表示"
"Configure","設定"
"Theme <span class=\"b\"><a href=\"themes.php\">%s</a></span>","テーマ <span class=\"b\"><a href=\"themes.php\">%s</a></span>"
"Theme <span class=\"b\">%s</span>","テーマ <span class=\"b\">%s</span>"
"Your site is asking search engines not to index its content","検索エンジンにコンテンツをインデックスしないよう求める設定になっています。"
"Search Engines Discouraged","検索エンジン非推奨"
"Create a New Site","新規サイトを作成"
"Create a New User","新規ユーザーを作成"
"You have %s and %s.","%sと%sが登録されています。"
"Search Users","ユーザーを検索"
"Search Sites","サイトを検索"
"Post published. <a href=\"%s\">View post</a> | <a href=\"%s\">Edit post</a>","投稿を公開しました。 <a href=\"%s\">投稿を表示する</a> | <a href=\"%s\">投稿を編集する</a>"
"Post submitted. <a href=\"%s\">Preview post</a> | <a href=\"%s\">Edit post</a>","投稿を作成しました。 <a href=\"%s\">投稿をプレビューする</a> | <a href=\"%s\">投稿を編集する</a>"
"Draft saved. <a href=\"%s\">Preview post</a> | <a href=\"%s\">Edit post</a>","下書きを保存しました。 <a href=\"%s\">投稿をプレビューする</a> | <a href=\"%s\">投稿を編集する</a>"
"You can also try %s, easy blogging from anywhere on the Web.","%s も試してみてください。ウェブのどこからでも簡単にブログ投稿ができます。"
"Tags (separate with commas)","タグ (半角カンマ区切り)"
"Submit for Review","レビュー待ちとして送信"
"Reset","リセット"
"There are no drafts at the moment","今のところ下書きはありません。"
"From %s on %s%s","%s に %s より %s"
"[Pending]","[承認待ち]"
"This dashboard widget queries <a href=\"http://blogsearch.google.com/\">Google Blog Search</a> so that when another blog links to your site it will show up here. It has found no incoming links&hellip; yet. It&#8217;s okay &#8212; there is no rush.","このダッシュボードウィジェットは <a href=\"http://blogsearch.google.com/\">Google ブログ検索</a>での検索結果をもとに、このサイトにリンクしているほかのブログを表示します。外部からのリンクは見つかりません&hellip; 今のところ。大丈夫 &#8212; 急ぐ必要はありませんから。"
"Somebody","だれか"
"%s linked here <a href=\"%s\">saying</a>, \"%s\"","%s がここに<a href=\"%s\">リンクしています</a>: \"%s\""
"%s linked here saying, \"%s\"","%s がここにリンクしています: \"%s\""
"%s linked here <a href=\"%s\">saying</a>, \"%s\" on %s","%s が %s でこのサイトに<a href=\"%s\">言及しました</a>: %s"
"%s linked here saying, \"%s\" on %s","%s が %s でこのサイトに言及しました: %s"
"Most Popular","人気上位"
"Newest Plugins","最新のプラグイン"
"Loading&#8230;","読み込み中&#8230;"
"This widget requires JavaScript.","このウィジェットには JavaScript が必要です。"
"Storage Space","保存スペース"
"<a href=\"%s\" title=\"Manage Uploads\" class=\"musublink\">%sMB</a>","<a href=\"%s\" title=\"アップロードの管理\" class=\"musublink\">%sMB</a>"
"Space Allowed","利用可能"
"<a href=\"%s\" title=\"Manage Uploads\" class=\"musublink\">%sMB (%s%s%)</a>","<a href=\"%s\" title=\"アップロードの管理\" class=\"musublink\">%sMB (%s%s%)</a>"
"Space Used","利用中"
"It looks like you're using an insecure version of <a href='%s'>%s</a>. Using an outdated browser makes your computer unsafe. For the best WordPress experience, please update your browser.","<a href='%s'>%s</a> の安全ではないバージョンをお使いのようです。古いブラウザを使っていると、コンピューターを危険に曝してしまいます。WordPress のすばらしさを実感するには、ブラウザを更新してください。"
"Select comment","コメントを選択"
"Y/m/d \\a\\t g:i A","Y年n月j日 g:i a"
"Submitted on <a href=\"%s\">%s at %s</a>","<a href=\"%s\">%s %s</a> に投稿"
"In reply to <a href=\"%s\">%s</a>.","<a href=\"%s\">%s</a> への返信。"
"Unapprove this comment","このコメントを承認しない"
"Approve this comment","このコメントを承認"
"Mark this comment as spam","このコメントをスパムとしてマーク"
"Move this comment to the trash","コメントをゴミ箱へ移動"
"Quick Edit","クイック編集"
"Quick&nbsp;Edit","クイック編集"
"Reply to this comment","このコメントに返信する"
"Y/m/d \\a\\t g:ia","Y年n月j日 g:i a"
"Changing to %s","%s に変更しています"
"Found %s","%s が見つかりました"
"The ftp PHP extension is not available","PHP の ftp 拡張機能が使用できません"
"FTP hostname is required","FTP のホスト名は必須です"
"FTP username is required","FTP のユーザー名は必須です"
"FTP password is required","FTP のパスワードは必須です"
"Failed to connect to FTP Server %s:%s","FTP サーバー %s:%s への接続に失敗しました"
"Username/Password incorrect for %s","%s のユーザー名/パスワードが正しくありません"
"The ssh2 PHP extension is not available","PHP の SSH2 拡張機能が使用できません"
"The ssh2 PHP extension is available, however, we require the PHP5 function <code>stream_get_contents()</code>","PHP の SSH2 拡張機能は利用可能ですが、PHP 5 の関数 <code>stream_get_contents()</code> が必要です。"
"SSH2 hostname is required","SSH2 ホスト名は必須です"
"SSH2 username is required","SSH2 ユーザー名は必須です"
"SSH2 password is required","SSH2 パスワードは必須です"
"Failed to connect to SSH2 Server %s:%s","SSH2 サーバー %s:%s への接続に失敗しました"
"Public and Private keys incorrect for %s","%s の公開鍵と秘密鍵が正しくありません"
"Unable to perform command: %s","コマンド %s を実行できません"
"No links found.","リンクは見つかりませんでした。"
"Delete","削除"
"View all categories","カテゴリー指定なし"
"Relationship","関係"
"Visible","表示"
"Rating","評価"
"Select %s","%sを選択"
"Edit &#8220;%s&#8221;","&#8220;%s&#8221; を編集する"
"You are about to delete this link '%s'\n  'Cancel' to stop, 'OK' to delete.","リンク '%s' を削除しようとしています。\n削除するには 'OK' を、中止するには 'キャンセル' をクリックしてください。"
"Visit %s","%s を表示"
"Show all dates","日付指定なし"
"List View","一覧表示"
"Excerpt View","抜粋表示"
"%s pending","%s件の承認待ち"
"Go to the first page","最初のページへ"
"Go to the previous page","前のページへ"
"Current page","現在のページ"
"%s of %s","%s / %s"
"Go to the next page","次のページへ"
"Go to the last page","最後のページへ"
"Attach to a post","投稿に添付"
"Scan for lost attachments","投稿に使われていないメディアファイルをスキャン"
"No media attachments found.","添付メディアファイルは見つかりませんでした。"
"File","ファイル"
"Uploaded to","アップロード先"
"Date","日時"
"Unpublished","未公開"
"%s from now","%s後"
"(Unattached)","(未使用)"
"Attach","投稿に添付"
"View &#8220;%s&#8221;","&#8220;%s&#8221; を表示"
"View","表示"
"No sites found.","サイトは見つかりません。"
"Mark as Spam","スパムとしてマーク"
"Domain","ドメイン"
"Last Updated","最終更新日時"
"Registered","作成日時"
"Archived","アーカイブ化"
"Deleted","削除"
"Mature","成人向け"
"You are about to activate the site %s","サイト %s を有効化しようとしています。"
"You are about to deactivate the site %s","サイト %s を無効化しようとしています。"
"You are about to unarchive the site %s.","サイト %s のアーカイブ化を解除しようとしています。"
"Unarchive","アーカイブ化解除"
"You are about to archive the site %s.","サイト %s をアーカイブ化しようとしています。"
"Archive","アーカイブ化"
"You are about to unspam the site %s.","サイト %s のスパム扱いを解除します。"
"You are about to mark the site %s as spam.","サイト %s をスパムとしてマークします。"
"You are about to delete the site %s.","このサイト %s を削除しようとしています。"
"Visit","表示"
"Never","なし"
"Only showing first 5 users.","最新5ユーザーのみを表示しています。"
"More","続き"
"No themes found.","テーマは見つかりませんでした。"
"You do not appear to have any themes available at this time.","現在ご利用いただけるテーマがないようです。"
"Theme","テーマ名"
"Enable","有効"
"Network Enable","ネットワーク有効化"
"Disable","無効化"
"Network Disable","ネットワーク無効化"
"Enable this theme","このテーマを有効化"
"Disable this theme","このテーマを無効化"
"Open this theme in the Theme Editor","テーマエディターでこのテーマを開く"
"Delete this theme","このテーマを削除"
"Broken Theme:","修正が必要なテーマ:"
"By %s","作成者: %s"
"Visit theme homepage","テーマのホームページを表示"
"Visit Theme Site","テーマサイトを表示"
"No users found.","お探しのユーザーは見つかりませんでした。"
"Super Admin","特権管理者"
"Search Results","検索結果"
"Popular","人気"
"Favorites","お気に入り"
"Try again","もう一度やり直す"
"No plugins match your request.","マッチするプラグインはありません。"
"More information about %s","%s についての詳しい情報..."
"Details","説明"
"Install %s","%s のインストール"
"Install Now","いますぐインストール"
"Update to version %s","バージョン %s に更新"
"Update Now","いますぐ更新"
"This plugin is already installed and is up to date","このプラグインは既に最新版がインストール済みです。"
"No plugins found.","プラグインが見つかりませんでした。"
"You do not appear to have any plugins available at this time.","現在利用可能なプラグインはないようです。"
"Welcome to WordPress %s","WordPress %s へようこそ"
"Thank you for updating to the latest version! WordPress %s is more polished and enjoyable than ever before. We hope you like it.","最新版へのアップグレードありがとうございました。WordPress %s はさらに洗練され、より楽しめるものとなりました。気に入っていただけますように !"
"Version %s","バージョン %s"
"What&#8217;s New","新着情報"
"Credits","クレジット"
"Freedoms","自由について"
"New Media Manager","新しいメディアマネージャー"
"Beautiful Interface","美しいインターフェイス"
"Adding media has been streamlined with an all-new experience, making it a breeze to upload files and place them into your posts.","無駄をなくし洗練された新しいメディア追加インターフェイスの登場により、ファイルをアップロードして投稿に配置するまでの操作は格段に扱いやすいものになりました。"
"Picturesque Galleries","表現力に富んだギャラリー"
"Creating image galleries is faster with drag and drop reordering, inline caption editing, and simplified controls for layout.","ドラッグ＆ドロップによる並び替え、インラインのキャプション編集、そして簡易化されたレイアウト操作により、画像ギャラリーの作成はずっと短時間でできるようになりました。"
"New Default Theme","新しいデフォルトテーマ"
"Introducing Twenty Twelve","Twenty Twelve のご紹介"
"The newest default theme for WordPress is simple, flexible, and elegant.","WordPress の最新デフォルトテーマは、シンプルで柔軟かつエレガントです。"
"What makes it really shine are the design details, like the gorgeous Open Sans typeface and a fully responsive design that looks great on any device.","デザインのディテールに注目してください。美しい Open Sans タイプフェイスと完全なレスポンシブ・デザインが、あらゆるデバイス上での見事な外観を実現します。"
"Naturally, Twenty Twelve supports all the theme features you’ve come to know and love, but it is also designed to be as great for a website as it is for a blog.","Twenty Twelve はあなたが大好きなすべてのテーマ機能をサポートしていますし、そしてブログにも通常のウェブサイトにも同じようにうまく合うようにデザインされているのです。"
"Retina Ready","Retina ディスプレイ対応"
"So Sharp You Can&#8217;t See the Pixels","ピクセルが目に見えないほどの鮮明さ"
"The WordPress dashboard now looks beautiful on high-resolution screens like those found on the iPad, Kindle Fire HD, Nexus 10, and MacBook Pro with Retina Display. Icons and other visual elements are crystal clear and full of detail.","iPad、Kindle Fire HD、Nexus 10 や Retina ディスプレイモデルの MacBook Pro、これらの備える高解像度スクリーンでも、新しい WordPress ダッシュボードの美しさは損なわれることがありません。アイコンその他の視覚要素はきわめて明瞭、細部までくっきり映ります。"
"Smoother Experience","さらにスムーズなエクスペリエンス"
"Better Accessibility","アクセシビリティの改善"
"WordPress supports more usage modes than ever before. Screenreaders, touch devices, and mouseless workflows all have improved ease of use and accessibility.","WordPress は従来にも増して多くの使用方法をサポート。スクリーンリーダー、タッチデバイス、マウスレス・ワークフロー、すべてにおいて使いやすさとアクセシビリティが向上しています。"
"More Polish","さらなる洗練"
"A number of screens and controls have been refined. For example, a new color picker makes it easier for you to choose that perfect shade of blue.","画面のすみずみに至るまで数多くの改善が加えられました。一例を挙げるとカラーピッカーが新しくなりました。新しいカラーピッカーを使えば完璧な色合いのブルーを簡単に選択することができるでしょう。"
"Under the Hood","裏側"
"Meta Query Additions","メタクエリーの追加"
"The <code>WP_Comment_Query</code> and <code>WP_User_Query</code> classes now support meta queries just like <code>WP_Query.</code> Meta queries now support querying for objects without a particular meta key.","<code>WP_Comment_Query</code> と <code>WP_User_Query</code> クラスは <code>WP_Query</code> と同様にメタクエリーをサポートするようになりました。メタクエリーは特定のメタキーを持たないオブジェクトのためのクエリーをサポートするようになりました。"
"Post Objects","Post オブジェクト"
"Post objects are now instances of a <code>WP_Post</code> class, which improves performance by loading selected properties on demand.","Post オブジェクトは <code>WP_Post</code> クラスのインスタンスになり、選択されたプロパティをオン・デマンドで読み込むことによりパフォーマンスを向上させています。"
"Image Editing API","画像編集 API"
"The <code>WP_Image_Editor</code> class abstracts image editing functionality such as cropping and scaling, and uses ImageMagick when available.","<code>WP_Image_Editor</code> クラスは切り抜きや拡大縮小といった画像編集機能を抽象化し、また利用可能な場合は ImageMagick を利用します。"
"Multisite Improvements","マルチサイト関連の改善"
"<code>switch_to_blog()</code> is now significantly faster and more reliable.","<code>switch_to_blog()</code> はスピードと信頼性の両面で著しく改善されています。"
"The <a href=\"%s\">WordPress API</a> is now always enabled, and supports fetching users, editing profiles, managing post revisions, and searching posts.","<a href=\"%s\">WordPress API</a> は常に有効化されるようになりました。また、ユーザーの取得、プロフィール編集、投稿リビジョンの管理、投稿の検索をサポートします。"
"http://codex.wordpress.org/XML-RPC_WordPress_API","http://wpdocs.sourceforge.jp/XML-RPC_WordPress_API"
"External Libraries","外部ライブラリー"
"WordPress now includes the <a href=\"%s\">Underscore</a> and <a href=\"%s\">Backbone</a> JavaScript libraries. TinyMCE, jQuery, jQuery UI, and SimplePie have all been updated to the latest versions.","JavaScript ライブラリ <a href=\"%s\">Underscore</a> と <a href=\"%s\">Backbone</a> が WordPress に含まれるようになりました。TinyMCE、jQuery、jQuery UI、SimplePie も最新バージョンに更新されています。"
"Return to Updates","更新ページへ戻る"
"Return to Dashboard &rarr; Updates","ダッシュボード &rarr; 更新へ戻る"
"Go to Dashboard &rarr; Home","ダッシュボード &rarr; ホームへ移動"
"Go to Dashboard","ダッシュボードへ移動"
"For more information, see <a href=\"%s\">the release notes</a>.","詳しくは<a href=\"%s\">リリースノート</a>をご覧ください。"
"Thank you for creating with <a href=\"http://wordpress.org/\">WordPress</a>.","<a href=\"http://ja.wordpress.org/\">WordPress</a> のご利用ありがとうございます。"
"Global Dashboard","グローバルダッシュボード"
"Skip to main content","メインコンテンツへスキップ"
"Main content","メインコンテンツ"
"Invalid plugin page","無効なプラグインのページ"
"Cannot load %s.","%s を読み込めません。"
"You are not allowed to import.","インポートの権限がありません。"
"Import","インポート"
"Unknown post type.","無効な投稿形式。"
"You are not allowed to edit this item.","この項目を編集する権限がありません。"
"&#8220;%s&#8221; has failed to upload due to an error","&#8220;%s&#8221; は、エラーのためアップロードに失敗しました"
"Edit Comment","コメントの編集"
"Overview","概要"
"You can edit the information left in a comment if needed. This is often useful when you notice that a commenter has made a typographical error.","必要であればコメント内の情報を編集することができます。コメントに誤字脱字などがあったときに便利でしょう。"
"You can also moderate the comment from this screen using the Status box, where you can also change the timestamp of the comment.","この画面の状態ボックスを使ってコメントをモデレートすることもできます。また、コメントの時刻表示も変更できます。"
"For more information:","詳細情報:"
"<a href=\"http://codex.wordpress.org/Administration_Screens#Comments\" target=\"_blank\">Documentation on Comments</a>","<a href=\"http://wpdocs.sourceforge.jp/%sE7%sAE%sA1%sE7%s90%s86%sE3%s83%s91%sE3%s83%s8D%sE3%s83%sAB#Comments\" target=\"_blank\">コメントの解説</a>"
"<a href=\"http://wordpress.org/support/\" target=\"_blank\">Support Forums</a>","<a href=\"http://ja.forums.wordpress.org/\" target=\"_blank\">サポートフォーラム</a>"
"Oops, no comment with this ID.","この ID のコメントはありません。"
"Go back","戻る"
"You are not allowed to edit this comment.","このコメントを編集する権限がありません。"
"This comment is in the Trash. Please move it out of the Trash if you want to edit it.","このコメントはゴミ箱に入っています。編集したい場合はゴミ箱の外に出してください。"
"Moderate Comment","コメントをモデレートする"
"You are about to mark the following comment as spam:","このコメントをスパムとしてマークしようとしています:"
"Spam Comment","コメントをスパムとしてマークする"
"You are about to move the following comment to the Trash:","このコメントをゴミ箱に移動しようとしています:"
"Trash Comment","コメントをゴミ箱に移動する"
"You are about to delete the following comment:","このコメントを削除しようとしています:"
"Permanently Delete Comment","コメントを完全に削除する"
"You are about to approve the following comment:","このコメントを承認しようとしています:"
"Approve Comment","コメントを承認する"
"This comment is currently approved.","このコメントを承認しました。"
"This comment is currently marked as spam.","このコメントをスパムとしてマークしました。"
"This comment is currently in the Trash.","このコメントをゴミ箱に移します。"
"Caution:","注意:"
"You are not allowed to edit comments on this post.","この投稿へのコメントを編集する権限がありません。"
"Unknown action.","不明なアクションです。"
"WordPress is created by a <a href=\"%s\">worldwide team</a> of passionate individuals. <a href=\"%s\">Get involved in WordPress</a>.","WordPress は情熱ある個人による<a href=\"%s\">世界各地のチーム</a>によって作られています。<a href=\"%s\">WordPress に参加しましょう</a>。"
"http://codex.wordpress.org/Contributing_to_WordPress","http://wpdocs.sourceforge.jp/WordPress_%sE3%s81%sB8%sE3%s81%sAE%sE5%s8D%s94%sE5%s8A%s9B"
"WordPress is created by a worldwide team of passionate individuals.","WordPress は、世界中の熱心な人々によって作られています。"
"Translators","翻訳者"
"Want to see your name in lights on this page? <a href=\"%s\">Get involved in WordPress</a>.","このページに掲載されてみませんか ? <a href=\"%s\">WordPress に参加しましょう</a>。"
"Project Leaders","プロジェクトリーダー"
"Extended Core Team","拡張コアチーム"
"Core Developers","コア開発者"
"Recent Rockstars","直近のロックスター"
"Core Contributors to WordPress %s","WordPress %s コア貢献者"
"Contributing Developers","貢献開発者"
"Cofounder, Project Lead","共同創始者、プロジェクトリード"
"Lead Developer","リード開発者"
"User Experience Lead","ユーザーエクスペリエンス・リード"
"Core Developer","コア開発者"
"Core Committer","コアコミッター"
"Guest Committer","ゲストコミッター"
"Developer","開発者"
"Designer","デザイナー"
"Internationalization","国際化"
"Icon Design","アイコンデザイン"
"You can customize the look of your site without touching any of your theme&#8217;s code by using a custom background. Your background can be an image or a color.","カスタム背景を使って、テーマのコードを変更することなくサイトの外観をカスタマイズできます。背景には画像や単色を設定できます。"
"To use a background image, simply upload it or choose an image that has already been uploaded to your Media Library by clicking the &#8220;Choose Image&#8221; button. You can display a single instance of your image, or tile it to fill the screen. You can have your background fixed in place, so your site content moves on top of it, or you can have it scroll with your site.","背景画像を使うには、アップロードするか既にメディアライブラリにあるものから「画像を選択」ボタンを使って指定します。画像は一度だけ表示するか、タイル状にして画面を埋めることができます。また、背景の位置を固定にしてコンテンツのみがスクロールするようにするか、サイト画面と一緒に背景がスクロールするか選ぶことも可能です。"
"You can also choose a background color by clicking the Select Color button and either typing in a legitimate HTML hex value, e.g. &#8220;#ff0000&#8221; for red, or by choosing a color using the color picker.","背景色を選ぶには、色選択ボタンをクリックして正当な HTML 16進数値 (例えば赤色として &#8220;#ff0000&#8221;) を入力するか、もしくはカラーピッカーから色を選びます。"
"Don&#8217;t forget to click on the Save Changes button when you are finished.","終わったら忘れずに「変更を保存」ボタンをクリックしてください。"
"<a href=\"http://codex.wordpress.org/Appearance_Background_Screen\" target=\"_blank\">Documentation on Custom Background</a>","<a href=\"http://wpdocs.sourceforge.jp/Appearance_Background_SubPanel\" target=\"_blank\">背景の解説</a>"
"Custom Background","カスタム背景"
"Background updated. <a href=\"%s\">Visit your site</a> to see how it looks.","背景を更新しました。<a href=\"%s\">サイトを表示</a>して確認してください。"
"Remove Background Image","背景画像を削除"
"This will remove the background image. You will not be able to restore any customizations.","この操作を行うと背景画像を削除します。変更した設定はすべて失われ、元に戻すことはできません。"
"Restore Original Image","元の画像を復元"
"This will restore the original background image. You will not be able to restore any customizations.","この操作を行うと元の背景画像を復元します。変更した設定は復元できません。"
"Select Image","画像を選択する。"
"Choose an image from your computer:","自分のコンピューターから画像を選択:"
"Or choose an image from your media library:","もしくはメディアライブラリーから画像を選択してください。"
"Choose a Background Image","背景画像を選択"
"Set as background","背景として設定"
"Choose Image","画像の選択"
"Display Options","表示オプション"
"Position","位置"
"Repeat","繰り返し"
"Attachment","スクロールの有無"
"The uploaded file is not a valid image. Please try again.","アップロードしたファイルは有効な画像ではありません。もう一度お試しください。"
"This screen is used to customize the header section of your theme.","この画面はテーマのヘッダー部分のカスタマイズに使われます。"
"You can choose from the theme&#8217;s default header images, or use one of your own. You can also customize how your Site Title and Tagline are displayed.","テーマのデフォルトヘッダー画像、もしくはご自分の画像を選択することができます。また、サイトタイトルやキャッチフレーズの表示をカスタマイズすることもできます。"
